cluster_ID,genes
1,CD9;CD69;SOCS1;ANXA2R;RPL22;CRY1;PTMA;CDK17;SMAD3;FAM134B;STAP1;Mast cells;ST3GAL4
2,PNPT1;IFIT5;CCL8;IFIT3;TLK2;SLC25A30;RTP4;AIM2;AKT3;IDO1;DDX58;TREX1;IL15;BTN3A3;TRIM5;MICB;SLC25A28;PUS1;TNFRSF10A;TRAFD1;LAMP3;B cells AICDA+ LRMP+;NOD2;Neutrophils S100A8+ S100A9+;C1S;ULK4;USP18;B2M;HERC6;EXT1;FNDC4;TMEM140;ZNF385B;VEGFC;UPP2;TRIM34;TNFAIP6;TMEM255A;TLR3;TDRD7;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;S100A8;RNASE4;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NEURL3;NDC80;MT1M;MKX;MAP3K14;MAB21L2;LRG1;IL17RB;IGFBP2;IFIT2;IFIT1;HLA-G;HESX1;HEG1;GPX2;GJA4;G6PC;FZD5;FTSJD2;FFAR2;ETV7;ENPP1;DDX60;CXCL9;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CD80;CCNA1;CCL19;C5orf27;C22orf28;C10orf10;BUB1;BCL2L14;BATF2;AQP9;ANKRD22;ANGPTL1;AMPH;AHNAK2;ABTB2;Monocytes CHI3L1+ CYP27A1+;ABLIM3;PPM1K;VAMP5;KIAA0040;RBCK1;ARNTL;GBP3;PMM2;PI4K2B;APOL2;GALNT2;HELZ2;STARD5;WHAMM;ARG2;IFNLR1;APOBEC3A;OASL
3,TIMP1;HLA-C;PDK1;COMMD3;CD38;HSH2D;EIF3L;MT1F;EHD4;TAP1;FNDC3B;IRF7;IFI35;B cells;OPTN;PRKD2
4,MT1X;RBM25;T cells CD4+ FOSB+;T cells OGT+;SP110;APOL1;SLFN5;HLA-F;T cells Naive CD4+;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);SOCS2;IRF9;Tregs;ARHGEF3;NK cells KLRF1+ CD3G-;SUN2;T cells CD8+ KLRG1+;CCL5;T cells CD8+;GZMB
5,PSMB9;PSMB8;CCDC109B;TRIM38;LY6E;ISG15;RARRES3;CCND3;UBE2L6;PHF11
6,DDIT4;PMAIP1;Plasma cells;DUSP5;ISG20;ODC1;ZBP1
7,IFITM2;ELF1;MCL1;RGS1;BST2;TXNIP;JUNB;ALDH1A1;PLIN2;CHMP5;NMI;IL6ST;FAM46A;MAX
8,TNFAIP3;DDX3X;IFNGR1;RNF213;CLEC2B;VMP1;CSRNP1;PIM3;BCL3;SPATS2L;BLVRA;HES4;NAPA;B4GALT5
9,CDKN1A;SCARB2;RNF19B;TMEM51;TRIM14;CYTH1;CCR1;MVB12B;GAK;GLRX;RNF114;UNC93B1;ETV6;CYP1B1;NFIL3;CASP7;NCF1;GBA;IFI6;TAGAP;SLC16A1;TCF7L2;Macrophages LYVE1+;PARP9;GCH1;TRIM25;MB21D1;ALYREF;NCOA3;ANKFY1;IFI44;FCGR1A;CCL2;ATP10D;MAP3K5;IRF2;ACSL1;ADM
10,GK;MTHFD2L;SPTLC2;GBP1;CCDC92;CPT1A;Immune Cycling cells;ERLIN1;SAMD4A;TNFSF10;DTX3L;C9orf91;FUT4;IL15RA;IMPA2;MCOLN2;BAG1;PARP12;MT1H;PXK;SPSB1;DC1;MASTL;Macrophages PLA2G2D+;CLEC4E;ILCs;OAS2;JAK2;Monocytes S100A8+ S100A9+;CXCL10;C4orf33;T cells CD4+ IL17A+;Mature DCs;Macrophages CXCL9+ CXCL10+;GBP5;C4orf32;IFI44L;TRIM21;XAF1;MYOF;WARS;OGFR;IL1R1;IFI27;MX1;Macrophages Metallothionein;CD274;OAS3;PML;LEPR
11,PNRC1;CCL4;IFI16;DCP1A;GBP2;HLA-A;HLA-E;STAT1;ADAR;HLA-B
12,CD74;TYMP;SCO2;SAMHD1;SERPINB9;ATF3;PFKFB3;TNFSF13B;MARCKS;CEBPD;NAMPT;LGALS3;LIPA;MAFB;C15orf48;Macrophages;MAFF;SLC15A3;SECTM1;IFITM3;LMO2;SNN;DC2 CD1D-;DC2 CD1D+;Macrophages CCL3+ CCL4+;LGMN;MSR1;MT1G;SIRPA;THBD;EPSTI1;LPCAT1;CD163;GCA;PLSCR1;IL1RN;GBP4;TFEC;FKBP5;P2RY6;RASSF4;LAP3;SERPING1;ADAMDEC1;GEM;IFI30;MYD88
