cluster_ID,genes
1,JUNB;IFITM2;TXNIP;CD69;DDIT4;ELF1
2,HLA-F;ISG15;RARRES3;HLA-A;CCL5;LY6E;PSMB8;SUN2;RNF213;DDX3X;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);HLA-B;ANXA2R;SLFN5;ARHGEF3;RBCK1;CCL4;T cells CD8+;GBP2;T cells CD8+ KLRG1+;RBM25;GBP3;MT1F;HLA-E;CLEC2B
3,PSMB9;UBE2L6;PNRC1;IFI16;CCND3;SP110;GBP1;TAGAP;SAMHD1
4,IFITM3;SPATS2L;LGALS3;CD9;RGS1;TNFSF10;LIPA;TIMP1;BST2;CHMP5;PTMA;BLVRA;FAM46A;PLIN2;ALDH1A1;Mast cells
5,RPL22;MCL1;NMI;IFI27;C15orf48;GPX2;BAG1;MT1G
6,GZMB;HLA-C;IRF2;NCF1;PMAIP1;OGFR;VAMP5;OASL;GBP5;MCOLN2;IFI35;Macrophages CCL3+ CCL4+;MAFF;TNFAIP3;NK cells KLRF1+ CD3G-;GAK;TRAFD1;RNF114
7,T cells CD4+ FOSB+;TAP1;T cells Naive CD4+;PHF11;SOCS1;VMP1;IFI6;MAX;T cells OGT+;FAM134B;CCDC109B
8,SERPINB9;MICB;CCDC92;SNN;LAP3;LPCAT1;TRIM38;APOL2;MT1X;ADAR;KIAA0040;PIM3;IFNGR1;B cells;TYMP;GLRX;TNFSF13B;PLSCR1;EIF3L;MYD88;CEBPD;EPSTI1;EHD4;UNC93B1;GCA;IFI30;PFKFB3;NAMPT;LGMN;B cells AICDA+ LRMP+;Macrophages
9,ODC1;DUSP5;SCARB2;WARS;IRF7;GALNT2;STARD5;APOL1;MAP3K5;HELZ2;CCR1;NDC80;TNFRSF10A;TMEM140;USP18;XAF1;HEG1;ANKFY1;PARP12;PRKD2;CDK17;OAS2;TREX1;MB21D1;CDKN1A;ADAMDEC1;MX1;PARP9;CASP7;IL6ST;IL15RA;MVB12B;CRY1;IRF9;ADM;AIM2;C1S;TRIM21;C9orf91;PML;PUS1;TRIM5;B2M;ERLIN1;SLC25A28;GBA;IGFBP2;SLC25A30;NFIL3;Monocytes S100A8+ S100A9+;EXT1;ZNF385B;VEGFC;UPP2;TRIM34;TNFAIP6;TMEM51;TMEM255A;TLR3;THBD;TFEC;TDRD7;TBX3;TAP2;STEAP4;SPSB1;SLC1A1;SLC15A3;SIRPA;SERPING1;SERPINE1;SECTM1;SAMD4A;SAA1;S100A8;RNASE4;RASSF4;PHF15;PDGFRL;PADI2;P2RY6;NT5C3;NRN1;NPAS2;NEURL3;MYOF;MT1M;MT1H;MSR1;MKX;MASTL;MAP3K14;MAFB;MAB21L2;LRG1;LMO2;LEPR;LAMP3;IL1RN;IL17RB;IFNLR1;IFIT1;IDO1;HLA-G;HESX1;GJA4;G6PC;FUT4;FTSJD2;FNDC4;FFAR2;FCGR1A;ETV7;ENPP1;CYP1B1;CXCL9;CXCL11;CXCL10;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CFB;CES1;CD80;CD274;CD163;CCNA1;CCL8;CCL2;CCL19;C5orf27;C22orf28;C10orf10;BUB1;BCL2L14;BATF2;ARG2;AQP9;APOBEC3A;ANKRD22;ANGPTL1;AMPH;AHNAK2;ACSL1;ABTB2;ABLIM3;Neutrophils S100A8+ S100A9+;Monocytes CHI3L1+ CYP27A1+;Macrophages LYVE1+;Macrophages PLA2G2D+;FZD5
10,ST3GAL4;IFIT3;STAT1;STAP1;MTHFD2L;SLC16A1;TCF7L2;HES4;GEM;ATF3;Immune Cycling cells;DDX58;SPTLC2;DC2 CD1D-;DC2 CD1D+;DCP1A;ETV6;TRIM25;TLK2;C4orf33;IFIT2;IFIT5;BCL3;AKT3;ATP10D;PNPT1;PXK;CPT1A;FKBP5;BTN3A3;Mature DCs;B4GALT5;GK;ULK4;IL1R1;IMPA2;DC1;JAK2;ALYREF;IL15
11,SCO2;T cells CD4+ IL17A+;IFI44;C4orf32;Macrophages Metallothionein;OPTN;Tregs;NAPA;DTX3L;GCH1;CYTH1;SMAD3;RTP4;ARNTL;TRIM14;ILCs;IFI44L;SOCS2;CSRNP1;WHAMM;GBP4;DDX60;PPM1K;HERC6;PI4K2B;PMM2;RNF19B;Macrophages CXCL9+ CXCL10+;OAS3;NOD2
12,CD74;MARCKS;Plasma cells;ISG20;PDK1;COMMD3;HSH2D;FNDC3B;CD38;ZBP1;NCOA3
