cluster_ID,genes
1,BST2;DDIT4;TNFSF10;CD9;Mast cells;ST3GAL4;MAX;FAM46A;ALDH1A1;B4GALT5;BLVRA;CCL2;SAMD4A;DDX3X
2,VAMP5;NMI;LMO2;MYD88;DC2 CD1D-;DC2 CD1D+;MASTL;GBP3;IL1R1;ILCs;IFI44;Mature DCs;CASP7;ADM;Macrophages PLA2G2D+;EPSTI1;XAF1;CCR1;GBP1;ACSL1;GEM;CDKN1A;BCL3;THBD;IL1RN;SECTM1;GK;LPCAT1;JAK2;NAPA;MAP3K5;CPT1A;Monocytes S100A8+ S100A9+;WARS;RNF114;SCO2;DCP1A;GAK;MYOF;P2RY6;Macrophages LYVE1+;TCF7L2;CD80;C9orf91;ANKFY1;GBP4;EHD4;MVB12B;TMEM51;PARP12;OAS3;TRAFD1;SLC16A1;MT1G;MT1M
3,TRIM38;SP110;PMAIP1;NCOA3;B cells;MB21D1;PPM1K;PXK;MCOLN2;B cells AICDA+ LRMP+;AIM2;UBE2L6;ALYREF;Immune Cycling cells;C4orf32;DTX3L;BAG1;PARP9;TRIM25;ETV6;PML;SPTLC2;GCA;IMPA2;CHMP5;RBCK1;SMAD3;TAP1;ATP10D;OGFR;TLK2;PI4K2B;GCH1
4,MT1H;Macrophages Metallothionein;MT1X;MT1F;IFI35;PMM2;FNDC3B;PDK1;ZBP1;STAP1;WHAMM;IFI6;MICB;NDC80;BUB1;SOCS2;Macrophages CXCL9+ CXCL10+;CD274;IFI27;HERC6;CRY1;IFI44L;BTN3A3;EXT1;IL15;IL15RA;IRF7;FZD5;DDX60;HELZ2;IFIT1;CCL8;GBA;APOL1;C4orf33;ARG2;DC1;PADI2;LAMP3;NOD2;IDO1;HEG1;CCDC92;TRIM5;DDX58;AKT3;ULK4;TRIM21;PNPT1;SLC25A28;IFIT5;TDRD7;KIAA0040;T cells CD4+ IL17A+;NK cells KLRF1+ CD3G-;OASL;IRF9;MX1;TMEM140;OAS2;SLC25A30;PRKD2;IFNLR1;RTP4;APOL2;STARD5;MTHFD2L;FUT4;PUS1;Neutrophils S100A8+ S100A9+;IFIT2;SPSB1;TNFRSF10A;HLA-G;APOBEC3A;ZNF385B;VEGFC;USP18;UPP2;TRIM34;TNFAIP6;TMEM255A;TLR3;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;S100A8;RNASE4;PHF15;PDGFRL;NT5C3;NRN1;NPAS2;NEURL3;MKX;MAP3K14;MAB21L2;LRG1;LEPR;IL17RB;IGFBP2;IFIT3;HESX1;GPX2;GJA4;G6PC;FTSJD2;FNDC4;FFAR2;FCGR1A;ETV7;ENPP1;CYP1B1;CXCL9;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CFB;CES1;CCNA1;CCL19;C5orf27;C22orf28;C1S;C10orf10;BCL2L14;BATF2;AQP9;ANKRD22;ANGPTL1;AMPH;AHNAK2;ABTB2;Monocytes CHI3L1+ CYP27A1+;ABLIM3;CXCL10;ERLIN1;TREX1;B2M;GALNT2
5,TIMP1;CD38;COMMD3;GLRX
6,Plasma cells;ISG20;DUSP5;HLA-C;HSH2D;ODC1
7,RGS1;JUNB;CCL4
8,CD74;ATF3;LGALS3;PLIN2;SPATS2L;EIF3L;SERPINB9;SNN;PIM3;IFI30;MARCKS;TYMP;IFITM3;PLSCR1;C15orf48;CEBPD;NAMPT;MAFB;LGMN;SLC15A3;MAFF;RASSF4;Macrophages;LIPA;SCARB2;SAMHD1;LAP3;HES4;CSRNP1;NFIL3;TRIM14;NCF1;Macrophages CCL3+ CCL4+;RNF19B;TFEC;SIRPA;UNC93B1;CD163;SERPING1;MSR1;ADAMDEC1;IL6ST;STAT1
9,ELF1;TNFAIP3;PNRC1;RNF213;IFI16;HLA-E;CYTH1;ADAR;VMP1;IFNGR1;MCL1;PFKFB3;TNFSF13B
10,PSMB9;PSMB8;ISG15;LY6E;SOCS1;HLA-F;SUN2;CCL5;PHF11;CCDC109B;OPTN;RBM25;T cells CD8+;T cells CD8+ KLRG1+;GZMB;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);T cells OGT+;IRF2;ARHGEF3;TAGAP
11,HLA-A;GBP2;CLEC2B;RARRES3;HLA-B;T cells CD4+ FOSB+;Tregs;FAM134B;ARNTL;CDK17;GBP5;T cells Naive CD4+;FKBP5;SLFN5;CCND3;PTMA;ANXA2R
12,TXNIP;IFITM2;RPL22;CD69
