cell_name,genes
B cells,MS4A1;CD19;VPREB3;CD79A;BANK1;CD79B;CD22
B cells AICDA+ LRMP+,AICDA;LRMP;TCL1A;SNX29P2;NEIL1
DC1,CLEC9A;IDO1;CPNE3;BATF3
DC2 CD1D-,FCER1A;CLEC10A;CD1D
DC2 CD1D+,FCER1A;CLEC10A;CD1D
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),ID3;ENTPD1;GZMA;CD247;CD7;HOPX
ILCs,ALDOC;LINC00299;LST1;IL4I1;AREG
Immune Cycling cells,STMN1;HMGB2;TCL1A;NUSAP1;KIAA0101;TOP2A;TYMS;CDK1;UBE2C;PTTG1
Macrophages,CD163;C1QC;C1QA;C1QB
Macrophages CCL3+ CCL4+,CCL3;CCL4;DAB2;A2M
Macrophages CXCL9+ CXCL10+,CXCL10;CXCL9;GBP1;CXCL11
Macrophages LYVE1+,LYVE1;F13A1;CCL18
Macrophages Metallothionein,MT1G;MT1X;MT2A;MT1H;MT1E;MT1F;MT1M
Macrophages PLA2G2D+,PLA2G2D;MMP9;PTGDS
Mast cells,TPSAB1;CPA3;CTSG;HDC;GATA2;VWA5A;SLC18A2
Mature DCs,LAMP3;FSCN1;CCL19;CCL22;IDO1;CCR7;MARCKSL1
Monocytes CHI3L1+ CYP27A1+,CHI3L1;CYP27A1
Monocytes S100A8+ S100A9+,S100A9;S100A8;FCN1;G0S2;EREG;FPR1
Neutrophils S100A8+ S100A9+,S100A8;S100A9;FCGR3B;APOBEC3A;S100A12;FCN1;ACSL1;FPR2;FPR1
NK cells KLRF1+ CD3G-,KLRF1;NCAM1;KLRD1
Plasma cells,IGJ;MZB1;IGLL5;DERL3;SSR4;TNFRSF17;FKBP11;SEC11C;ANKRD28;AL928768.3
T cells CD4+ FOSB+,CD4;FOSB;IL7R;RORA;CD2
T cells CD4+ IL17A+,IL17A;IL22;CXCR6;CCL20
T cells CD8+,CD8A;CD8B
T cells CD8+ KLRG1+,KLRG1;GZMH;IFNG;CD8B;CD8A
T cells Naive CD4+,CCR7;SELL;TCF7
T cells OGT+,OGT;MIAT;CELF2;RORA;ANKRD44;ARAP2;AKNA;CBLB
Tregs,CTLA4;TIGIT;TBC1D4;BATF;TNFRSF4
