cluster_ID,genes
1,SPATS2L;PHF11;EXT1;ISG15;NAPA;BATF2;IFITM2;IFIT1;STEAP4;Pericytes HIGD1B+ STEAP4+;SOCS1;HES4;VMP1;MT1X;CCL8;TIMP1;MAP3K5;MAB21L2;Myofibroblasts GREM1+ GREM2+;GBP1;OAS3;IFIT3;HELZ2;Myofibroblasts HHIP+ NPNT+;PPM1K;IFIT5;TRIM5;ANKFY1;GLRX;CCL19;UNC93B1;C9orf91;NPAS2;TMEM51;SCO2;CCR1;SLC1A1;STARD5;HERC6
2,STAT1;MAFB;TYMP;ST3GAL4;CXCL9;LGALS3;PFKFB3;GK;AHNAK2;IGFBP2;EPSTI1;ATF3;CFB;PMAIP1;TNFAIP3;ACSL1;FAM134B;BLVRA;IFI6;GBA;Fibroblasts SFRP2+ SLPI+;RNF114;PLIN2;MAFF;MT1M;IL15RA;CASP7;IFI35
3,IL6ST;SMAD3;TBX3;Fibroblasts ADAMDEC1+;Fibroblasts NPY+ SLITRK6+;ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;FNDC3B;CHMP5;CES1;AMPH;JAK2;NAMPT;IMPA2;PXK;UBE2L6;SCARB2;FNDC4
4,Fibroblasts SMOC2+ PTGIS+;HLA-B;Pericytes RERGL+ NTRK2+;HLA-A;HSH2D;CCDC92;ATP10D;RTP4;FUT4;SLC25A30;ANGPTL1;IRF9;AQP9;PMM2;ETV7;ENPP1;MTHFD2L;ULK4;MX1;RNASE4;USP18;PNPT1;SAA1;ZBP1;ZNF385B;UPP2;TRIM34;TMEM255A;TFEC;TAP2;STAP1;PHF15;PADI2;OASL;NT5C3;NOD2;NEURL3;MSR1;MKX;MICB;MCOLN2;MAP3K14;IL17RB;IFNLR1;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;APOBEC3A;ABTB2;ANKRD22
5,HLA-F;SNN;IRF7;IL15;IFNGR1;TCF7L2;IRF2;NMI;NCOA3;DCP1A;TRIM25;IFIT2;TLR3;Fibroblasts KCNN3+ LY6H+;ERLIN1;FZD5;SAMD4A;AKT3;CRY1;SLC25A28;SLC15A3;PARP9;GBP5;TDRD7;PUS1;SLC16A1;TRIM14
6,SERPINE1;SOCS2;ADAR;TREX1;TRIM38;MB21D1;TNFRSF10A;LRG1;P2RY6;HEG1;EHD4;SLFN5;PRKD2;CYTH1;DDX3X;DDX60;GBP2;LAP3;TAP1;MYOF;CDKN1A;CCND3;OPTN;PML;CX3CL1;BCL3;APOL1;BTN3A3;ETV6;RNF19B;GBP3;VEGFC;DDX58
7,GBP4;HLA-E;CD74;LMO2;TNFSF10;LEPR;ELF1;SPTLC2;CLEC2B;ALDH1A1;VAMP5;PIM3;ARHGEF3;THBD;Endothelial cells DARC+;LIPA;Endothelial cells CD36+;SUN2;LGMN;DDIT4;OAS2;CCDC109B;EIF3L;SERPINB9;PLSCR1;NRN1;ANXA2R;DUSP5;PSMB9;RBM25;CPT1A;TMEM140;Endothelial cells LTC4S+ SEMA3G+;LAMP3;XAF1;IFI44L;SP110;IFI44
8,MARCKS;BST2;IFI16;C10orf10;TXNIP;IFI27;C4orf32;KIAA0040;RNF213;ODC1;PSMB8;ABLIM3;PARP12;GAK;C15orf48;RBCK1;GJA4;BAG1;FKBP5;MAX;GCA;SAMHD1;DTX3L;LPCAT1;RASSF4;WHAMM;NDC80
9,RPL22;ALYREF;JUNB;CCL5;SECTM1;PDGFRL;MASTL;IFI30;Glial cells;ARNTL;B2M;PTMA;C4orf33;CDK17;CD69;CYP1B1;MVB12B;CXCL11;AIM2;GPX2;CD274;TAGAP;CSRNP1;TLK2;Stromal Cycling cells;HLA-G
10,MT1F;CD9;IDO1;RGS1;GCH1;NCF1;PI4K2B;ARG2;APOL2;IFITM3;S100A8;OGFR;MYD88;SIRPA;PNRC1;PDK1;TRIM21;TNFSF13B;HLA-C;CXCL10;CCL4;IL1RN;CD38;MT1G;CD163;MT1H
11,WARS;B4GALT5;MCL1;SPSB1;COMMD3;TRAFD1
12,C1S;GEM;SERPING1;ISG20;CEBPD;FAM46A;ADM;CCL2;RARRES3;IL1R1;LY6E;Inflammatory fibroblasts IL11+ CHI3L1+;TNFAIP6;NFIL3;GALNT2
