cluster_ID,genes
1,MARCKS;C1S;ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;CCL2;CCL19;IL6ST;Fibroblasts ADAMDEC1+;IFIT2;CCL8
2,LY6E;TNFAIP3;CCL5;TYMP;GBP1;CXCL10;CXCL9;APOL2;SERPINB9;TNFSF13B;GEM;SOCS1;TAP1;MAFF;GBP3;MCL1;NAMPT;RBCK1;BCL3;CXCL11;CD38;IL15RA;TRAFD1
3,ATF3;SPATS2L;SERPING1;TBX3;HLA-C;HLA-A;HLA-B;JUNB;ODC1;FAM46A;FNDC3B;Fibroblasts NPY+ SLITRK6+;IL1R1;PMAIP1;TIMP1;CEBPD;STAT1;BST2;EPSTI1;RARRES3;ADM
4,CD9;PNRC1;LGALS3;RBM25;C15orf48;SPSB1;GBP2;Myofibroblasts HHIP+ NPNT+;Myofibroblasts GREM1+ GREM2+;CES1;AHNAK2
5,APOL1;TCF7L2;RPL22;PXK;MAB21L2;RNF114;FKBP5;ANGPTL1;BATF2;EXT1;Inflammatory fibroblasts IL11+ CHI3L1+;SMAD3;TMEM51;MAP3K5;ETV7;PFKFB3;CCDC92;LPCAT1;B4GALT5;MT1G;GBA;Stromal Cycling cells;Pericytes RERGL+ NTRK2+;ANKFY1;AKT3;TLK2;GPX2;TRIM5;WHAMM;PNPT1;SERPINE1;P2RY6;NPAS2;GCA;SIRPA;LRG1;AIM2;Fibroblasts KCNN3+ LY6H+;PLIN2;DDX58;ATP10D;ALYREF;RTP4;TLR3;MVB12B;MYOF;IFI30;Fibroblasts SFRP2+ SLPI+;ACSL1;FNDC4;ENPP1;SECTM1;MYD88;SAMD4A;SLC1A1;PUS1;CD274;TMEM255A;ABTB2;NDC80;MB21D1;MICB;HSH2D;ZBP1;TRIM14;HLA-G;PMM2;MASTL;MT1H;FUT4;C9orf91;GK;STARD5;PI4K2B;ARNTL;CFB;PADI2;B2M;RNASE4;CCR1;AMPH;ULK4;FZD5;ZNF385B;UPP2;TRIM34;TFEC;TAP2;STAP1;S100A8;PHF15;NT5C3;NOD2;NEURL3;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;ARG2;AQP9;ANKRD22;APOBEC3A;EIF3L;RGS1;TAGAP;ETV6;NCF1;PDK1;KIAA0040;MAFB;Fibroblasts SMOC2+ PTGIS+;SAA1;PDGFRL
6,PTMA;PLSCR1;Endothelial cells LTC4S+ SEMA3G+;IFIT1;NAPA;DCP1A;TREX1;CASP7;PHF11;COMMD3;SLC16A1;MTHFD2L;TRIM21;SLC25A28;OAS2;IRF7;SNN;C4orf33;CDK17;RNF19B;ERLIN1;TNFRSF10A;IFI44;ABLIM3;SLC25A30;IFIT5;GCH1;OASL;CRY1;HERC6;USP18;NFIL3;TDRD7
7,PSMB9;ALDH1A1;VMP1;MT1X;ST3GAL4;RASSF4;MT1M;MT1F;GALNT2;SCO2;IMPA2;SAMHD1;SCARB2;IFI35;BLVRA;ISG20;UNC93B1;TNFAIP6;PPM1K;SLC15A3;Glial cells;FAM134B
8,HES4;VAMP5;GBP4;IFIT3;C10orf10;ISG15;IFI6;WARS;IDO1;LAP3;CX3CL1
9,CDKN1A;HLA-F;DTX3L;Pericytes HIGD1B+ STEAP4+;STEAP4;LGMN;BAG1;DDX60;GAK;PSMB8;XAF1;OAS3;IL15;IFITM3;CSRNP1;GBP5;OPTN;CHMP5;TMEM140;NMI;IRF2;PARP12;UBE2L6;JAK2
10,DDIT4;RNF213;SUN2;IRF9;MAX;PARP9;ADAR;PML;PRKD2;SOCS2;DUSP5;GJA4;CPT1A;OGFR;GLRX;CCL4;CD69
11,IFI44L;MX1;SPTLC2;LIPA;NCOA3;CYTH1;ARHGEF3;TRIM38;HELZ2;BTN3A3;ANXA2R;SP110;TRIM25;IFNGR1;CCDC109B;LEPR;VEGFC;Endothelial cells DARC+;CYP1B1
12,CD74;TNFSF10;CLEC2B;DDX3X;PIM3;LMO2;C4orf32;TXNIP;IFI27;NRN1;HLA-E;ELF1;IGFBP2;SLFN5;IFITM2;CCND3;IFI16;THBD;Endothelial cells CD36+;EHD4;HEG1
