cell_name,genes
Activated fibroblasts CCL19+ ADAMADEC1+,Activated fibroblasts CCL19+ ADAMADEC1+
Endothelial cells CD36+,Endothelial cells CD36+;HEG1
Endothelial cells DARC+,Endothelial cells DARC+
Endothelial cells LTC4S+ SEMA3G+,Endothelial cells LTC4S+ SEMA3G+;CDK17
Fibroblasts ADAMDEC1+,C1S;ADAMDEC1;Fibroblasts ADAMDEC1+;IL6ST;CCL8
Fibroblasts KCNN3+ LY6H+,Fibroblasts KCNN3+ LY6H+
Fibroblasts NPY+ SLITRK6+,Fibroblasts NPY+ SLITRK6+
Fibroblasts SFRP2+ SLPI+,Fibroblasts SFRP2+ SLPI+
Fibroblasts SMOC2+ PTGIS+,Fibroblasts SMOC2+ PTGIS+
Glial cells,Glial cells
Inflammatory fibroblasts IL11+ CHI3L1+,Inflammatory fibroblasts IL11+ CHI3L1+
Myofibroblasts GREM1+ GREM2+,Myofibroblasts HHIP+ NPNT+;Myofibroblasts GREM1+ GREM2+
Myofibroblasts HHIP+ NPNT+,Myofibroblasts HHIP+ NPNT+;Myofibroblasts GREM1+ GREM2+
Pericytes HIGD1B+ STEAP4+,Pericytes HIGD1B+ STEAP4+
Pericytes RERGL+ NTRK2+,Pericytes RERGL+ NTRK2+;B2M
Stromal Cycling cells,PMM2;ETV7;FZD5;Stromal Cycling cells;P2RY6;ULK4;AMPH;FUT4;ACSL1;ABTB2;FNDC4;SECTM1;RNASE4;MASTL;NDC80;TMEM255A;MICB;CD163;TRIM14;GK;CFB;ZNF385B;UPP2;TRIM34;TFEC;TAP2;STAP1;SAA1;S100A8;PHF15;PADI2;NT5C3;NOD2;NEURL3;MT1H;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;HSH2D;HLA-G;HESX1;GZMB;GPX2;G6PC;FTSJD2;FCGR1A;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD274;CCR1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;AQP9;APOBEC3A;AIM2;ANKRD22
