cluster_ID,genes
1,PSMB8;TAP1;ETV6;SERPINB9;IL15;IDO1;Mature DCs;LAMP3;BCL2L14;TRIM38;DC1;CXCL10;CCL19;C9orf91;TRIM5;CXCL9
2,CDKN1A;GBP1;CYTH1;ACSL1;IL6ST;IRF2;TRIM14;JAK2;RNF19B;MCOLN2;CASP7;TRAFD1;MAFF;APOL2;CD274;SOCS2;CRY1;Macrophages CXCL9+ CXCL10+;GBA;GEM;ARNTL;PIM3;RBCK1;NMI;ILCs;PPM1K
3,EIF3L;NCF1;PMAIP1;B cells;SP110;Immune Cycling cells;ODC1;STAP1;PXK;NCOA3;AIM2;B cells AICDA+ LRMP+;PUS1
4,SOCS1;ELF1;CCND3;CCDC109B;CD69;DDIT4;GBP2;Tregs;FAM134B;T cells Naive CD4+;PNRC1;HLA-A;RARRES3;SUN2;SLFN5
5,PSMB9;HLA-F;T cells CD4+ FOSB+;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);ANXA2R;HLA-C;HLA-B;OPTN;ARHGEF3;T cells OGT+;GBP5;IRF9;GZMB;TNFAIP3;TAGAP;CCL5;T cells CD8+;T cells CD8+ KLRG1+;LY6E;STAT1;RNF213;CCL4
6,ISG20;DUSP5;Plasma cells;CD38;HSH2D;COMMD3;PDK1;ZBP1;FNDC3B
7,RBM25;ADAR;GBP3;GAK;WHAMM;PHF11;T cells CD4+ IL17A+;NK cells KLRF1+ CD3G-;SMAD3;AKT3;KIAA0040;PRKD2;IFIT5;DCP1A;SAMD4A;SPSB1;HESX1;NFIL3;OASL;MTHFD2L;RTP4;DDX58;ETV7;FUT4;HERC6;ERLIN1;TNFRSF10A;MICB;B2M;ULK4;IL15RA;ST3GAL4;IFNLR1;ZNF385B;VEGFC;UPP2;TRIM34;TNFAIP6;TMEM255A;TLR3;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;S100A8;RNASE4;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NOD2;NEURL3;NDC80;MYOF;MKX;MASTL;MAP3K14;MAB21L2;LRG1;IL1RN;IL17RB;IGFBP2;HLA-G;GPX2;GJA4;G6PC;FZD5;FTSJD2;FNDC4;FFAR2;CXCL11;CX3CL1;CTCFL;CRP;CMAHP;CLEC4D;CFB;CES1;CD80;CCNA1;C5orf27;C22orf28;BUB1;BATF2;ARG2;AQP9;APOBEC3A;ANKRD22;ANGPTL1;AMPH;AHNAK2;ABLIM3;ABTB2;DDX60;Neutrophils S100A8+ S100A9+;C1S;ADM;LEPR;APOL1;STARD5;TRIM21;SLC25A28;TCF7L2;GALNT2;MT1M;BTN3A3;MAP3K5;EXT1;SLC25A30;GCH1;PMM2;PI4K2B;CREB3L3;HELZ2;Macrophages PLA2G2D+;MB21D1;HEG1;TMEM140;SLC16A1;C10orf10;Monocytes CHI3L1+ CYP27A1+;TDRD7;USP18
8,C15orf48;SCO2;OGFR;IMPA2;UBE2L6;WARS;MYD88;OAS3;GK;IRF7;Monocytes S100A8+ S100A9+;LPCAT1;IFIT2;IFIT3;TMEM51;EHD4;ALYREF;PARP12;MX1;TRIM25;TREX1;ATP10D;TLK2
9,RPL22;PTMA;ENPP1;CCDC92;IL1R1;FAM46A;PLIN2;CD9;Mast cells;MAX;HES4;B4GALT5;CPT1A;C4orf33;IFIT1;CDK17;PNPT1
10,TXNIP;FKBP5;UNC93B1;SPTLC2;RNF114;THBD;CCL2;CLEC4E;Macrophages LYVE1+;BCL3;CCL8;CYP1B1;IFI44L;IFI44;DDX3X;PFKFB3;XAF1;SIRPA;DTX3L;NAPA;PARP9;MVB12B;FCGR1A;PML;ANKFY1
11,TIMP1;BST2;ALDH1A1;TNFSF10;RGS1;MCL1;JUNB;IFITM2;CSRNP1
12,VMP1;CHMP5;IFI27;C4orf32;LMO2
13,CD74;MARCKS;TYMP;IFNGR1;TNFSF13B;GCA;MT1G;DC2 CD1D-;DC2 CD1D+;PLSCR1;IFITM3;CEBPD;Macrophages;SAMHD1
14,SPATS2L;BLVRA;LGALS3;ATF3;LAP3;RASSF4;EPSTI1;SNN;GBP4;SLC15A3;IFI30
15,IFI16;IFI35;MT1X;Macrophages Metallothionein;MT1H;TFEC;MT1F;IFI6;NAMPT;CCR1;LIPA;SECTM1;GLRX;P2RY6;VAMP5;LGMN;MAFB;CD163;MSR1;SERPING1;SCARB2;Macrophages CCL3+ CCL4+;ISG15;OAS2;BAG1;ADAMDEC1;HLA-E;CLEC2B
