cluster_ID,genes
1,CD74;MARCKS;GLRX;CD38;Plasma cells;ISG20;COMMD3
2,MCL1;CDKN1A;DUSP5;PDK1;ODC1;HSH2D;FNDC3B;ZBP1;PPM1K;SLC16A1;GALNT2;PMM2
3,BST2;IFITM3;FAM46A;SPATS2L;PLSCR1;IFIT2;BLVRA;MYD88;TIMP1;LGALS3;ALDH1A1;LMO2
4,SERPINB9;C15orf48;LIPA;LAP3;LPCAT1;Macrophages CCL3+ CCL4+;IMPA2;P2RY6;LGMN;Macrophages;ADAMDEC1;SLC15A3;SECTM1;Immune Cycling cells;DC1;IDO1
5,TYMP;BAG1;TRIM14;CCR1;SNN;DC2 CD1D-;DC2 CD1D+;GCA;CD163;FCGR1A;TFEC;SERPING1;CCL2;CXCL9;NCF1;Macrophages LYVE1+;WARS;UNC93B1;RASSF4;MSR1;MAFB;SIRPA;GAK
6,CSRNP1;NAMPT;SCARB2;BCL3;NFIL3;ETV6;TCF7L2;PML;TRIM25;IL6ST;CLEC4E;MASTL;Monocytes S100A8+ S100A9+;TMEM51;MYOF;IL1RN;S100A8;LAMP3;THBD;AQP9;NCOA3;C4orf33;Mature DCs;C9orf91;Neutrophils S100A8+ S100A9+;GBA;CXCL10;MAFF;IFI30;MB21D1;ATP10D;JAK2;PI4K2B
7,ATF3;PIM3;C4orf32;PFKFB3;RNF19B;CASP7;FUT4;ACSL1;PARP12;GK;LRG1;IFIT5;MAP3K5;SCO2;ADM;IL15;NDC80;USP18;BUB1
8,B cells;MT1G;IFNLR1;STARD5;ARG2;TREX1;STAP1;C10orf10;OASL;CRY1;HLA-B;NOD2;CD274;GPX2;MT1M;MT1H;RPL22;IFI27;SPSB1;SAMD4A;CCL19;TNFRSF10A;B cells AICDA+ LRMP+;EXT1;Monocytes CHI3L1+ CYP27A1+;B2M;ZNF385B;VEGFC;UPP2;TRIM34;TNFAIP6;TMEM255A;TLR3;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;RNASE4;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NEURL3;MKX;MAP3K14;MAB21L2;LEPR;IL17RB;HESX1;GJA4;G6PC;FZD5;FTSJD2;FNDC4;FFAR2;ENPP1;CYP1B1;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CD80;CCNA1;CCL8;C22orf28;C1S;BCL2L14;BATF2;APOBEC3A;ANKRD22;ANGPTL1;AMPH;AHNAK2;ABLIM3;ABTB2;C5orf27;PRKD2;MICB;HLA-G;HELZ2
9,CD9;TRIM5;KIAA0040;WHAMM;MT1X;MT1F;Macrophages Metallothionein;DDX58;HEG1;B4GALT5;ST3GAL4;IFIT1;Mast cells;ERLIN1;PNPT1
10,SPTLC2;IFIT3;OAS2;ULK4;CPT1A;ANKFY1;CCDC92;PXK;IFI6;T cells CD8+ KLRG1+;T cells CD8+;FAM134B;SMAD3;IRF9;HLA-C;PTMA;TRAFD1;RTP4;ILCs;Macrophages CXCL9+ CXCL10+;MVB12B;MCOLN2;SLC25A28;MX1;BTN3A3;Tregs;T cells Naive CD4+;IL1R1;AIM2;OAS3;APOL2
11,IFI35;GCH1;PMAIP1;GEM;MTHFD2L;TLK2;EHD4;NK cells KLRF1+ CD3G-;TRIM21;HERC6;APOL1;CDK17;SOCS2;AKT3;IRF7;IGFBP2;TMEM140;IL15RA;PUS1;SLC25A30;Macrophages PLA2G2D+;TDRD7
12,CCL4;DDX60;IRF2;GZMB;CEBPD;ALYREF;TRIM38;OGFR;DTX3L;RNF114
13,TNFAIP3;MAX;XAF1;HES4;DCP1A;PARP9;CYTH1;ADAR;FKBP5;ARNTL;IFI44;T cells CD4+ IL17A+;IFI44L;GBP3;ETV7;RGS1
14,TNFSF10;DDX3X;PLIN2;JUNB;DDIT4
15,RNF213;ISG15;HLA-A;TAGAP;HLA-F;RARRES3;PSMB9;GBP2;SUN2;CCDC109B;RBM25;GBP5;T cells CD4+ FOSB+;PHF11;ELF1;VMP1;SP110;CD69;SLFN5;RBCK1;PNRC1;SOCS1;OPTN;CCL5;ANXA2R;ARHGEF3;HLA-E;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);TAP1;T cells OGT+
16,TXNIP;VAMP5;STAT1;IFI16;IFITM2;PSMB8;CCND3;IFNGR1;NMI;CHMP5;CLEC2B;LY6E;UBE2L6;EIF3L;GBP4;TNFSF13B;SAMHD1;GBP1;EPSTI1;NAPA
