cluster_ID,genes
1,C1S;TIMP1;CEBPD;LGALS3;C10orf10;Fibroblasts SFRP2+ SLPI+;RNASE4;TNFSF13B;FAM46A;ADM;GLRX;TNFAIP6;SERPING1;PDGFRL;Fibroblasts KCNN3+ LY6H+;FKBP5;IL15RA;SPSB1;TCF7L2;TXNIP;Fibroblasts SMOC2+ PTGIS+;ARNTL
2,LY6E;BST2;PLSCR1;APOL1;IFIT1;IFITM3;DDIT4;BCL3;MCL1;IL6ST;SOCS2;LEPR;CCDC109B;NAMPT
3,MARCKS;PNRC1;PPM1K;ALDH1A1;ANGPTL1;ST3GAL4;IFI35;VMP1;RBM25;GALNT2;COMMD3;RASSF4;Glial cells;SAMHD1;FAM134B;TMEM255A;ANKFY1;SLC15A3
4,CCL2;PTMA;CHMP5;GCA;BAG1;NAPA;MT1X;ODC1;ATF3;MT1M
5,GEM;SPATS2L;Myofibroblasts HHIP+ NPNT+;Myofibroblasts GREM1+ GREM2+;CES1;RPL22;MAB21L2;B4GALT5;AHNAK2;RGS1;BLVRA;CCDC92;EIF3L;IMPA2
6,RARRES3;TYMP;IL1R1;TBX3;SCARB2;Fibroblasts NPY+ SLITRK6+;GBP2;FNDC3B;TRIM5;GBP1;EPSTI1;PHF11;ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;CCL19;MAFB;TNFAIP3;Fibroblasts ADAMDEC1+;CCL8
7,OPTN;STAT1;SP110;IFIT2;AKT3;TRIM38;MAX;ADAR;USP18;RTP4;APOL2;DDX58;HERC6;IRF2;RNF213;IFIT5;PI4K2B;CSRNP1;MYOF;PARP9;CASP7;GBP3;DTX3L;SLC16A1;TRIM21;DDX60;LPCAT1;EXT1;ULK4;RNF19B;SLC25A30;GCH1;TRIM25;TAGAP
8,SOCS1;PXK;ATP10D;OGFR;FNDC4;FZD5;FUT4;NDC80;CFB;DCP1A;PFKFB3;SNN;ACSL1;MVB12B;GK;UNC93B1;PUS1;TNFRSF10A;SMAD3;GBA;TRAFD1;ZNF385B;Inflammatory fibroblasts IL11+ CHI3L1+;GBP5;ARG2;MB21D1;PDK1;GPX2;MASTL;AMPH;MAP3K5;TRIM14;SECTM1;MICB;B2M;CD69;CXCL10;Stromal Cycling cells;WHAMM;C9orf91;TDRD7;JAK2;ETV7;PMM2;NPAS2;ZBP1;UPP2;TRIM34;TFEC;TAP2;STARD5;STAP1;SLC1A1;SAA1;S100A8;PHF15;PADI2;NT5C3;NOD2;NEURL3;NCF1;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CXCL9;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD274;CD163;CCR1;CCNA1;CCL4;C5orf27;C22orf28;BUB1;BCL2L14;AQP9;APOBEC3A;ANKRD22;ABTB2;AIM2
9,Endothelial cells CA4+ CD36+;RBCK1;MT1H;NCOA3;CPT1A;PLIN2;Lymphatics;SIRPA;CCL5;CD38;SERPINB9;TMEM140;PNPT1;GAK;LGMN;IDO1;CYTH1;Endothelial cells DARC+;IL15;BTN3A3;NMI;C15orf48;ETV6;ALYREF;SLC25A28;TLK2;SERPINE1;P2RY6;BATF2;C4orf33;OASL;SCO2;MYD88;TLR3;ENPP1;PMAIP1
10,GJA4;KIAA0040;TMEM51;MT1F;Pericytes RERGL+ NTRK2+;Pericytes HIGD1B+ STEAP4+;STEAP4;MTHFD2L;SAMD4A;NFIL3;CRY1;JUNB
11,IFITM2;PIM3;NRN1;LIPA;C4orf32;HLA-E;ELF1;CCND3;SPTLC2;CDK17;DUSP5;LMO2;PRKD2;ANXA2R;LRG1;MT1G;MAFF;UBE2L6;ISG20
12,ISG15;IFI27;HLA-C;HLA-F;GBP4;WARS;HLA-B;HLA-A;VAMP5;PSMB8;ARHGEF3;CDKN1A;IGFBP2;CD74;CLEC2B;TNFSF10;LAP3;IFI6;IFI16;THBD;PSMB9;Endothelial cells CD36+;TAP1;XAF1
13,IFIT3;IRF9;IFI44;HEG1;EHD4;IFI44L;MX1;TREX1;IFNGR1;Endothelial cells LTC4S+ SEMA3G+;SLFN5;ERLIN1;RNF114;IRF7;PML;CX3CL1;HELZ2;OAS3;OAS2;ABLIM3;PARP12;CYP1B1;VEGFC
14,HES4;DDX3X;CD9;SUN2
