cluster_ID,genes
1,TNFSF10;CLEC2B;Endothelial cells CD36+;HEG1;C4orf32;THBD;EHD4;SOCS2;SLFN5;GBP4;IFI44L;ELF1;SERPINE1
2,IFI27;HLA-B;LEPR;CXCL9;CPT1A;C15orf48;PMAIP1;CXCL11;CYTH1;Endothelial cells DARC+;DDX3X
3,WARS;NRN1;LMO2;PIM3;ANXA2R;CD74;TXNIP;IFI16;LGMN;IFNGR1;IFITM2;PSMB8;ADAR;PSMB9
4,UBE2L6;OPTN;CDKN1A;LIPA;IFI35;BAG1;LAP3;PLSCR1;IFITM3;TAP1;RBCK1;RNF213;PLIN2;HELZ2;TCF7L2;APOL1;OAS2;NAPA;CSRNP1
5,IFIT3;IGFBP2;GJA4;CX3CL1;PRKD2;CCND3;ODC1;DDIT4;MX1;DTX3L;XAF1;Endothelial cells LTC4S+ SEMA3G+;ARHGEF3;CDK17;OAS3;Endothelial cells CA4+ CD36+;ETV6;P2RY6;IFI44;LRG1;MAX;CHMP5;SLC15A3;GBP5;RNF114;AKT3;CRY1;OASL;GCH1;TREX1;MTHFD2L
6,IRF9;GCA;TRIM5;GPX2;RTP4;RASSF4;SPTLC2;CCDC109B;GBP3;TMEM140;RBM25;SIRPA;PML;TRIM25;PFKFB3;SLC25A28;MT1M;PADI2;FAM134B;IRF2;MYD88;WHAMM;MT1H;GAK
7,BATF2;TRAFD1;TNFAIP6;SLC16A1;Fibroblasts KCNN3+ LY6H+;OGFR;SMAD3;PXK;UNC93B1;MVB12B;IMPA2
8,Pericytes HIGD1B+ STEAP4+;STEAP4;MT1G;SCO2;SUN2;Pericytes RERGL+ NTRK2+;NMI;SLC1A1;FZD5;HERC6;SAMD4A;CCDC92;IL15;PARP9;ALYREF;TFEC;SLC25A30;TRIM38;TLR3;TNFRSF10A;TLK2;C4orf33;ATP10D
9,PPM1K;DDX60;MYOF;GZMB;PI4K2B;LPCAT1;MCOLN2;MAFF;CD274;TRIM14;GK;SECTM1;CLEC4E;JAK2;Stromal Cycling cells;AHNAK2;TDRD7;ULK4;TRIM21;ACSL1;EXT1;ETV7;ANKFY1;AMPH;PDGFRL;MB21D1;MICB;C9orf91;ENPP1;FUT4;FCGR1A;PMM2;NPAS2;PUS1;IL1RN;LAMP3;HSH2D;AIM2;CFB;NDC80;BCL2L14;CD163;STARD5;FNDC4;MASTL;ARNTL;ZNF385B;UPP2;TRIM34;TMEM255A;TAP2;STAP1;S100A8;RNASE4;PHF15;NT5C3;NOD2;NEURL3;MSR1;MKX;MAP3K14;IL17RB;IFNLR1;HLA-G;HESX1;G6PC;FTSJD2;FFAR2;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CD80;CCNA1;C5orf27;C22orf28;BUB1;B2M;ARG2;AQP9;ABTB2;APOBEC3A
10,CXCL10;EIF3L;IFI6;DCP1A;CASP7;NCF1;ISG20;CYP1B1;MT1X;RPL22;COMMD3;BTN3A3;PDK1;GALNT2;MT1F;NCOA3;RNF19B;CCR1;FKBP5;SNN;DDX58;PNPT1;IFIT5;ANKRD22;PTMA;ERLIN1;ZBP1;USP18
11,GEM;JUNB;STAT1;VMP1;IFI30;SAMHD1;TBX3;Myofibroblasts HHIP+ NPNT+;FAM46A;MAB21L2;PNRC1;Myofibroblasts GREM1+ GREM2+;EPSTI1;Fibroblasts SFRP2+ SLPI+;SPSB1;GBA;ABLIM3;CES1
12,IFIT1;BCL3;SOCS1;GLRX;MAP3K5;TMEM51;NFIL3;IDO1;IRF7;ST3GAL4;PHF11;BLVRA;ANGPTL1;VEGFC
13,IL1R1;MAFB;ISG15;Fibroblasts NPY+ SLITRK6+;IL15RA;Inflammatory fibroblasts IL11+ CHI3L1+;SAA1;Fibroblasts SMOC2+ PTGIS+;KIAA0040;SPATS2L
14,MARCKS;CCL2;IL6ST;RARRES3;IFIT2;TNFSF13B;Lymphatics;ALDH1A1
15,TIMP1;SERPING1;CEBPD;HLA-E;HLA-C;HLA-A;VAMP5;HLA-F;BST2;LY6E
16,GBP2;APOL2;B4GALT5;SCARB2;HES4;PARP12
17,LGALS3;CD9;GBP1;C10orf10;Glial cells
18,C1S;ATF3;ADAMDEC1;Fibroblasts ADAMDEC1+;Activated fibroblasts CCL19+ ADAMADEC1+;ADM;CCL19;CCL8;TYMP;NAMPT
19,SERPINB9;CD38;CCL4;TNFAIP3;CD69;RGS1;CCL5;SP110;TAGAP;DUSP5;MCL1;FNDC3B
