cell_name,genes
Activated fibroblasts CCL19+ ADAMADEC1+,CCL19;ADAMDEC1
Endothelial cells CA4+ CD36+,CD4;CD36
Endothelial cells CD36+,CD36;RBP7;TMEM88;PLVAP;COL15A1
Endothelial cells DARC+,DARC;SELE;C2CD4B;GPR126;CPE
Endothelial cells LTC4S+ SEMA3G+,SEMA3G;LTC4S;C10orf10
Fibroblasts ADAMDEC1+,CCL11;ADAMDEC1;CCL13;HAPLN1
Fibroblasts KCNN3+ LY6H+,KCNN3;LY6H;DPT;C7;;SCN7A
Fibroblasts NPY+ SLITRK6+,NPY;SLITRK6;F3;EDNRB;NSG1
Fibroblasts SFRP2+ SLPI+,SLPI;SFRP2;IGFBP6;MFAP5
Fibroblasts SMOC2+ PTGIS+,SMOC2;PTGIS;F3;PCSK6;ADAMTSL3;PCSK6
Glial cells,GPM6B;S100B;PLP1;NRXN1;CDH19;SCN7A;LGI4;SPP1
Inflammatory fibroblasts IL11+ CHI3L1+,CHI3L1;IL11;MMP3;MMP1;TNC
Lymphatics,CCL21;MMRN1;LYVE1;TFPI;PPFIBP1
Myofibroblasts GREM1+ GREM2+,GREM1;GREM2;ACTG2;DES;TAGLN;MYH11
Myofibroblasts HHIP+ NPNT+,HHIP;NPNT;SOSTDC1;ACTG2;ACTA2;MYH11;TAGLN
Pericytes HIGD1B+ STEAP4+,NOTCH3;HIGD1B;STEAP4;COX4I2;FABP4
Pericytes RERGL+ NTRK2+,NTRK2;RERGL;PLN;NOTCH3
Stromal Cycling cells,HMGB2;UBE2C;PTTG1;TOP2A;MKI67;CDC20;H2AFZ;CCNB1;BIRC5;NUSAP1
