cell_name,genes
Activated fibroblasts CCL19+ ADAMADEC1+,RARRES3;IL6ST;ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;Fibroblasts ADAMDEC1+
Endothelial cells CA4+ CD36+,Endothelial cells CA4+ CD36+;MAX;LGMN;IRF7;NCOA3;TRIM38;IRF2;TMEM140
Endothelial cells CD36+,TNFSF10;GBP4;CHMP5;PSMB9;CCND3;HLA-F;ARHGEF3;ADAR;IGFBP2;SLFN5;EHD4;Endothelial cells CD36+
Endothelial cells DARC+,Endothelial cells DARC+;IL1R1;CYTH1;PMAIP1;PIM3
Endothelial cells LTC4S+ SEMA3G+,LEPR;Endothelial cells LTC4S+ SEMA3G+;IFI44L;CX3CL1
Fibroblasts ADAMDEC1+,RARRES3;IL6ST;ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;Fibroblasts ADAMDEC1+
Fibroblasts KCNN3+ LY6H+,Fibroblasts SFRP2+ SLPI+;Fibroblasts KCNN3+ LY6H+;ADM;TNFAIP6;FAM46A;LGALS3;MAFF;TNFSF13B
Fibroblasts NPY+ SLITRK6+,STAT1;SPATS2L;FNDC3B;ODC1;MAFB;Fibroblasts NPY+ SLITRK6+;Fibroblasts SMOC2+ PTGIS+;TBX3
Fibroblasts SFRP2+ SLPI+,Fibroblasts SFRP2+ SLPI+;Fibroblasts KCNN3+ LY6H+;ADM;TNFAIP6;FAM46A;LGALS3;MAFF;TNFSF13B
Fibroblasts SMOC2+ PTGIS+,STAT1;SPATS2L;FNDC3B;ODC1;MAFB;Fibroblasts NPY+ SLITRK6+;Fibroblasts SMOC2+ PTGIS+;TBX3
Glial cells,Glial cells;FAM134B
Inflammatory fibroblasts IL11+ CHI3L1+,GALNT2;Inflammatory fibroblasts IL11+ CHI3L1+
Lymphatics,RGS1;ISG20;Lymphatics;CD38
Myofibroblasts GREM1+ GREM2+,Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;CYP1B1
Myofibroblasts HHIP+ NPNT+,Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;CYP1B1
Pericytes HIGD1B+ STEAP4+,HES4;FKBP5;Pericytes RERGL+ NTRK2+;Pericytes HIGD1B+ STEAP4+;NFIL3;STEAP4
Pericytes RERGL+ NTRK2+,HES4;FKBP5;Pericytes RERGL+ NTRK2+;Pericytes HIGD1B+ STEAP4+;NFIL3;STEAP4
Stromal Cycling cells,RNASE4;DCP1A;SMAD3;PDK1;NCF1;TRIM5;RASSF4;APOL2;CXCL10;PXK;MAP3K5;IL15RA;CXCL9;ACSL1;SLC15A3;GBP3;SOCS1;TLR3;NAPA;HERC6;CCDC92;LPCAT1;ATP10D;JAK2;Stromal Cycling cells;TRAFD1;GBP5;ERLIN1;TRIM14;CFB;SLC25A30;C4orf33;SECTM1;IRF9;FNDC4;ZNF385B;ZBP1;USP18;UPP2;UNC93B1;ULK4;TRIM34;TMEM255A;TFEC;TDRD7;TAP2;STARD5;STAP1;SLC1A1;SAA1;S100A8;PUS1;PMM2;PHF15;PDGFRL;PADI2;P2RY6;OASL;NT5C3;NPAS2;NOD2;NEURL3;NDC80;MVB12B;MSR1;MKX;MICB;MCOLN2;MASTL;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;GK;G6PC;FZD5;FUT4;FTSJD2;FFAR2;FCGR1A;ETV7;ENPP1;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCR1;CCNA1;C9orf91;C5orf27;C22orf28;BUB1;BCL2L14;BATF2;ARNTL;ARG2;AQP9;APOBEC3A;ANKRD22;AMPH;ABTB2;AIM2;PNPT1;ST3GAL4;WHAMM;TRIM21;SNN
