cell_name,genes
Activated fibroblasts CCL19+ ADAMADEC1+,ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;Fibroblasts ADAMDEC1+;CCL8
Endothelial cells CA4+ CD36+,Endothelial cells CA4+ CD36+;NCOA3;Endothelial cells DARC+
Endothelial cells CD36+,IFI27;HLA-B;HLA-A;VAMP5;IGFBP2;CD74;Endothelial cells CD36+
Endothelial cells DARC+,Endothelial cells CA4+ CD36+;NCOA3;Endothelial cells DARC+
Endothelial cells LTC4S+ SEMA3G+,IFI44L;MX1;TREX1;Endothelial cells LTC4S+ SEMA3G+;ERLIN1
Fibroblasts ADAMDEC1+,ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;Fibroblasts ADAMDEC1+;CCL8
Fibroblasts KCNN3+ LY6H+,Fibroblasts KCNN3+ LY6H+;SPSB1;Fibroblasts SMOC2+ PTGIS+
Fibroblasts NPY+ SLITRK6+,IL1R1;Fibroblasts NPY+ SLITRK6+;FNDC3B;PHF11
Fibroblasts SFRP2+ SLPI+,TIMP1;Fibroblasts SFRP2+ SLPI+;SERPING1
Fibroblasts SMOC2+ PTGIS+,Fibroblasts KCNN3+ LY6H+;SPSB1;Fibroblasts SMOC2+ PTGIS+
Glial cells,PNRC1;IFI35;Glial cells
Inflammatory fibroblasts IL11+ CHI3L1+,SOCS1;PXK;ATP10D;OGFR;FNDC4;FZD5;FUT4;NDC80;CFB;DCP1A;SNN;ACSL1;MVB12B;GK;UNC93B1;PUS1;TNFRSF10A;SMAD3;GBA;TRAFD1;ZNF385B;Inflammatory fibroblasts IL11+ CHI3L1+;GBP5;ARG2;PDK1;GPX2;MASTL;AMPH;MAP3K5;TRIM14;SECTM1;MICB;CXCL10;WHAMM;C9orf91;TDRD7;JAK2;ETV7;NPAS2;ZBP1;UPP2;TRIM34;TFEC;TAP2;STARD5;STAP1;SLC1A1;SAA1;S100A8;PHF15;PADI2;NT5C3;NOD2;NEURL3;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CXCL9;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD274;CD163;CCR1;CCNA1;CCL4;C5orf27;C22orf28;BUB1;BCL2L14;AQP9;APOBEC3A;ANKRD22;ABTB2;AIM2
Lymphatics,Lymphatics;SIRPA;GAK;TLR3
Myofibroblasts GREM1+ GREM2+,Myofibroblasts HHIP+ NPNT+;Myofibroblasts GREM1+ GREM2+;RGS1;CCDC92
Myofibroblasts HHIP+ NPNT+,Myofibroblasts HHIP+ NPNT+;Myofibroblasts GREM1+ GREM2+;RGS1;CCDC92
Pericytes HIGD1B+ STEAP4+,GJA4;Pericytes HIGD1B+ STEAP4+
Pericytes RERGL+ NTRK2+,Pericytes RERGL+ NTRK2+;CRY1
Stromal Cycling cells,PFKFB3;Stromal Cycling cells;PMM2
