cell_name,genes
Activated fibroblasts CCL19+ ADAMADEC1+,RARRES3;ADAMDEC1;Fibroblasts ADAMDEC1+;Activated fibroblasts CCL19+ ADAMADEC1+;VMP1;CCL8
Endothelial cells CA4+ CD36+,Endothelial cells CA4+ CD36+
Endothelial cells CD36+,CHMP5;HEG1;Endothelial cells CD36+;EHD4;PSMB9
Endothelial cells DARC+,LY6E;IL1R1;Endothelial cells DARC+
Endothelial cells LTC4S+ SEMA3G+,NRN1;IFI44L;Endothelial cells LTC4S+ SEMA3G+
Fibroblasts ADAMDEC1+,RARRES3;ADAMDEC1;Fibroblasts ADAMDEC1+;Activated fibroblasts CCL19+ ADAMADEC1+;VMP1;CCL8
Fibroblasts KCNN3+ LY6H+,Fibroblasts SFRP2+ SLPI+;TNFSF13B;FAM46A;ALDH1A1;ANGPTL1;TNFAIP6;Fibroblasts KCNN3+ LY6H+
Fibroblasts NPY+ SLITRK6+,Fibroblasts NPY+ SLITRK6+
Fibroblasts SFRP2+ SLPI+,Fibroblasts SFRP2+ SLPI+;TNFSF13B;FAM46A;ALDH1A1;ANGPTL1;TNFAIP6;Fibroblasts KCNN3+ LY6H+
Fibroblasts SMOC2+ PTGIS+,RGS1;ISG20;CCL4;CCL5;CD69;FNDC3B;SAMHD1;MAFB;ODC1;PPM1K;Fibroblasts SMOC2+ PTGIS+;TBX3;PLIN2;CD38;TMEM51
Glial cells,Glial cells
Inflammatory fibroblasts IL11+ CHI3L1+,SOCS1;PXK;MAP3K5;Inflammatory fibroblasts IL11+ CHI3L1+;CXCL10;CXCL9;IL15RA;SMAD3;SAMD4A;AKT3;CCDC92;APOL2;ERLIN1;GBP3;TRAFD1;PMM2;NAPA;ANKFY1;USP18;LPCAT1;TRIM5;JAK2;PI4K2B;MVB12B;GAK;ARG2;RNASE4;ATP10D;TLR3;TRIM14;TDRD7;PNPT1;TLK2;ALYREF;CD274;MYD88;Stromal Cycling cells;PUS1;TRIM21;C4orf33;SLC25A30;WHAMM;IL15;OASL;P2RY6;HERC6;ULK4;ENPP1;GBP5;CFB;ACSL1;FZD5;SECTM1;BATF2;UNC93B1;C9orf91;NPAS2;ZNF385B;ZBP1;UPP2;TRIM34;TMEM255A;TFEC;TAP2;STARD5;STAP1;SLC1A1;SAA1;S100A8;PHF15;PADI2;NT5C3;NOD2;NEURL3;NDC80;MSR1;MKX;MICB;MCOLN2;MASTL;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;GK;G6PC;FUT4;FTSJD2;FFAR2;FCGR1A;ETV7;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCR1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;ARNTL;AQP9;APOBEC3A;ANKRD22;ABTB2;AIM2;AMPH;DCP1A;SNN;GBA;ST3GAL4;FNDC4;PDK1;TAGAP;OGFR;IRF9;NCF1;SLC15A3;RASSF4;FAM134B
Lymphatics,Lymphatics
Myofibroblasts GREM1+ GREM2+,Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+
Myofibroblasts HHIP+ NPNT+,Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+
Pericytes HIGD1B+ STEAP4+,Pericytes RERGL+ NTRK2+;Pericytes HIGD1B+ STEAP4+
Pericytes RERGL+ NTRK2+,Pericytes RERGL+ NTRK2+;Pericytes HIGD1B+ STEAP4+
Stromal Cycling cells,SOCS1;PXK;MAP3K5;Inflammatory fibroblasts IL11+ CHI3L1+;CXCL10;CXCL9;IL15RA;SMAD3;SAMD4A;AKT3;CCDC92;APOL2;ERLIN1;GBP3;TRAFD1;PMM2;NAPA;ANKFY1;USP18;LPCAT1;TRIM5;JAK2;PI4K2B;MVB12B;GAK;ARG2;RNASE4;ATP10D;TLR3;TRIM14;TDRD7;PNPT1;TLK2;ALYREF;CD274;MYD88;Stromal Cycling cells;PUS1;TRIM21;C4orf33;SLC25A30;WHAMM;IL15;OASL;P2RY6;HERC6;ULK4;ENPP1;GBP5;CFB;ACSL1;FZD5;SECTM1;BATF2;UNC93B1;C9orf91;NPAS2;ZNF385B;ZBP1;UPP2;TRIM34;TMEM255A;TFEC;TAP2;STARD5;STAP1;SLC1A1;SAA1;S100A8;PHF15;PADI2;NT5C3;NOD2;NEURL3;NDC80;MSR1;MKX;MICB;MCOLN2;MASTL;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;GK;G6PC;FUT4;FTSJD2;FFAR2;FCGR1A;ETV7;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCR1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;ARNTL;AQP9;APOBEC3A;ANKRD22;ABTB2;AIM2;AMPH;DCP1A;SNN;GBA;ST3GAL4;FNDC4;PDK1;TAGAP;OGFR;IRF9;NCF1;SLC15A3;RASSF4;FAM134B
