cell_name,genes
B cells,B cells;B cells AICDA+ LRMP+
B cells AICDA+ LRMP+,B cells;B cells AICDA+ LRMP+
DC1,DC1
DC2 CD1D-,C4orf33;DC2 CD1D-;DC2 CD1D+
DC2 CD1D+,C4orf33;DC2 CD1D-;DC2 CD1D+
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),ARHGEF3;CCL5;CLEC2B;DDIT4;GZMB;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);LY6E;T cells CD8+;T cells CD8+ KLRG1+
ILCs,ILCs;Macrophages CXCL9+ CXCL10+;Mature DCs
Immune Cycling cells,Immune Cycling cells
Macrophages,Macrophages
Macrophages CCL3+ CCL4+,Macrophages CCL3+ CCL4+
Macrophages CXCL9+ CXCL10+,ILCs;Macrophages CXCL9+ CXCL10+;Mature DCs
Macrophages LYVE1+,ABLIM3;ABTB2;AHNAK2;AMPH;ARG2;B2M;BCL2L14;C10orf10;C1S;C22orf28;C5orf27;CCNA1;CES1;CFB;CMAHP;CRP;CTCFL;CX3CL1;CXCL11;CYP1B1;ENPP1;FFAR2;FNDC4;FTSJD2;FZD5;G6PC;GJA4;HESX1;HLA-G;IFNLR1;IL17RB;LEPR;MAB21L2;Macrophages LYVE1+;MAP3K14;MKX;Monocytes CHI3L1+ CYP27A1+;NEURL3;NPAS2;NRN1;NT5C3;PDGFRL;PHF15;RNASE4;SERPINE1;SLC1A1;TAP2;TBX3;TLR3;TMEM255A;TRIM34;UPP2;VEGFC;ZNF385B
Macrophages Metallothionein,Macrophages Metallothionein
Macrophages PLA2G2D+,Macrophages PLA2G2D+
Mast cells,Mast cells
Mature DCs,ILCs;Macrophages CXCL9+ CXCL10+;Mature DCs
Monocytes CHI3L1+ CYP27A1+,ABLIM3;ABTB2;AHNAK2;AMPH;ARG2;B2M;BCL2L14;C10orf10;C1S;C22orf28;C5orf27;CCNA1;CES1;CFB;CMAHP;CRP;CTCFL;CX3CL1;CXCL11;CYP1B1;ENPP1;FFAR2;FNDC4;FTSJD2;FZD5;G6PC;GJA4;HESX1;HLA-G;IFNLR1;IL17RB;LEPR;MAB21L2;Macrophages LYVE1+;MAP3K14;MKX;Monocytes CHI3L1+ CYP27A1+;NEURL3;NPAS2;NRN1;NT5C3;PDGFRL;PHF15;RNASE4;SERPINE1;SLC1A1;TAP2;TBX3;TLR3;TMEM255A;TRIM34;UPP2;VEGFC;ZNF385B
Monocytes S100A8+ S100A9+,CLEC4E;Monocytes S100A8+ S100A9+;S100A8
Neutrophils S100A8+ S100A9+,AQP9;IL1RN;MAFB;Neutrophils S100A8+ S100A9+
NK cells KLRF1+ CD3G-,NK cells KLRF1+ CD3G-
Plasma cells,COMMD3;ISG20;PDK1;Plasma cells
T cells CD4+ FOSB+,T cells CD4+ FOSB+
T cells CD4+ IL17A+,T cells CD4+ IL17A+
T cells CD8+,ARHGEF3;CCL5;CLEC2B;DDIT4;GZMB;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);LY6E;T cells CD8+;T cells CD8+ KLRG1+
T cells CD8+ KLRG1+,ARHGEF3;CCL5;CLEC2B;DDIT4;GZMB;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);LY6E;T cells CD8+;T cells CD8+ KLRG1+
T cells Naive CD4+,T cells Naive CD4+
T cells OGT+,FAM134B;T cells OGT+
Tregs,IFI44;Tregs
