cell_name,genes
B cells,AIM2;B cells;PXK
B cells AICDA+ LRMP+,B cells AICDA+ LRMP+
DC1,DC1
DC2 CD1D-,DC2 CD1D-;DC2 CD1D+;P2RY6
DC2 CD1D+,DC2 CD1D-;DC2 CD1D+;P2RY6
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),GZMB;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);T cells CD8+;T cells CD8+ KLRG1+
ILCs,ILCs
Immune Cycling cells,Immune Cycling cells
Macrophages,LAP3;LIPA;Macrophages;MAFB;RASSF4;TYMP
Macrophages CCL3+ CCL4+,Macrophages CCL3+ CCL4+
Macrophages CXCL9+ CXCL10+,CXCL10;Macrophages CXCL9+ CXCL10+
Macrophages LYVE1+,Macrophages LYVE1+
Macrophages Metallothionein,Macrophages Metallothionein;MT1F
Macrophages PLA2G2D+,Macrophages PLA2G2D+
Mast cells,CCL2;Mast cells
Mature DCs,LAMP3;Mature DCs
Monocytes CHI3L1+ CYP27A1+,ABLIM3;ABTB2;AHNAK2;AMPH;ANGPTL1;APOBEC3A;AQP9;ARG2;BATF2;C10orf10;C22orf28;C5orf27;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CYP1B1;FFAR2;FNDC4;FTSJD2;G6PC;GJA4;HESX1;IFNLR1;IGFBP2;IL17RB;LEPR;LRG1;MAB21L2;MAP3K14;MKX;Monocytes CHI3L1+ CYP27A1+;NEURL3;Neutrophils S100A8+ S100A9+;NOD2;NPAS2;NRN1;NT5C3;PDGFRL;PHF15;PMM2;RNASE4;SAA1;SERPINE1;SLC1A1;STARD5;STEAP4;TAP2;TBX3;TLR3;TMEM140;TMEM255A;TNFAIP6;TRIM34;UPP2;USP18;VEGFC;ZNF385B
Monocytes S100A8+ S100A9+,Monocytes S100A8+ S100A9+
Neutrophils S100A8+ S100A9+,ABLIM3;ABTB2;AHNAK2;AMPH;ANGPTL1;APOBEC3A;AQP9;ARG2;BATF2;C10orf10;C22orf28;C5orf27;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CYP1B1;FFAR2;FNDC4;FTSJD2;G6PC;GJA4;HESX1;IFNLR1;IGFBP2;IL17RB;LEPR;LRG1;MAB21L2;MAP3K14;MKX;Monocytes CHI3L1+ CYP27A1+;NEURL3;Neutrophils S100A8+ S100A9+;NOD2;NPAS2;NRN1;NT5C3;PDGFRL;PHF15;PMM2;RNASE4;SAA1;SERPINE1;SLC1A1;STARD5;STEAP4;TAP2;TBX3;TLR3;TMEM140;TMEM255A;TNFAIP6;TRIM34;UPP2;USP18;VEGFC;ZNF385B
NK cells KLRF1+ CD3G-,CCDC92;NK cells KLRF1+ CD3G-
Plasma cells,DUSP5;ISG20;Plasma cells
T cells CD4+ FOSB+,T cells CD4+ FOSB+
T cells CD4+ IL17A+,T cells CD4+ IL17A+
T cells CD8+,GZMB;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);T cells CD8+;T cells CD8+ KLRG1+
T cells CD8+ KLRG1+,GZMB;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);T cells CD8+;T cells CD8+ KLRG1+
T cells Naive CD4+,ARNTL;OPTN;T cells Naive CD4+;Tregs
T cells OGT+,T cells OGT+
Tregs,ARNTL;OPTN;T cells Naive CD4+;Tregs
