cell_name,genes
B cells,TRIM38;KIAA0040;EIF3L;B cells AICDA+ LRMP+
B cells AICDA+ LRMP+,TRIM38;B cells;EIF3L
DC1,
DC2 CD1D-,C4orf33
DC2 CD1D+,C4orf33
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),RARRES3;LY6E;CLEC2B
ILCs,SCO2
Immune Cycling cells,
Macrophages,
Macrophages CCL3+ CCL4+,
Macrophages CXCL9+ CXCL10+,
Macrophages LYVE1+,C9orf91;PADI2;MSR1;FUT4;CYP1B1;CES1;Monocytes CHI3L1+ CYP27A1+;FZD5
Macrophages Metallothionein,
Macrophages PLA2G2D+,
Mast cells,
Mature DCs,
Monocytes CHI3L1+ CYP27A1+,C9orf91;MSR1;FUT4;Macrophages LYVE1+
Monocytes S100A8+ S100A9+,
Neutrophils S100A8+ S100A9+,IL1RN
NK cells KLRF1+ CD3G-,
Plasma cells,PDK1;COMMD3
T cells CD4+ FOSB+,
T cells CD4+ IL17A+,
T cells CD8+,
T cells CD8+ KLRG1+,
T cells Naive CD4+,
T cells OGT+,
Tregs,
