cell_name,new_genes,known_genes
B cells,EHD4;HSH2D;FNDC3B,
B cells AICDA+ LRMP+,PPM1K;IFIT5;GALNT2;DDX58;CCL19;Monocytes CHI3L1+ CYP27A1+;DDX60;ULK4;C1S;STARD5;PMM2;HERC6;FZD5;C10orf10;PNPT1;MICB;PUS1;EXT1;BTN3A3;IFNLR1;ETV7;B2M;ZNF385B;VEGFC;USP18;UPP2;TRIM34;TMEM255A;TLR3;TDRD7;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NOD2;NEURL3;NDC80;MKX;MAP3K14;MAB21L2;LRG1;IL17RB;IDO1;HLA-G;HESX1;GJA4;G6PC;FTSJD2;FNDC4;FFAR2;ENPP1;CXCL9;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CD80;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;BATF2;AQP9;APOBEC3A;ANKRD22;ANGPTL1;AMPH;AHNAK2;ABLIM3;ABTB2;RNASE4;TNFRSF10A;WHAMM;TMEM140,
DC1,Monocytes S100A8+ S100A9+;Immune Cycling cells;WARS;C4orf33;PML;XAF1;OGFR;GK;CXCL10;Macrophages PLA2G2D+;JAK2;OAS3;Macrophages CXCL9+ CXCL10+;MYOF;PXK;Mature DCs;MCOLN2,
DC2 CD1D-,CEBPD;PLSCR1;GCA;RASSF4;Macrophages;MAFB;LIPA;LAP3;EPSTI1;SERPINB9;SECTM1;IFI30;LGMN;THBD;NAMPT;CD163;MSR1;SLC15A3;SIRPA;TFEC;SERPING1,
DC2 CD1D+,CEBPD;PLSCR1;GCA;RASSF4;Macrophages;MAFB;LIPA;LAP3;EPSTI1;SERPINB9;SECTM1;IFI30;LGMN;THBD;NAMPT;CD163;MSR1;SLC15A3;SIRPA;TFEC;SERPING1,
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),SP110;RBM25;HLA-F;T cells Naive CD4+;T cells OGT+;SLFN5;T cells CD8+,
ILCs,C4orf32;PARP12;IL1R1;GBP5;MTHFD2L;CPT1A;IL15RA,
Immune Cycling cells,Monocytes S100A8+ S100A9+;DC1;WARS;C4orf33;PML;XAF1;OGFR;GK;CXCL10;Macrophages PLA2G2D+;JAK2;OAS3;Macrophages CXCL9+ CXCL10+;MYOF;PXK;Mature DCs;MCOLN2,
Macrophages,CEBPD;PLSCR1;GCA;EPSTI1;SERPINB9;DC2 CD1D-;DC2 CD1D+;LMO2;SECTM1;IFI30;LGMN;THBD;NAMPT;MSR1;SLC15A3;SIRPA;TFEC;SERPING1,CD163
Macrophages CCL3+ CCL4+,CD74;TYMP;ATF3;MARCKS,
Macrophages CXCL9+ CXCL10+,Monocytes S100A8+ S100A9+;DC1;Immune Cycling cells;WARS;C4orf33;PML;XAF1;OGFR;GK;Macrophages PLA2G2D+;JAK2;OAS3;MYOF;PXK;Mature DCs;MCOLN2,
Macrophages LYVE1+,UNC93B1;ACSL1;FCGR1A;CCR1;CCL2;SCARB2,
Macrophages Metallothionein,IFI27;BAG1;MASTL;OAS2,
Macrophages PLA2G2D+,Monocytes S100A8+ S100A9+;DC1;Immune Cycling cells;WARS;C4orf33;PML;XAF1;OGFR;GK;CXCL10;JAK2;OAS3;Macrophages CXCL9+ CXCL10+;MYOF;PXK;Mature DCs;MCOLN2,
Mast cells,STAP1;ST3GAL4,
Mature DCs,Monocytes S100A8+ S100A9+;DC1;Immune Cycling cells;WARS;C4orf33;PML;XAF1;OGFR;GK;CXCL10;Macrophages PLA2G2D+;JAK2;OAS3;Macrophages CXCL9+ CXCL10+;MYOF;PXK;MCOLN2,
Monocytes CHI3L1+ CYP27A1+,PPM1K;IFIT5;GALNT2;DDX58;CCL19;DDX60;ULK4;TLK2;C1S;STARD5;PMM2;PNPT1;MICB;PUS1;EXT1;BTN3A3;B2M;TDRD7;NDC80;IDO1;CXCL9;CXCL11;CD80;BUB1;BCL2L14;ANKRD22;B cells AICDA+ LRMP+;TNFRSF10A;WHAMM;KIAA0040;TMEM140,
Monocytes S100A8+ S100A9+,DC1;Immune Cycling cells;WARS;C4orf33;PML;XAF1;OGFR;GK;CXCL10;Macrophages PLA2G2D+;JAK2;OAS3;Macrophages CXCL9+ CXCL10+;MYOF;PXK;Mature DCs;MCOLN2,
Neutrophils S100A8+ S100A9+,TREX1;IL15;LAMP3;IFIT2;OASL;SLC25A28;GBP3;IFIT1,S100A8
NK cells KLRF1+ CD3G-,APOL1,
Plasma cells,DUSP5,
T cells CD4+ FOSB+,,
T cells CD4+ IL17A+,DTX3L;C9orf91;SPSB1;TRIM21;MX1;FUT4,
T cells CD8+,SP110;RBM25;HLA-F;T cells Naive CD4+;ARHGEF3;CCL5;T cells OGT+;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);SLFN5;GZMB,
T cells CD8+ KLRG1+,SP110;RBM25;HLA-F;T cells Naive CD4+;ARHGEF3;T cells OGT+;SLFN5,
T cells Naive CD4+,SP110;RBM25;HLA-F;ARHGEF3;CCL5;T cells OGT+;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);SLFN5;T cells CD8+ KLRG1+;T cells CD8+;GZMB,
T cells OGT+,SP110;RBM25;HLA-F;T cells Naive CD4+;CCL5;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);SLFN5;T cells CD8+ KLRG1+;T cells CD8+;GZMB,
Tregs,IRF9,
