cell_name,new_genes,known_genes
B cells,,
B cells AICDA+ LRMP+,,
DC1,,
DC2 CD1D-,C4orf33,
DC2 CD1D+,C4orf33,
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),CLEC2B;DDIT4,
ILCs,,
Immune Cycling cells,,
Macrophages,,
Macrophages CCL3+ CCL4+,,
Macrophages CXCL9+ CXCL10+,,
Macrophages LYVE1+,ABLIM3;ABTB2;AHNAK2;AMPH;ARG2;B2M;BCL2L14;C10orf10;C1S;C22orf28;C5orf27;CCNA1;CES1;CFB;CMAHP;CRP;CTCFL;CX3CL1;CXCL11;CYP1B1;ENPP1;FFAR2;FNDC4;FTSJD2;FZD5;G6PC;GJA4;HESX1;HLA-G;IFNLR1;IL17RB;LEPR;MAB21L2;MAP3K14;MKX;Monocytes CHI3L1+ CYP27A1+;NEURL3;NPAS2;NRN1;NT5C3;PDGFRL;PHF15;RNASE4;SERPINE1;SLC1A1;TAP2;TBX3;TLR3;TMEM255A;TRIM34;UPP2;VEGFC;ZNF385B,
Macrophages Metallothionein,,
Macrophages PLA2G2D+,,
Mast cells,,
Mature DCs,,
Monocytes CHI3L1+ CYP27A1+,Macrophages LYVE1+,
Monocytes S100A8+ S100A9+,CLEC4E,S100A8
Neutrophils S100A8+ S100A9+,IL1RN;MAFB,
NK cells KLRF1+ CD3G-,,
Plasma cells,,
T cells CD4+ FOSB+,,
T cells CD4+ IL17A+,,
T cells CD8+,CLEC2B;DDIT4,
T cells CD8+ KLRG1+,CLEC2B;DDIT4,
T cells Naive CD4+,,
T cells OGT+,,
Tregs,IFI44,
