cell_name,new_genes,known_genes
B cells,AIM2;PXK,
B cells AICDA+ LRMP+,,
DC1,,
DC2 CD1D-,P2RY6,
DC2 CD1D+,P2RY6,
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),,
ILCs,,
Immune Cycling cells,,
Macrophages,TYMP,
Macrophages CCL3+ CCL4+,,
Macrophages CXCL9+ CXCL10+,,
Macrophages LYVE1+,,
Macrophages Metallothionein,,MT1F
Macrophages PLA2G2D+,,
Mast cells,CCL2,
Mature DCs,,LAMP3
Monocytes CHI3L1+ CYP27A1+,IGFBP2;Neutrophils S100A8+ S100A9+;TNFAIP6,
Monocytes S100A8+ S100A9+,,
Neutrophils S100A8+ S100A9+,ABLIM3;ABTB2;AHNAK2;AMPH;ANGPTL1;ARG2;BATF2;C10orf10;C22orf28;C5orf27;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CYP1B1;FFAR2;FNDC4;FTSJD2;G6PC;GJA4;HESX1;IFNLR1;IGFBP2;IL17RB;LEPR;LRG1;MAB21L2;MAP3K14;MKX;Monocytes CHI3L1+ CYP27A1+;NEURL3;NOD2;NPAS2;NRN1;NT5C3;PDGFRL;PHF15;PMM2;RNASE4;SAA1;SERPINE1;SLC1A1;STARD5;STEAP4;TAP2;TBX3;TLR3;TMEM140;TMEM255A;TRIM34;UPP2;USP18;VEGFC;ZNF385B,APOBEC3A
NK cells KLRF1+ CD3G-,CCDC92,
Plasma cells,DUSP5,
T cells CD4+ FOSB+,,
T cells CD4+ IL17A+,,
T cells CD8+,,
T cells CD8+ KLRG1+,,
T cells Naive CD4+,ARNTL;OPTN;Tregs,
T cells OGT+,,
Tregs,ARNTL;OPTN;T cells Naive CD4+,
