cluster_ID,genes
1,CSRNP1;PIM3;BCL3;SPATS2L;BLVRA;MCL1;RGS1;PLIN2;CHMP5;NMI;BST2;TXNIP;JUNB;ALDH1A1;IL6ST;GCA;FAM46A;MAX;HES4;NAPA;B4GALT5;CD9
2,TNFAIP3;DDX3X;IFNGR1;RNF213;CLEC2B;VMP1;IFITM2;ELF1;PNRC1;CCL4;IFI16;HLA-A;HLA-E;STAT1;ADAR;DCP1A
3,CD74;CDKN1A;SAMHD1;SERPINB9;ATF3;IFITM3;LMO2;SNN;DC2 CD1D-;DC2 CD1D+;PFKFB3;TNFSF13B;MARCKS;CEBPD;NAMPT;LGALS3;LIPA;MAFB;C15orf48;Macrophages;MAFF;SLC15A3;SECTM1;PLSCR1;IL1RN;Macrophages CCL3+ CCL4+;LGMN;MSR1;MT1G;LPCAT1;CD163;SIRPA;THBD;EPSTI1;GBP4;RASSF4;LAP3;SERPING1;ADAMDEC1;GEM;TFEC;TCF7L2;IFI30;MYD88;ETV6;SCARB2;RNF19B;TMEM51;TRIM14;CYTH1;CCR1
4,CD69;SOCS1;ANXA2R;RPL22;CRY1;PTMA;CDK17;SMAD3;FAM134B;STAP1;Mast cells;ST3GAL4
5,TYMP;MVB12B;SAMD4A;DTX3L;C9orf91;GK;MTHFD2L;GLRX;RNF114;TAGAP;GCH1;CCDC92;TRIM25;MB21D1;ALYREF;SPTLC2;GBP1;DC1;MASTL;Macrophages PLA2G2D+;Mature DCs;CPT1A;Immune Cycling cells;PARP9;ERLIN1;SCO2;FKBP5;GAK;P2RY6;IMPA2;CYP1B1;NFIL3;CASP7;MCOLN2;ILCs;OAS2;JAK2;Monocytes S100A8+ S100A9+;CXCL10;Macrophages Metallothionein;BAG1;PARP12;MT1H;PXK;IFI27;MX1
6,UNC93B1;NCF1;GBA;IFI6;HLA-B;Macrophages LYVE1+;SLC16A1;CCL2;ADM;IFIT5;CCL8;TNFSF10;NCOA3;ANKFY1;IFI44;FCGR1A;OGFR;C4orf32;GBP5;CLEC4E;IFI44L;TRIM21;XAF1;MYOF;ATP10D;MAP3K5;IRF2;ACSL1;APOL1;LEPR;IFIT3;SLC25A30;TLK2;RTP4;FUT4;PNPT1
7,WARS;EHD4;GALNT2;HELZ2;T cells CD4+ IL17A+;Macrophages CXCL9+ CXCL10+;SPSB1;TNFRSF10A;TRAFD1;LAMP3;IL15RA;BTN3A3;CD274;OAS3;PML;TRIM5;IL1R1;DDX58;B cells AICDA+ LRMP+;Neutrophils S100A8+ S100A9+;SLC25A28;MICB;C4orf33;AKT3;IDO1;TAP1;TREX1;IL15;B cells;PPM1K;VAMP5;KIAA0040;RBCK1;ARNTL;GBP3;OPTN;PRKD2;IRF7;IFI35;STARD5;PMM2;PI4K2B;APOL2;WHAMM;ARG2;IFNLR1;APOBEC3A;OASL;AIM2;NOD2;PUS1;C1S;ULK4;USP18;B2M;HERC6;EXT1;FNDC4;TMEM140;ZNF385B;VEGFC;UPP2;TRIM34;TNFAIP6;TMEM255A;TLR3;TDRD7;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;S100A8;RNASE4;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NEURL3;NDC80;MT1M;MKX;MAP3K14;MAB21L2;LRG1;IL17RB;IGFBP2;IFIT2;IFIT1;HLA-G;HESX1;HEG1;GPX2;GJA4;G6PC;FZD5;FTSJD2;FFAR2;ETV7;ENPP1;DDX60;CXCL9;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CD80;CCNA1;CCL19;C5orf27;C22orf28;C10orf10;BUB1;BCL2L14;BATF2;AQP9;ANKRD22;ANGPTL1;AMPH;AHNAK2;ABTB2;Monocytes CHI3L1+ CYP27A1+;ABLIM3;HSH2D
8,MT1X;SLFN5;T cells OGT+;SP110;RBM25;HLA-F;T cells Naive CD4+;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);SOCS2;IRF9;Tregs;ARHGEF3;NK cells KLRF1+ CD3G-;SUN2;T cells CD8+ KLRG1+;CCL5;T cells CD8+;GZMB
9,GBP2;CCDC109B;T cells CD4+ FOSB+;LY6E;ISG15;PSMB9;PSMB8;RARRES3;CCND3;TRIM38;UBE2L6;PHF11
10,DDIT4;Plasma cells;DUSP5;ISG20;PMAIP1;TIMP1;EIF3L;ODC1;ZBP1;HLA-C;PDK1;COMMD3;CD38;MT1F;FNDC3B
