cluster_ID,genes
1,VMP1;FKBP5;ISG15;SPATS2L;TNFSF10;GBP2;RNF213;SUN2;T cells CD4+ FOSB+;MAP3K5;XAF1;GBP4;DTX3L;ADAR;MCL1;TAP1;GBP1;GBP5;CCL4;TNFAIP3;DDX3X;PNRC1;IL1R1
2,ATF3;TYMP;MARCKS;CDKN1A;CD74;IFI30;GCA;NAMPT;HES4;PLIN2;SAMHD1;STAT1;VAMP5;SLC15A3;SIRPA;MAFB;TFEC;CLEC4E;CCR1;S100A8;Monocytes S100A8+ S100A9+;THBD;Macrophages CCL3+ CCL4+;NFIL3;SECTM1;SCARB2;CD163;SERPING1;LGALS3;IFITM3;TIMP1;PIM3;MAFF;MYOF;PFKFB3;GK;SERPINB9;ACSL1;CD80;LAMP3;WARS;LAP3;C15orf48;RASSF4;TNFSF13B;PLSCR1;CEBPD;IDO1;IL1RN;LPCAT1;RNF19B;B4GALT5;IFNGR1;BLVRA;CXCL9;LGMN;Macrophages;SNN;MYD88
3,UBE2L6;CHMP5;GBP3;Macrophages Metallothionein;MT1F;GAK;JAK2;UNC93B1;LIPA;DCP1A;OGFR;NAPA;TRIM25;CXCL10;PARP9;CPT1A;Mature DCs;DC1;ILCs;CASP7;FUT4;ANKFY1;P2RY6;PML;IFIT3;FAM46A;PARP12;SOCS2;Macrophages CXCL9+ CXCL10+;ANKRD22;FCGR1A;TCF7L2;EXT1;Macrophages PLA2G2D+;ADAMDEC1;MSR1;MT1G;ETV6;BCL3;IL6ST;CSRNP1;EHD4;CD274;Neutrophils S100A8+ S100A9+;AQP9;GCH1;ADM;TNFAIP6;GBA;TMEM51;CLEC4D;STEAP4;APOBEC3A;MB21D1;MASTL;IRF7;GEM;CCL2
4,PMAIP1;LMO2;MX1;MCOLN2;AIM2;NCF1;B cells;STAP1;PXK;B cells AICDA+ LRMP+;NCOA3;KIAA0040;PPM1K;IRF9;TLK2;SMAD3;ATP10D
5,JUNB;OPTN;MT1X;DDIT4;SLFN5;RARRES3;Tregs;RBCK1;CLEC2B;LY6E;IRF2;T cells Naive CD4+;ANXA2R;TRAFD1;TRIM14;ARNTL;FAM134B;IFI44;DDX60;AKT3;T cells OGT+;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);ARHGEF3;CDK17;OAS2;RTP4;CCL5;T cells CD8+ KLRG1+;T cells CD8+;GZMB;OASL;BTN3A3
6,IFITM2;CD69;RBM25;ELF1;PHF11;SOCS1;TXNIP;MAX;SPTLC2;EIF3L;TRIM38;EPSTI1;CYTH1;PSMB9;PSMB8;CCND3;CCDC109B;IFI16;SP110;NMI;HLA-E;HLA-F
7,RGS1;ISG20;ODC1;CD38;Plasma cells;COMMD3;ZBP1;PMM2;STARD5;HSH2D;DUSP5;GLRX;PDK1;BST2;TAGAP
8,IFIT2;TNFRSF10A;PNPT1;DDX58;SLC25A30;ERLIN1;MTHFD2L;WHAMM;TRIM5;PRKD2;IFNLR1;CCDC92;HEG1;ST3GAL4;SAMD4A;Mast cells;ALDH1A1;IFIT5;TDRD7;IL15RA;C9orf91;DC2 CD1D-;DC2 CD1D+;PADI2;NOD2;C4orf32;HELZ2;FFAR2;CES1;LRG1;CRY1;T cells CD4+ IL17A+;ETV7;HERC6;HLA-B;ULK4;IFI44L;SPSB1;ARG2;NK cells KLRF1+ CD3G-;B2M;C5orf27;ZNF385B;VEGFC;UPP2;TRIM34;TMEM255A;TLR3;TBX3;TAP2;SLC1A1;SAA1;RNASE4;PHF15;PDGFRL;NT5C3;NPAS2;NEURL3;MKX;MAP3K14;MAB21L2;IL17RB;IGFBP2;HESX1;GJA4;G6PC;FTSJD2;FNDC4;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CFB;CCNA1;CCL8;C22orf28;BCL2L14;AMPH;AHNAK2;ABLIM3;ABTB2;HLA-G;PUS1;FZD5;SERPINE1;NRN1;ENPP1;C4orf33;IFI27;Macrophages LYVE1+;BATF2;LEPR;IFIT1;SLC25A28;GPX2;CCL19;MT1M;Monocytes CHI3L1+ CYP27A1+;C1S;CYP1B1;C10orf10
9,HLA-A;TMEM140;RPL22;PTMA;TREX1;HLA-C;SLC16A1;RNF114;MT1H;USP18;ANGPTL1;ALYREF;PI4K2B;Immune Cycling cells;NDC80;BUB1;APOL2;TRIM21;OAS3;IMPA2;MICB;MVB12B
10,FNDC3B;SCO2;BAG1;CD9;IFI35;IFI6;GALNT2;APOL1;IL15
