cluster_ID,genes
1,ELF1;TNFAIP3;CCL4;PNRC1;RNF213;PFKFB3;TNFSF13B;IFI16;ISG15;HLA-E;CYTH1;ADAR;MCL1;IFNGR1
2,CD74;ATF3;HES4;CSRNP1;NFIL3;TRIM14;MARCKS;TYMP;IFITM3;PLSCR1;C15orf48;CEBPD;NAMPT;MAFB;LGMN;SLC15A3;MAFF;RASSF4;Macrophages;LIPA;SCARB2;SAMHD1;LAP3;SERPINB9;SNN;PIM3;IFI30;NCF1;Macrophages CCL3+ CCL4+;RNF19B;TFEC;SIRPA;UNC93B1;CD163;SERPING1;MSR1;ADAMDEC1;IL6ST;STAT1
3,RGS1;JUNB;VMP1;LGALS3;PLIN2;SPATS2L;EIF3L;MAX;FAM46A;ALDH1A1;CCL2;BLVRA;B4GALT5
4,CD69;TXNIP;IFITM2;RPL22;SOCS1;HLA-A;HLA-F;PSMB9;CLEC2B;RARRES3;SLFN5
5,T cells CD4+ FOSB+;GBP2;T cells Naive CD4+;FKBP5;DDX3X;TAGAP;GCH1;LY6E;CCL5;PHF11;SUN2;CCDC109B;OPTN;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);T cells OGT+;IRF2;ARHGEF3;Tregs;FAM134B;HLA-B;RBM25;T cells CD8+;T cells CD8+ KLRG1+;GZMB;CCND3;PTMA;ANXA2R;ARNTL;CDK17;GBP5
6,DDIT4;TNFSF10;CD9;Mast cells;ST3GAL4;UBE2L6;MASTL;VAMP5;IFI44;IFI27;TLK2;PI4K2B;TRIM5;ERLIN1;TREX1;ALYREF;Immune Cycling cells;C4orf32;IFI6;MICB;NDC80;BUB1;OGFR;DDX60;C4orf33;WHAMM;PNPT1;DDX58;SOCS2;HEG1;CCDC92;MT1G;MT1H;Macrophages Metallothionein;MT1X;MT1F;MT1M
7,STAP1;IFI35;PMM2;FNDC3B;PDK1;ZBP1;CXCL10;B2M;GALNT2;KIAA0040;T cells CD4+ IL17A+;NK cells KLRF1+ CD3G-;OASL;IRF9;AKT3;ULK4;TRIM21;SLC25A28;IFIT5;TDRD7;ARG2;HERC6;CRY1;IFI44L;BTN3A3;IL15RA;IRF7;FZD5;CASP7;Macrophages CXCL9+ CXCL10+;CD274;EXT1;IL15;MX1;TMEM140;OAS2;SLC25A30;PRKD2;IFNLR1;HELZ2;IFIT1;GBA;APOL1;RTP4;APOL2;STARD5;MTHFD2L;FUT4;PUS1;Neutrophils S100A8+ S100A9+;IFIT2;SPSB1;TNFRSF10A;HLA-G;APOBEC3A;ZNF385B;VEGFC;USP18;UPP2;TRIM34;TNFAIP6;TMEM255A;TLR3;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;S100A8;RNASE4;PHF15;PDGFRL;NT5C3;NRN1;NPAS2;NEURL3;MKX;MAP3K14;MAB21L2;LRG1;LEPR;IL17RB;IGFBP2;IFIT3;HESX1;GPX2;GJA4;G6PC;FTSJD2;FNDC4;FFAR2;FCGR1A;ETV7;ENPP1;CYP1B1;CXCL9;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CFB;CES1;CCNA1;CCL19;C5orf27;C22orf28;C1S;C10orf10;BCL2L14;BATF2;AQP9;ANKRD22;ANGPTL1;AMPH;AHNAK2;ABTB2;Monocytes CHI3L1+ CYP27A1+;ABLIM3;DC1;PADI2;LAMP3;NOD2;IDO1
8,EPSTI1;XAF1;CCR1;CDKN1A;BCL3;THBD;IL1RN;SECTM1;GK;LPCAT1;JAK2;NAPA;MAP3K5;CPT1A;Monocytes S100A8+ S100A9+;WARS;NMI;LMO2;MYD88;DC2 CD1D-;DC2 CD1D+;RNF114;SCO2;DCP1A;GBP3;IL1R1;ILCs;GAK;MYOF;P2RY6;Mature DCs;CD80;C9orf91;ADM;Macrophages PLA2G2D+;SAMD4A;Macrophages LYVE1+;TCF7L2;ANKFY1;GBP4;EHD4;MVB12B;TMEM51;PARP12;OAS3;TRAFD1;SLC16A1;CCL8
9,TRIM38;SP110;SPTLC2;GBP1;ACSL1;GEM;GCA;IMPA2;DTX3L;BAG1;PARP9;TRIM25;ETV6;PML;CHMP5;RBCK1;SMAD3;TAP1;ATP10D;PMAIP1;PSMB8;NCOA3;B cells;MB21D1;PPM1K;PXK;MCOLN2;B cells AICDA+ LRMP+;AIM2
10,TIMP1;BST2;CD38;COMMD3;GLRX
11,Plasma cells;ISG20;DUSP5;HLA-C;HSH2D;ODC1
