cluster_ID,genes
1,Plasma cells;ISG20;TIMP1;GLRX;COMMD3;DUSP5;CD38;ODC1
2,TMEM140;C4orf32;CRY1;GBP3;C4orf33;ARG2;EHD4;Macrophages Metallothionein;CXCL10;PI4K2B;APOL1;MX1;TRAFD1;OAS3;IFNLR1;C9orf91;TREX1;OAS2;NK cells KLRF1+ CD3G-;MVB12B;IFI44L;OASL;BTN3A3;SLC25A30;IFIT3;SPSB1;TDRD7;EXT1;HELZ2;ERLIN1;HERC6;PUS1;CD274;SOCS2;NOD2;PARP12;DC1;ADM;Macrophages PLA2G2D+;IL15;CASP7;Macrophages LYVE1+;STARD5;PRKD2;SLC16A1;APOBEC3A;IFIT1;IL15RA;ST3GAL4;USP18;FZD5;Monocytes S100A8+ S100A9+;Neutrophils S100A8+ S100A9+;ZNF385B;VEGFC;UPP2;TRIM34;TNFAIP6;TMEM51;TMEM255A;TLR3;TCF7L2;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;S100A8;RNASE4;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NEURL3;MYOF;MT1M;MT1H;MSR1;MKX;MAP3K14;MAB21L2;LRG1;LEPR;IL17RB;IGFBP2;IFI27;IDO1;HESX1;GPX2;GJA4;G6PC;FUT4;FTSJD2;FNDC4;FFAR2;FCGR1A;ETV7;ENPP1;CYP1B1;CXCL9;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CFB;CES1;CCNA1;CCL8;CCL2;CCL19;C5orf27;C22orf28;C1S;C10orf10;BUB1;BCL2L14;BATF2;AQP9;ANKRD22;ANGPTL1;AMPH;AHNAK2;ABTB2;Monocytes CHI3L1+ CYP27A1+;ABLIM3;SECTM1;IL1RN
3,IRF9;B cells AICDA+ LRMP+;CHMP5;OGFR;PML;SAMD4A;HEG1;MB21D1;TRIM5;MICB;TRIM25;CD80;PNPT1;RTP4;HLA-G;T cells CD4+ IL17A+;Macrophages CXCL9+ CXCL10+;MCOLN2;ATP10D;DDX60;GCH1;IFIT2;TNFRSF10A;MTHFD2L;IFIT5;APOL2;ULK4;NDC80;PARP9;Immune Cycling cells;XAF1;MAP3K5;JAK2;MYD88;ACSL1;Mature DCs;ILCs;SLC25A28
4,IFI35;BAG1;CDKN1A;WARS;TAGAP;ZBP1;PDK1;HSH2D;FNDC3B;IRF7;STAP1;PMM2;GALNT2
5,DDX3X;DDIT4;PFKFB3;OPTN;FKBP5;CYTH1;FAM134B;IL6ST;GEM;MAX;PIM3;VMP1;BCL3;CPT1A;GK;DTX3L;TLK2;CDK17;AKT3;ARNTL;TAP1;SMAD3;ETV6;SPTLC2;DCP1A;MASTL;IL1R1
6,MCL1;CSRNP1;PLIN2;HES4;NAMPT;SNN;PTMA;LGALS3;IFITM3;BLVRA;ALDH1A1;SPATS2L;RNF19B;CD9;TNFSF10;B4GALT5;FAM46A;Mast cells
7,TYMP;EIF3L;IFNGR1;CEBPD;TNFSF13B;UNC93B1;SCO2;LMO2;SLC15A3;SIRPA;CCR1;IMPA2;RNF114;NAPA;SCARB2;SERPING1;GBA;THBD;ATF3;SERPINB9;LAP3;LGMN;Macrophages CCL3+ CCL4+;PLSCR1;DC2 CD1D-;DC2 CD1D+;GAK;MAFF;C15orf48;CD163;LIPA;RASSF4;MAFB;Macrophages;EPSTI1;TRIM14;MT1X;ALYREF;MT1F;ADAMDEC1;LAMP3;P2RY6;MT1G
8,CD74;MARCKS;TRIM38;PMAIP1;B cells;PXK;AIM2;IFI30;LPCAT1;TFEC;GCA;NCOA3;PPM1K
9,IFI16;PSMB9;PSMB8;SP110;RBM25;NCF1;RPL22;HLA-B;ADAR;RBCK1;IRF2;PHF11;KIAA0040
10,LY6E;CCL5;UBE2L6;ANXA2R;B2M;NMI;GBP1;STAT1;GBP4;VAMP5;GBP5;T cells OGT+;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);ARHGEF3;TRIM21;WHAMM;IFI44;ANKFY1;DDX58;Tregs;CCDC92
11,HLA-C;BST2;CCL4;RGS1;T cells CD8+;T cells CD8+ KLRG1+;GZMB;NFIL3;IFI6
12,TNFAIP3;RARRES3;SLFN5;SOCS1;ISG15;CLEC2B;RNF213;GBP2;CCND3;T cells CD4+ FOSB+;SAMHD1
13,TXNIP;ELF1;CD69;PNRC1;IFITM2;JUNB;HLA-E;HLA-A;HLA-F;SUN2;CCDC109B;T cells Naive CD4+
