cell_name,genes
Activated fibroblasts CCL19+ ADAMADEC1+,Activated fibroblasts CCL19+ ADAMADEC1+;ADAMDEC1;AMPH;CES1;CHMP5;COMMD3;Fibroblasts ADAMDEC1+;Fibroblasts NPY+ SLITRK6+;FNDC3B;FNDC4;IL6ST;IMPA2;JAK2;NAMPT;PXK;SCARB2;SMAD3;TBX3;TRAFD1;UBE2L6
Endothelial cells CD36+,ALDH1A1;ANXA2R;ARHGEF3;CCDC109B;CD74;CLEC2B;CPT1A;DDIT4;DUSP5;EIF3L;ELF1;Endothelial cells CD36+;Endothelial cells DARC+;Endothelial cells LTC4S+ SEMA3G+;GBP4;HLA-E;IFI44;IFI44L;LAMP3;LEPR;LGMN;LIPA;LMO2;NRN1;OAS2;PIM3;PLSCR1;PSMB9;RBM25;SERPINB9;SP110;SPTLC2;SUN2;THBD;TMEM140;TNFSF10;VAMP5;WARS;XAF1
Endothelial cells DARC+,ALDH1A1;ANXA2R;ARHGEF3;CCDC109B;CD74;CLEC2B;CPT1A;DDIT4;DUSP5;EIF3L;ELF1;Endothelial cells CD36+;Endothelial cells DARC+;Endothelial cells LTC4S+ SEMA3G+;GBP4;HLA-E;IFI44;IFI44L;LAMP3;LEPR;LGMN;LIPA;LMO2;NRN1;OAS2;PIM3;PLSCR1;PSMB9;RBM25;SERPINB9;SP110;SPTLC2;SUN2;THBD;TMEM140;TNFSF10;VAMP5;WARS;XAF1
Endothelial cells LTC4S+ SEMA3G+,ALDH1A1;ANXA2R;ARHGEF3;CCDC109B;CD74;CLEC2B;CPT1A;DDIT4;DUSP5;EIF3L;ELF1;Endothelial cells CD36+;Endothelial cells DARC+;Endothelial cells LTC4S+ SEMA3G+;GBP4;HLA-E;IFI44;IFI44L;LAMP3;LEPR;LGMN;LIPA;LMO2;NRN1;OAS2;PIM3;PLSCR1;PSMB9;RBM25;SERPINB9;SP110;SPTLC2;SUN2;THBD;TMEM140;TNFSF10;VAMP5;WARS;XAF1
Fibroblasts ADAMDEC1+,Activated fibroblasts CCL19+ ADAMADEC1+;ADAMDEC1;AMPH;CES1;CHMP5;COMMD3;Fibroblasts ADAMDEC1+;Fibroblasts NPY+ SLITRK6+;FNDC3B;FNDC4;IL6ST;IMPA2;JAK2;NAMPT;PXK;SCARB2;SMAD3;TBX3;TRAFD1;UBE2L6
Fibroblasts KCNN3+ LY6H+,ABTB2;AKT3;ANGPTL1;ANKRD22;APOBEC3A;AQP9;ATP10D;BCL2L14;BUB1;C22orf28;C5orf27;CCDC92;CCNA1;CD80;CLEC4D;CLEC4E;CMAHP;CREB3L3;CRP;CRY1;CTCFL;ENPP1;ERLIN1;ETV7;FCGR1A;FFAR2;Fibroblasts KCNN3+ LY6H+;Fibroblasts SMOC2+ PTGIS+;FTSJD2;FUT4;FZD5;G6PC;GBP5;GZMB;HESX1;HLA-A;HLA-B;HSH2D;IFNLR1;IL17RB;IRF9;MAP3K14;MCOLN2;MICB;MKX;MSR1;MTHFD2L;MX1;NEURL3;NOD2;NT5C3;OASL;PADI2;PARP9;Pericytes RERGL+ NTRK2+;PHF15;PMM2;PNPT1;PUS1;RNASE4;RTP4;SAA1;SAMD4A;SLC16A1;SLC25A30;STAP1;TAP2;TDRD7;TFEC;TMEM255A;TRIM14;TRIM34;ULK4;UPP2;USP18;ZBP1;ZNF385B
Fibroblasts NPY+ SLITRK6+,Activated fibroblasts CCL19+ ADAMADEC1+;ADAMDEC1;AMPH;CES1;CHMP5;COMMD3;Fibroblasts ADAMDEC1+;Fibroblasts NPY+ SLITRK6+;FNDC3B;FNDC4;IL6ST;IMPA2;JAK2;NAMPT;PXK;SCARB2;SMAD3;TBX3;TRAFD1;UBE2L6
Fibroblasts SFRP2+ SLPI+,ACSL1;AHNAK2;ATF3;BLVRA;CASP7;CFB;CXCL9;EPSTI1;FAM134B;Fibroblasts SFRP2+ SLPI+;GBA;GK;IFI35;IFI6;IGFBP2;IL15RA;LGALS3;MAFB;MAFF;MT1M;PFKFB3;PLIN2;PMAIP1;RNF114;ST3GAL4;STAT1;TNFAIP3;TYMP
Fibroblasts SMOC2+ PTGIS+,ABTB2;AKT3;ANGPTL1;ANKRD22;APOBEC3A;AQP9;ATP10D;BCL2L14;BUB1;C22orf28;C5orf27;CCDC92;CCNA1;CD80;CLEC4D;CLEC4E;CMAHP;CREB3L3;CRP;CRY1;CTCFL;ENPP1;ERLIN1;ETV7;FCGR1A;FFAR2;Fibroblasts KCNN3+ LY6H+;Fibroblasts SMOC2+ PTGIS+;FTSJD2;FUT4;FZD5;G6PC;GBP5;GZMB;HESX1;HLA-A;HLA-B;HSH2D;IFNLR1;IL17RB;IRF9;MAP3K14;MCOLN2;MICB;MKX;MSR1;MTHFD2L;MX1;NEURL3;NOD2;NT5C3;OASL;PADI2;PARP9;Pericytes RERGL+ NTRK2+;PHF15;PMM2;PNPT1;PUS1;RNASE4;RTP4;SAA1;SAMD4A;SLC16A1;SLC25A30;STAP1;TAP2;TDRD7;TFEC;TMEM255A;TRIM14;TRIM34;ULK4;UPP2;USP18;ZBP1;ZNF385B
Glial cells,AIM2;ARNTL;B2M;C4orf33;CCL5;CD274;CD69;CDK17;CSRNP1;CXCL11;CYP1B1;Glial cells;GPX2;HLA-G;IFI30;IL15;IRF7;JUNB;MASTL;MVB12B;PDGFRL;PTMA;SECTM1;Stromal Cycling cells;TAGAP;TLK2
