cell_name,genes
Activated fibroblasts CCL19+ ADAMADEC1+,Activated fibroblasts CCL19+ ADAMADEC1+;ADAMDEC1;C1S;CCL8;Fibroblasts ADAMDEC1+;IL6ST
Endothelial cells CD36+,Endothelial cells CD36+;HEG1
Endothelial cells DARC+,Endothelial cells DARC+
Endothelial cells LTC4S+ SEMA3G+,Endothelial cells LTC4S+ SEMA3G+;LIPA
Fibroblasts ADAMDEC1+,Activated fibroblasts CCL19+ ADAMADEC1+;ADAMDEC1;C1S;CCL8;Fibroblasts ADAMDEC1+;IL6ST
Fibroblasts KCNN3+ LY6H+,Fibroblasts KCNN3+ LY6H+
Fibroblasts NPY+ SLITRK6+,Fibroblasts NPY+ SLITRK6+
Fibroblasts SFRP2+ SLPI+,Fibroblasts SFRP2+ SLPI+
Fibroblasts SMOC2+ PTGIS+,COMMD3;Fibroblasts SMOC2+ PTGIS+
Glial cells,Glial cells
Inflammatory fibroblasts IL11+ CHI3L1+,Inflammatory fibroblasts IL11+ CHI3L1+;JAK2
Myofibroblasts GREM1+ GREM2+,Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+
Myofibroblasts HHIP+ NPNT+,Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+
Pericytes HIGD1B+ STEAP4+,Pericytes HIGD1B+ STEAP4+
Pericytes RERGL+ NTRK2+,Pericytes RERGL+ NTRK2+
Stromal Cycling cells,ABTB2;ACSL1;AIM2;AMPH;ANKRD22;APOBEC3A;AQP9;BATF2;BCL2L14;BUB1;C22orf28;C4orf33;C5orf27;CCNA1;CCR1;CD163;CD274;CD80;CFB;CLEC4D;CLEC4E;CMAHP;CREB3L3;CRP;CTCFL;FCGR1A;FNDC4;FTSJD2;FUT4;FZD5;G6PC;GK;GPX2;GZMB;HESX1;HLA-G;HSH2D;IFNLR1;IL17RB;IL1RN;LAMP3;MAP3K14;MASTL;MCOLN2;MICB;MKX;MSR1;NDC80;NEURL3;NOD2;NT5C3;OASL;P2RY6;PADI2;PHF15;PMM2;RNASE4;S100A8;SAA1;SECTM1;STAP1;Stromal Cycling cells;TAP2;TFEC;TMEM255A;TRIM14;TRIM34;UPP2;ZNF385B
