cell_name,new_genes,known_genes
Activated fibroblasts CCL19+ ADAMADEC1+,IL6ST;SMAD3;TBX3;Fibroblasts NPY+ SLITRK6+;FNDC3B;CHMP5;CES1;AMPH;JAK2;NAMPT;IMPA2;UBE2L6;SCARB2;FNDC4,
Endothelial cells CD36+,GBP4;CD74;TNFSF10;LEPR;SPTLC2;CLEC2B;ALDH1A1;VAMP5;ARHGEF3;Endothelial cells DARC+;SUN2;LGMN;DDIT4;OAS2;CCDC109B;EIF3L;SERPINB9;PLSCR1;ANXA2R;PSMB9;RBM25;CPT1A;TMEM140;Endothelial cells LTC4S+ SEMA3G+;LAMP3;XAF1;SP110,
Endothelial cells DARC+,GBP4;HLA-E;CD74;LMO2;TNFSF10;ELF1;CLEC2B;ALDH1A1;VAMP5;PIM3;THBD;LIPA;Endothelial cells CD36+;SUN2;LGMN;DDIT4;OAS2;CCDC109B;EIF3L;SERPINB9;PLSCR1;NRN1;DUSP5;PSMB9;RBM25;CPT1A;TMEM140;Endothelial cells LTC4S+ SEMA3G+;LAMP3;XAF1;IFI44L;SP110;IFI44,
Endothelial cells LTC4S+ SEMA3G+,GBP4;HLA-E;CD74;LMO2;TNFSF10;LEPR;ELF1;SPTLC2;CLEC2B;ALDH1A1;VAMP5;PIM3;ARHGEF3;THBD;Endothelial cells DARC+;LIPA;Endothelial cells CD36+;SUN2;LGMN;DDIT4;CCDC109B;EIF3L;SERPINB9;PLSCR1;NRN1;ANXA2R;DUSP5;PSMB9;RBM25;CPT1A;TMEM140;LAMP3;IFI44L;SP110;IFI44,
Fibroblasts ADAMDEC1+,SMAD3;TBX3;Fibroblasts NPY+ SLITRK6+;FNDC3B;CHMP5;CES1;AMPH;JAK2;NAMPT;IMPA2;UBE2L6;SCARB2;FNDC4,
Fibroblasts KCNN3+ LY6H+,HLA-F;SNN;IRF7;IL15;IFNGR1;TCF7L2;IRF2;NMI;NCOA3;DCP1A;TRIM25;IFIT2;TLR3;ERLIN1;FZD5;AKT3;CRY1;SLC25A28;SLC15A3;PARP9;GBP5;TDRD7;PUS1;SLC16A1;TRIM14,
Fibroblasts NPY+ SLITRK6+,IL6ST;SMAD3;Fibroblasts ADAMDEC1+;ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;CHMP5;CES1;AMPH;JAK2;NAMPT;IMPA2;PXK;FNDC4,
Fibroblasts SFRP2+ SLPI+,STAT1;TYMP;ST3GAL4;CXCL9;LGALS3;PFKFB3;GK;AHNAK2;IGFBP2;EPSTI1;ATF3;CFB;PMAIP1;TNFAIP3;ACSL1;FAM134B;BLVRA;IFI6;GBA;RNF114;PLIN2;MAFF;MT1M;IL15RA;CASP7;IFI35,
Fibroblasts SMOC2+ PTGIS+,HLA-B;Pericytes RERGL+ NTRK2+;HLA-A;HSH2D;CCDC92;ATP10D;RTP4;FUT4;SLC25A30;ANGPTL1;IRF9;AQP9;PMM2;ETV7;ENPP1;MTHFD2L;ULK4;MX1;USP18;PNPT1;SAA1;ZBP1;ZNF385B;UPP2;TRIM34;TMEM255A;TFEC;TAP2;STAP1;PHF15;PADI2;OASL;NT5C3;NOD2;NEURL3;MSR1;MKX;MICB;MCOLN2;MAP3K14;IL17RB;IFNLR1;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;APOBEC3A;ABTB2;ANKRD22,
Glial cells,RPL22;ALYREF;JUNB;CCL5;SECTM1;PDGFRL;MASTL;IFI30;ARNTL;B2M;PTMA;C4orf33;CDK17;CD69;CYP1B1;CXCL11;AIM2;GPX2;CD274;TAGAP;CSRNP1;TLK2;Stromal Cycling cells;HLA-G,
Inflammatory fibroblasts IL11+ CHI3L1+,C1S;GEM;SERPING1;ISG20;CEBPD;FAM46A;ADM;CCL2;RARRES3;IL1R1;LY6E;TNFAIP6;NFIL3;GALNT2,
Myofibroblasts GREM1+ GREM2+,SPATS2L;PHF11;EXT1;ISG15;NAPA;BATF2;IFITM2;IFIT1;STEAP4;Pericytes HIGD1B+ STEAP4+;SOCS1;VMP1;MT1X;CCL8;TIMP1;MAP3K5;GBP1;OAS3;IFIT3;HELZ2;PPM1K;IFIT5;TRIM5;ANKFY1;GLRX;CCL19;UNC93B1;C9orf91;NPAS2;TMEM51;SCO2;CCR1;SLC1A1;STARD5;HERC6,
Myofibroblasts HHIP+ NPNT+,SPATS2L;PHF11;EXT1;ISG15;NAPA;BATF2;IFITM2;IFIT1;STEAP4;Pericytes HIGD1B+ STEAP4+;SOCS1;VMP1;MT1X;CCL8;TIMP1;MAP3K5;GBP1;OAS3;IFIT3;HELZ2;PPM1K;IFIT5;TRIM5;ANKFY1;GLRX;CCL19;UNC93B1;C9orf91;NPAS2;TMEM51;SCO2;CCR1;SLC1A1;STARD5;HERC6,
Pericytes HIGD1B+ STEAP4+,SPATS2L;PHF11;EXT1;ISG15;NAPA;BATF2;IFITM2;IFIT1;SOCS1;HES4;VMP1;MT1X;CCL8;TIMP1;MAB21L2;Myofibroblasts GREM1+ GREM2+;GBP1;OAS3;IFIT3;HELZ2;Myofibroblasts HHIP+ NPNT+;PPM1K;IFIT5;TRIM5;ANKFY1;GLRX;CCL19;UNC93B1;C9orf91;NPAS2;SCO2;CCR1;SLC1A1;STARD5;HERC6,
Pericytes RERGL+ NTRK2+,Fibroblasts SMOC2+ PTGIS+;HLA-B;HLA-A;HSH2D;CCDC92;RTP4;FUT4;SLC25A30;ANGPTL1;IRF9;AQP9;PMM2;ETV7;ENPP1;ULK4;MX1;RNASE4;USP18;SAA1;ZBP1;ZNF385B;UPP2;TRIM34;TMEM255A;TFEC;TAP2;STAP1;PHF15;PADI2;NT5C3;NOD2;NEURL3;MSR1;MKX;MICB;MCOLN2;MAP3K14;IL17RB;IFNLR1;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;APOBEC3A;ABTB2;ANKRD22,
