cluster_ID,genes
1,C10orf10;HLA-B;WARS;IFI27;CD74;TNFSF10;PSMB9;HLA-F;PSMB8;HLA-A;HLA-C;IL1R1
2,LY6E;MCL1;VAMP5;BST2;LAP3;TAP1;TXNIP;CCND3;ISG15;UBE2L6;GBP4;ADAR
3,PLSCR1;IFNGR1;LEPR;CYP1B1;IFIT1;IFI6;IFI16;IFIT3;SP110;ARHGEF3;ANXA2R;Endothelial cells CD36+;TREX1;IFITM3;TNFRSF10A;Endothelial cells LTC4S+ SEMA3G+;SLFN5;VEGFC;GCH1;CX3CL1;HELZ2;IRF7;XAF1;CYTH1;OAS3;CDK17;PML;PRKD2;NMI;HEG1;NCOA3;PARP9;IFIT5;SLC25A28;IRF9;OAS2;BTN3A3
4,IGFBP2;DUSP5;THBD;IFI44L;LIPA;CHMP5;DDX3X;PIM3;HLA-E;IFITM2;SERPINB9;C4orf32;ELF1;LMO2;SPTLC2;Endothelial cells DARC+;SOCS2;NRN1;MX1;IFI44;EHD4;GCA
5,CCDC109B;PLIN2;TNFAIP3;IL15;CLEC2B;IL6ST;LRG1
6,MT1X;ATF3;MT1M;CDKN1A;CSRNP1;MAFF;BCL3;NAMPT
7,C1S;TIMP1;FAM46A;DDIT4;LGALS3;ALDH1A1;FKBP5;PDGFRL;SERPING1;Fibroblasts SFRP2+ SLPI+;RNASE4;ST3GAL4;MAFB
8,CD9;GEM;ANGPTL1;HES4;PNRC1;SUN2;BAG1;EIF3L;COMMD3;SLC16A1;Myofibroblasts HHIP+ NPNT+;Myofibroblasts GREM1+ GREM2+;IMPA2;BLVRA;CCDC92;Pericytes RERGL+ NTRK2+;CRY1;MAB21L2;MTHFD2L;CES1;AHNAK2
9,CCL2;MARCKS;TNFAIP6;APOL1;IL15RA;RNF114;SPATS2L;PPM1K;CEBPD;STEAP4;KIAA0040;SPSB1;Fibroblasts KCNN3+ LY6H+;FNDC4;Fibroblasts SMOC2+ PTGIS+;GBA;SAMD4A
10,GBP1;PMAIP1;OPTN;IFI35;TBX3;OGFR;ABLIM3;RBM25;MYOF;EXT1;CASP7;RTP4;GBP3;RNF213;ETV7;GBP5;SCARB2;ISG20;GLRX;NAPA;NDC80;STAT1;PHF11;Fibroblasts NPY+ SLITRK6+;FNDC3B
11,RBCK1;IRF2;TMEM255A;USP18;Pericytes HIGD1B+ STEAP4+;ATP10D;SECTM1;TRIM38;DDX58;SCO2;MB21D1;TDRD7;NCF1;CD274;C4orf33;IDO1;TLK2;PUS1;NPAS2;TRIM21;SLC25A30;ABTB2;ACSL1;LPCAT1;HERC6;GAK;Stromal Cycling cells;WHAMM;TRIM14;ARNTL;SMAD3;AMPH;FUT4;ALYREF;JAK2;MICB;PDK1;MASTL;ZNF385B;ZBP1;UPP2;TRIM34;TFEC;TAP2;STAP1;SLC1A1;SAA1;S100A8;PMM2;PHF15;PADI2;P2RY6;NT5C3;NOD2;NEURL3;MT1H;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CXCL9;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCR1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;AQP9;APOBEC3A;AIM2;ANKRD22;TRAFD1;CXCL10;CXCL11;STARD5;ULK4;GK;Inflammatory fibroblasts IL11+ CHI3L1+;ENPP1;BATF2;FZD5;CCL19;ETV6;TRIM25;TAGAP;SIRPA;CD38
12,ODC1;MAX;RASSF4;SNN;TMEM140;GALNT2;MT1G;C15orf48;RPL22;PTMA;TRIM5;RGS1;CFB;CCL4;PI4K2B;DTX3L;B2M;C9orf91;SERPINE1;B4GALT5;PARP12;DDX60;PNPT1;JUNB;CPT1A;GPX2;MT1F;OASL;TMEM51;NFIL3;GJA4;IFIT2;SLC15A3;PFKFB3;ARG2;DCP1A;AKT3;APOL2;TLR3;ERLIN1;MAP3K5;RNF19B;MYD88;MVB12B;CCL5;CD69;UNC93B1;FAM134B;ANKFY1;Glial cells
13,GBP2;SAMHD1;VMP1;PXK;LGMN;ADM;TYMP;RARRES3;ADAMDEC1;EPSTI1;Activated fibroblasts CCL19+ ADAMADEC1+;CCL8;SOCS1;Fibroblasts ADAMDEC1+;TCF7L2;TNFSF13B
