cluster_ID,genes
1,MT1X;ATF3;MT1M;CDKN1A;CSRNP1;MAFF;BCL3;NAMPT
2,PLIN2;TMEM140;GALNT2;SERPINB9;Endothelial cells DARC+;B4GALT5;TNFRSF10A;DTX3L;LRG1;MT1G;C15orf48;RPL22;PTMA;TRIM5;RGS1;CFB;IL15;IFITM3;CCL4;PI4K2B;ETV6;TRIM25;TAGAP
3,IFIT1;IFI6;IFI16;IFIT3;SOCS2;NRN1;MX1;IFI44;EHD4;GCA;LIPA;CHMP5;HLA-E;IFITM2;C4orf32;ELF1;LMO2;DDX3X;PIM3;DUSP5;THBD;IGFBP2;LEPR;CYP1B1;IFNGR1;IFI44L;Endothelial cells CD36+;ARHGEF3;ANXA2R;SPTLC2
4,PML;PRKD2;CDK17;NMI;PARP12;CX3CL1;HELZ2;IRF7;XAF1;CYTH1;OAS3;SECTM1;VEGFC;GCH1;SLFN5;ADAR;Endothelial cells LTC4S+ SEMA3G+;TREX1;HEG1;NCOA3;PARP9;IFIT5;SLC25A28;IRF9;OAS2;BTN3A3;TRIM38;SCO2
5,C10orf10;HLA-B;WARS;IFI27;CD74;TNFSF10;PSMB9;HLA-F;PSMB8;HLA-A;HLA-C
6,LY6E;PLSCR1;MCL1;VAMP5;BST2;LAP3;TAP1;GBP4;TXNIP;CCND3;ISG15;UBE2L6
7,IL1R1;CLEC2B;IL6ST;CCDC109B;TNFAIP3
8,C1S;TIMP1;FAM46A;SERPING1;Fibroblasts SFRP2+ SLPI+;RNASE4;MAFB;FKBP5;PDGFRL;DDIT4;LGALS3;ALDH1A1;MARCKS;ST3GAL4
9,GEM;ANGPTL1;SAMHD1;SOCS1;CES1;AHNAK2
10,TNFSF13B;LGMN;ADM;TYMP;RARRES3;ADAMDEC1;EPSTI1;Activated fibroblasts CCL19+ ADAMADEC1+;VMP1;PXK;Fibroblasts ADAMDEC1+;TCF7L2;CCL8
11,CCL2;TNFAIP6;APOL1;IL15RA;RNF114;SPATS2L;PPM1K;CEBPD;STEAP4;KIAA0040;SPSB1;Fibroblasts KCNN3+ LY6H+;FNDC4;Fibroblasts SMOC2+ PTGIS+;GBA;SAMD4A;CRY1
12,GBP1;GBP2;TBX3;PMAIP1;OPTN;IFI35;OGFR;ABLIM3;RBM25;MYOF;EXT1;CASP7;RTP4;RNF213;GBP3;TRAFD1;ETV7;GBP5;SCARB2;ISG20;GLRX;NAPA;NDC80;STAT1;PHF11;Fibroblasts NPY+ SLITRK6+;FNDC3B
13,SERPINE1;JUNB;CPT1A;GPX2;MT1F;OASL;TMEM51;NFIL3;Pericytes HIGD1B+ STEAP4+;GJA4;DCP1A;AKT3;APOL2;TLR3;ERLIN1;MAP3K5;RNF19B;MYD88;MVB12B;C9orf91;CCL5;CD69;FZD5;MTHFD2L;DDX60;PNPT1
14,SIRPA;CD38;ATP10D;BATF2;ARNTL;SMAD3;AMPH;FUT4;Inflammatory fibroblasts IL11+ CHI3L1+;ENPP1;JAK2;CXCL10;CXCL11;STARD5;TLK2;ACSL1;LPCAT1;ALYREF;PUS1;B2M;ABTB2;NPAS2;TRIM21;SLC25A30;Stromal Cycling cells;PDK1;MASTL;ZNF385B;ZBP1;UPP2;TRIM34;TFEC;TAP2;STAP1;SLC1A1;SAA1;S100A8;PMM2;PHF15;PADI2;P2RY6;NT5C3;NOD2;NEURL3;MT1H;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CXCL9;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCR1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;AQP9;APOBEC3A;AIM2;ANKRD22;HERC6;MB21D1;TDRD7;NCF1;CD274;MICB;ULK4;GK;C4orf33;DDX58;IDO1;CCL19
15,SP110;MAX;RASSF4;SNN;Glial cells;RBCK1;PFKFB3;ARG2;IFIT2;SLC15A3;TMEM255A;USP18;IRF2;ANKFY1;GAK;WHAMM;TRIM14;UNC93B1;FAM134B
16,CD9;HES4;PNRC1;BAG1;ODC1;SUN2;Myofibroblasts HHIP+ NPNT+;Myofibroblasts GREM1+ GREM2+;IMPA2;BLVRA;CCDC92;Pericytes RERGL+ NTRK2+;EIF3L;COMMD3;SLC16A1;MAB21L2
