cluster_ID,genes
1,CD9;TBX3;IFI35;LGALS3;GBP2;BAG1;Myofibroblasts HHIP+ NPNT+;CES1
2,CSRNP1;GBP1;PFKFB3;SAMHD1;SLC16A1;SAMD4A;MT1M;Glial cells;RASSF4;ALDH1A1;FAM134B;ARG2;SERPINB9;SLC15A3;TMEM140;PPM1K;UNC93B1;GALNT2;ARNTL;MARCKS;IFIT3;NRN1;IFIT2;IFIT1;IFIT5
3,HLA-C;HLA-A;HLA-B;IFI27;TXNIP;CD74;PSMB9;VAMP5;PIM3;PTMA;IFI6;MT1X;HES4
4,PSMB8;ISG15;SOCS2;ELF1;HLA-F;IGFBP2;OPTN
5,HLA-E;TNFSF10;CDKN1A;NMI;CCND3;MT1G;DUSP5;Endothelial cells CD36+;MX1;TAP1;GBP4;IRF7;HEG1;CYTH1;Endothelial cells DARC+;EHD4;THBD;LMO2;SLFN5;C4orf32;CHMP5;LEPR;STEAP4;GJA4;CX3CL1;ARHGEF3;C10orf10;TRIM25;IFI44L;Endothelial cells LTC4S+ SEMA3G+;IRF2;ANXA2R;CPT1A;HELZ2;ADAR;CDK17;SP110;CRY1;Pericytes HIGD1B+ STEAP4+;XAF1;DDX58;PRKD2;LRG1;PML;RNF213;IFNGR1;TREX1
6,IL1R1;FAM46A;ODC1;Fibroblasts NPY+ SLITRK6+;PMAIP1;BST2;SCARB2;FNDC3B;GLRX;Inflammatory fibroblasts IL11+ CHI3L1+;STAT1;Fibroblasts SMOC2+ PTGIS+;ST3GAL4;COMMD3;EXT1;JAK2;ISG20;UBE2L6;OGFR;IFI30;PHF11;TRIM21
7,RTP4;SLC1A1;TRIM38;GAK;ULK4;MB21D1;SIRPA;SLC25A28;CCL5;C15orf48;CCL4;TDRD7;GCH1;OASL;CCDC109B;ANKFY1;RNF114;PMM2;TNFRSF10A;OAS2;MAX;SECTM1;LPCAT1;B4GALT5;FZD5;Stromal Cycling cells;C4orf33;PARP12;ATP10D;Fibroblasts KCNN3+ LY6H+;USP18;PDK1;TLR3;PUS1;TRAFD1;SNN;MICB;AMPH;ABTB2;NPAS2;GBP5;TAGAP;RGS1;SLC25A30;MVB12B;GK;C9orf91;HLA-G;ENPP1;FUT4;RNASE4;FFAR2;ETV7;MASTL;CD274;IDO1;HERC6;CFB;ERLIN1;TRIM14;TMEM255A;ZNF385B;ZBP1;UPP2;TRIM34;TFEC;TAP2;STAP1;SAA1;S100A8;PHF15;PDGFRL;PADI2;P2RY6;NT5C3;NOD2;NEURL3;NDC80;NCF1;MT1H;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;HSH2D;HESX1;GZMB;GPX2;G6PC;FTSJD2;FCGR1A;CYP1B1;CXCL9;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD38;CD163;CCR1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;AQP9;APOBEC3A;AIM2;ANKRD22
8,CCL19;PXK;RBM25;MYOF;KIAA0040;WARS;CASP7;GBP3;APOL1;IL15RA;TCF7L2;NCOA3;MAP3K5;SMAD3;APOL2;MYD88;PI4K2B;ANGPTL1;EPSTI1;TNFSF13B;CXCL10;BATF2;FNDC4;TMEM51;DDX60;OAS3;ABLIM3;CD69;PLIN2;IFI44;DTX3L;LGMN;GBA
9,SPATS2L;SPSB1;Myofibroblasts GREM1+ GREM2+;IMPA2;PARP9;AHNAK2;SCO2;CCDC92;WHAMM;DCP1A;MTHFD2L;TLK2;RNF19B;IRF9;Pericytes RERGL+ NTRK2+;ACSL1;PNPT1;BLVRA;LIPA;SUN2;GCA;RBCK1;B2M;MT1F;MAB21L2;Fibroblasts SFRP2+ SLPI+;NAPA;ETV6;BTN3A3;FKBP5;AKT3;SPTLC2;VEGFC;TRIM5;IL15;ALYREF;STARD5
10,CEBPD;ADM;GEM;MAFB;LAP3;MAFF;SERPINE1;MCL1;NAMPT;TNFAIP3;NFIL3;BCL3;IFITM2;IFI16;PLSCR1
11,ATF3;CCL2;IFITM3;JUNB;DDIT4;DDX3X;PNRC1;VMP1;TNFAIP6;SOCS1
12,ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;C1S;Fibroblasts ADAMDEC1+;CCL8;CLEC2B;RARRES3;IL6ST
13,TIMP1;RPL22;EIF3L;SERPING1;TYMP;LY6E
