cell_name,new_genes,known_genes
B cells,MX1,
B cells AICDA+ LRMP+,AIM2;HSH2D,
DC1,LAMP3;Mature DCs,IDO1
DC2 CD1D-,PLSCR1;TYMP,
DC2 CD1D+,PLSCR1;TYMP,
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),GZMB,
ILCs,,
Immune Cycling cells,,
Macrophages,,
Macrophages CCL3+ CCL4+,,
Macrophages CXCL9+ CXCL10+,,
Macrophages LYVE1+,,
Macrophages Metallothionein,,
Macrophages PLA2G2D+,C9orf91;EXT1;GBA,
Mast cells,ABLIM3;ABTB2;AHNAK2;AMPH;ANGPTL1;ANKRD22;APOBEC3A;AQP9;ARG2;BATF2;BCL2L14;C22orf28;C5orf27;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CXCL11;CYP1B1;ENPP1;FFAR2;FNDC4;FTSJD2;FZD5;G6PC;GJA4;GPX2;HESX1;HLA-G;IFNLR1;IGFBP2;IL17RB;LEPR;LRG1;MAB21L2;MAP3K14;MKX;NEURL3;Neutrophils S100A8+ S100A9+;NOD2;NPAS2;NRN1;NT5C3;PADI2;PDGFRL;PHF15;RNASE4;SAA1;SAMD4A;SERPINE1;SLC1A1;ST3GAL4;STEAP4;TAP2;TBX3;TLR3;TMEM255A;TNFAIP6;TRIM34;UPP2;VEGFC;ZNF385B,
Mature DCs,DC1,IDO1
Monocytes CHI3L1+ CYP27A1+,ANKRD22;APOBEC3A;AQP9;BATF2;BCL2L14;CXCL11;CYP1B1;ENPP1;FFAR2;FZD5;GPX2;IFNLR1;LRG1;Neutrophils S100A8+ S100A9+;NOD2;SAMD4A;ST3GAL4;STEAP4;TNFAIP6,
Monocytes S100A8+ S100A9+,,
Neutrophils S100A8+ S100A9+,ABLIM3;ABTB2;AHNAK2;AMPH;ANGPTL1;ARG2;BATF2;BCL2L14;C1S;C22orf28;C5orf27;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CYP1B1;ENPP1;FNDC4;FTSJD2;FZD5;G6PC;GJA4;GPX2;HESX1;HLA-G;IFNLR1;IGFBP2;IL17RB;LEPR;LRG1;MAB21L2;MAP3K14;Mast cells;MKX;Monocytes CHI3L1+ CYP27A1+;NEURL3;NOD2;NPAS2;NRN1;NT5C3;PADI2;PDGFRL;PHF15;RNASE4;SAA1;SAMD4A;SERPINE1;SLC1A1;ST3GAL4;TAP2;TBX3;TLR3;TMEM255A;TRIM34;UPP2;VEGFC;ZNF385B,
NK cells KLRF1+ CD3G-,,
Plasma cells,ISG20;ODC1,
T cells CD4+ FOSB+,,
T cells CD4+ IL17A+,B2M,
T cells CD8+,,
T cells CD8+ KLRG1+,,
T cells Naive CD4+,,
T cells OGT+,GBP2,
Tregs,,
