cell_name,genes
B cells,B cells;PPM1K;STAP1
B cells AICDA+ LRMP+,B cells AICDA+ LRMP+;SMAD3
DC1,DC1;HLA-G;IMPA2;Mature DCs
DC2 CD1D-,CPT1A;DC2 CD1D-;DC2 CD1D+;ILCs;MASTL;PML
DC2 CD1D+,CPT1A;DC2 CD1D-;DC2 CD1D+;ILCs;MASTL;PML
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),CCL5;CDK17;DDIT4;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);IRF2;MT1X;OPTN;RARRES3;RBCK1;T cells CD4+ FOSB+;T cells OGT+;Tregs
ILCs,CPT1A;DC2 CD1D-;DC2 CD1D+;ILCs;MASTL;PML
Immune Cycling cells,ALYREF;BTN3A3;BUB1;Immune Cycling cells;MICB;NDC80;OASL;SLC16A1;T cells CD8+;USP18
Macrophages,CCR1;CD163;CEBPD;LGMN;LIPA;Macrophages;Macrophages CCL3+ CCL4+;MAFB;MARCKS;RASSF4;SAMHD1;SCARB2;SECTM1;SIRPA;SLC15A3;TFEC;TNFSF13B
Macrophages CCL3+ CCL4+,CCR1;CD163;CEBPD;LGMN;LIPA;Macrophages;Macrophages CCL3+ CCL4+;MAFB;MARCKS;RASSF4;SAMHD1;SCARB2;SECTM1;SIRPA;SLC15A3;TFEC;TNFSF13B
Macrophages CXCL9+ CXCL10+,CXCL10;DCP1A;Macrophages CXCL9+ CXCL10+;Macrophages LYVE1+;Macrophages Metallothionein;Macrophages PLA2G2D+;OAS3
Macrophages LYVE1+,CXCL10;DCP1A;Macrophages CXCL9+ CXCL10+;Macrophages LYVE1+;Macrophages Metallothionein;Macrophages PLA2G2D+;OAS3
Macrophages Metallothionein,CXCL10;DCP1A;Macrophages CXCL9+ CXCL10+;Macrophages LYVE1+;Macrophages Metallothionein;Macrophages PLA2G2D+;OAS3
Macrophages PLA2G2D+,CXCL10;DCP1A;Macrophages CXCL9+ CXCL10+;Macrophages LYVE1+;Macrophages Metallothionein;Macrophages PLA2G2D+;OAS3
Mast cells,Mast cells;ST3GAL4;TDRD7
Mature DCs,DC1;HLA-G;IMPA2;Mature DCs
Monocytes CHI3L1+ CYP27A1+,ANKFY1;Monocytes CHI3L1+ CYP27A1+
Monocytes S100A8+ S100A9+,IL1RN;Monocytes S100A8+ S100A9+
Neutrophils S100A8+ S100A9+,FUT4;GCH1;MB21D1;Neutrophils S100A8+ S100A9+
NK cells KLRF1+ CD3G-,ETV7;HERC6;NK cells KLRF1+ CD3G-
Plasma cells,BST2;CD38;COMMD3;DUSP5;GLRX;HSH2D;ISG20;ODC1;PDK1;Plasma cells;PMM2;STARD5;ZBP1
T cells CD4+ FOSB+,CCL5;CDK17;DDIT4;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);IRF2;MT1X;OPTN;RARRES3;RBCK1;T cells CD4+ FOSB+;T cells OGT+;Tregs
T cells CD4+ IL17A+,ABLIM3;FFAR2;T cells CD4+ IL17A+;TMEM255A
T cells CD8+,ALYREF;BTN3A3;BUB1;Immune Cycling cells;MICB;NDC80;OASL;SLC16A1;T cells CD8+;USP18
T cells CD8+ KLRG1+,HLA-A;HLA-C;T cells CD8+ KLRG1+
T cells Naive CD4+,ANXA2R;ARNTL;FAM134B;GZMB;T cells Naive CD4+
T cells OGT+,CCL5;CDK17;DDIT4;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);IRF2;MT1X;OPTN;RARRES3;RBCK1;T cells CD4+ FOSB+;T cells OGT+;Tregs
Tregs,CCL5;CDK17;DDIT4;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);IRF2;MT1X;OPTN;RARRES3;RBCK1;T cells CD4+ FOSB+;T cells OGT+;Tregs
