cell_name,genes
B cells,MT1M;B cells;C10orf10;ALYREF
B cells AICDA+ LRMP+,HSH2D;MTHFD2L;S100A8;APOL1;ZBP1;IRF7;SAMD4A;TMEM140;APOL2;B cells AICDA+ LRMP+;EHD4;ZNF385B;VEGFC;USP18;UPP2;ULK4;TRIM34;TRIM21;TRAFD1;TNFRSF10A;TNFAIP6;TMEM255A;TLR3;TDRD7;TBX3;TAP2;STEAP4;ST3GAL4;SPSB1;SLC25A28;SLC1A1;SERPINE1;SAA1;RTP4;RNASE4;PUS1;PNPT1;PMM2;PHF15;PDGFRL;PADI2;P2RY6;OAS3;NT5C3;NRN1;NPAS2;NOD2;NEURL3;NDC80;MKX;MICB;MCOLN2;MAP3K14;MAB21L2;LRG1;LEPR;IMPA2;IL1RN;IL17RB;IL15RA;IGFBP2;IFNLR1;IFIT2;IFIT1;HLA-G;HESX1;HERC6;HELZ2;GPX2;GJA4;G6PC;FZD5;FUT4;FTSJD2;FNDC4;FFAR2;EXT1;ETV7;ERLIN1;ENPP1;DDX60;CYP1B1;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CCNA1;CCDC92;C5orf27;C22orf28;BUB1;BCL2L14;BATF2;ARG2;AQP9;APOBEC3A;ANKRD22;ANGPTL1;AMPH;AKT3;AIM2;AHNAK2;ABTB2;ABLIM3;Mast cells;Monocytes CHI3L1+ CYP27A1+;PRKD2
DC1,DC2 CD1D-;DC2 CD1D+;Monocytes S100A8+ S100A9+;Macrophages CXCL9+ CXCL10+;GK;SNN;LMO2;SIRPA;DC1;RNF19B;ETV6
DC2 CD1D-,DC2 CD1D-;DC2 CD1D+;Monocytes S100A8+ S100A9+;Macrophages CXCL9+ CXCL10+;GK;SNN;LMO2;SIRPA;DC1;RNF19B;ETV6
DC2 CD1D+,DC2 CD1D-;DC2 CD1D+;Monocytes S100A8+ S100A9+;Macrophages CXCL9+ CXCL10+;GK;SNN;LMO2;SIRPA;DC1;RNF19B;ETV6
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);SUN2;CRY1;SP110;PHF11;B2M;IFI44
ILCs,GCA;ILCs
Immune Cycling cells,EIF3L;PSMB9;Immune Cycling cells
Macrophages,NAMPT;CCL4;HLA-E;Macrophages;MAFB;CD163;PLIN2;LGMN;Macrophages CCL3+ CCL4+
Macrophages CCL3+ CCL4+,NAMPT;CCL4;HLA-E;Macrophages;MAFB;CD163;PLIN2;LGMN;Macrophages CCL3+ CCL4+
