cluster_ID,genes
1,CCL2;MARCKS;C1S;TIMP1;CEBPD;GEM
2,DUSP5;RGS1;ISG20
3,MT1X;MT1M;JUNB;HES4;FKBP5;Pericytes RERGL+ NTRK2+;Pericytes HIGD1B+ STEAP4+;NFIL3;CCL8;STEAP4
4,ATF3;PNRC1;RPL22;LGALS3;Fibroblasts SFRP2+ SLPI+;SERPING1;MAFF;Fibroblasts KCNN3+ LY6H+;TNFAIP6;FAM46A;TNFSF13B;CCL19
5,MCL1;VMP1;STAT1;SPATS2L;FNDC3B;TYMP;COMMD3;Fibroblasts NPY+ SLITRK6+;Fibroblasts SMOC2+ PTGIS+;GBP1;TBX3;SCARB2;Inflammatory fibroblasts IL11+ CHI3L1+;IL6ST;RARRES3;ADM;ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;Fibroblasts ADAMDEC1+
6,CD69;ALDH1A1;CCL4;PFKFB3;SAMHD1;Glial cells;FAM134B
7,Endothelial cells CD36+;DDX3X;PSMB9;IFNGR1;GBP4;CHMP5;PLSCR1;IGFBP2;ARHGEF3;ADAR;IFI44;SLFN5;EHD4;PML;B2M;NCOA3;ANXA2R;PSMB8;LY6E;LIPA;RNF19B;MX1;CCND3;VEGFC;XAF1;TRIM38;IFIT2;OAS2;HLA-F;DTX3L;IFIT5;GCH1;CSRNP1;IFIT1;CDK17;TAP1;BCL3;BST2;SERPINE1
8,MAB21L2;AHNAK2;CES1;EIF3L;IFI35;GBP2;BLVRA;IMPA2;GALNT2;MT1F;MAX;NCF1;BAG1;RASSF4;PPM1K;ACSL1;APOL2;SLC16A1;RTP4;CLEC2B;PLIN2;SMAD3;SPSB1;TCF7L2;LGMN;PDK1;SAMD4A;IRF2;ALYREF;PI4K2B;TMEM140;GBA;SLC15A3;ANKFY1;CD274;APOL1;SP110;PARP9;PHF11;OPTN;GJA4;SPTLC2;CCDC109B;MYOF;NMI;GCA;KIAA0040;LRG1;RNF213;RNASE4;DCP1A;GAK;MYD88;OAS3;TREX1;PRKD2;DDX58;HERC6;DDX60;EXT1;RNF114;CRY1;ATP10D;IL15;MB21D1;MTHFD2L;PARP12;SIRPA;RBCK1;TRIM5;ABLIM3;LPCAT1;UBE2L6;SUN2;OGFR;CCDC92;MT1H;NAPA;CPT1A;ETV6;SOCS1;TLR3;CCL5;AKT3;TRIM25;TNFRSF10A;SCO2;HELZ2;TRIM21;SNN;PNPT1;SLC25A28;ST3GAL4;GBP3;BTN3A3;WHAMM;JAK2;TMEM51;CASP7;C15orf48;Stromal Cycling cells;TRAFD1;GBP5;ERLIN1;TRIM14;CFB;SLC25A30;C4orf33;SECTM1;IRF9;FNDC4;ZNF385B;ZBP1;USP18;UPP2;UNC93B1;ULK4;TRIM34;TMEM255A;TFEC;TDRD7;TAP2;STARD5;STAP1;SLC1A1;SAA1;S100A8;PUS1;PMM2;PHF15;PDGFRL;PADI2;P2RY6;OASL;NT5C3;NPAS2;NOD2;NEURL3;NDC80;MVB12B;MSR1;MKX;MICB;MCOLN2;MASTL;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;GPX2;GK;G6PC;FZD5;FUT4;FTSJD2;FFAR2;FCGR1A;ETV7;ENPP1;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCR1;CCNA1;C9orf91;C5orf27;C22orf28;BUB1;BCL2L14;BATF2;ARNTL;ARG2;AQP9;APOBEC3A;ANKRD22;AMPH;ABTB2;AIM2;MAFB;CXCL10;PXK;MAP3K5;IL15RA;CXCL9;EPSTI1;IDO1
9,Lymphatics;SERPINB9;B4GALT5;CD38;GLRX;ODC1;MT1G;RBM25;Endothelial cells CA4+ CD36+;TAGAP;IRF7;TLK2
10,SOCS2;Endothelial cells DARC+;IL1R1;C4orf32;CYTH1;PMAIP1;PIM3;TNFAIP3;NAMPT
11,CYP1B1;Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;ANGPTL1
12,C10orf10
13,PTMA;LEPR;TNFSF10;NRN1;LMO2;ISG15;IFI6;WARS;IFI44L;HEG1;CX3CL1;VAMP5;Endothelial cells LTC4S+ SEMA3G+;LAP3;IFIT3;DDIT4
14,HLA-C;CD74;IFI27;HLA-B;HLA-E;TXNIP;IFITM3;THBD;HLA-A;IFITM2;CDKN1A;ELF1;IFI16
15,CD9
