cluster_ID,genes
1,C10orf10
2,HLA-C;CD74;IFI27;HLA-B;HLA-E;TXNIP;IFITM3;THBD;HLA-A;IFITM2;CDKN1A;IFI16
3,CCL2;MARCKS;C1S;TIMP1;CEBPD;GEM
4,Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;CYP1B1
5,MT1X;MT1M
6,RGS1;ISG20;Lymphatics;SERPINB9;CD38;GLRX
7,RARRES3;IL6ST;ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;Fibroblasts ADAMDEC1+
8,MCL1;ATF3;TNFSF13B;NAMPT;Fibroblasts SFRP2+ SLPI+;SERPING1;Fibroblasts KCNN3+ LY6H+;ADM;TNFAIP6;FAM46A
9,PNRC1;JUNB;VMP1;FKBP5;MAFF;NFIL3;LGALS3;CCL19
10,CD69;ALDH1A1;CCL4;PFKFB3;SAMHD1;Glial cells;FAM134B
11,HES4;MT1G;B4GALT5;NCOA3;RBM25;Endothelial cells CA4+ CD36+;ANXA2R;PSMB8;TRIM38;IRF2;IRF7;TLK2;ALYREF;TAGAP;MT1F;Pericytes HIGD1B+ STEAP4+;CCL8;STEAP4
12,SERPINE1;IFI35;MAX;BAG1;CLEC2B;GBP2;LY6E;RNF19B;TAP1;BCL3;LRG1;MYOF;SPTLC2;CCDC109B;GCA;KIAA0040;CSRNP1;IFIT1;IFIT5;DTX3L;PML;IFIT2;RNF213;APOL1;SP110;PHF11;PARP9;EXT1;PARP12;OPTN;GJA4;EPSTI1;RBCK1;ABLIM3;NMI;HELZ2;TNFRSF10A;OGFR;UBE2L6;NAPA;DDX60;PI4K2B;OAS3;TREX1;PRKD2;DDX58;RNF114;CRY1;MB21D1;IL15;AKT3
13,PLIN2;SMAD3;SPSB1;TCF7L2;LGMN;PDK1;NCF1;PPM1K;ACSL1;APOL2;SLC16A1;RTP4;GBP3;SOCS1;TLR3;RASSF4;SAMD4A;BLVRA;IMPA2;RNASE4;SUN2;DCP1A;GAK;TMEM140;MYD88;GBA;SLC15A3;ANKFY1;CD274;ATP10D;CCDC92;MT1H;TRIM5;LPCAT1;MTHFD2L;JAK2;TMEM51;ETV6;TRIM25;CPT1A;CCL5;SIRPA;CASP7;C15orf48;Stromal Cycling cells;TRAFD1;GBP5;ERLIN1;TRIM14;CFB;SLC25A30;C4orf33;SECTM1;IRF9;FNDC4;ZNF385B;ZBP1;USP18;UPP2;UNC93B1;ULK4;TRIM34;TMEM255A;TFEC;TDRD7;TAP2;STARD5;STAP1;SLC1A1;SAA1;S100A8;PUS1;PMM2;PHF15;PDGFRL;PADI2;P2RY6;OASL;NT5C3;NPAS2;NOD2;NEURL3;NDC80;MVB12B;MSR1;MKX;MICB;MCOLN2;MASTL;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;GPX2;GK;G6PC;FZD5;FUT4;FTSJD2;FFAR2;FCGR1A;ETV7;ENPP1;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCR1;CCNA1;C9orf91;C5orf27;C22orf28;BUB1;BCL2L14;BATF2;ARNTL;ARG2;AQP9;APOBEC3A;ANKRD22;AMPH;ABTB2;AIM2;HERC6;PNPT1;SLC25A28;ST3GAL4;BTN3A3;WHAMM;SCO2;TRIM21;SNN;CXCL10;PXK;MAP3K5;IL15RA;CXCL9;IDO1
14,STAT1;SPATS2L;FNDC3B;ODC1;COMMD3;GALNT2;TYMP;MAFB;Fibroblasts NPY+ SLITRK6+;Fibroblasts SMOC2+ PTGIS+;GBP1;TBX3;SCARB2;Inflammatory fibroblasts IL11+ CHI3L1+
15,ANGPTL1;RPL22;MAB21L2;AHNAK2;CES1;EIF3L;Pericytes RERGL+ NTRK2+
16,TNFAIP3;SOCS2;Endothelial cells DARC+;IL1R1;C4orf32;CYTH1;PMAIP1;PIM3
17,LMO2;DDX3X;DDIT4;BST2;NRN1;TNFSF10;LAP3;GBP4;CHMP5;PSMB9;IFIT3;IFNGR1;B2M;LIPA;MX1;CCND3;VEGFC;XAF1;OAS2;HLA-F;GCH1;CDK17;ARHGEF3;ADAR;IFI44;PLSCR1;IGFBP2;SLFN5;EHD4;Endothelial cells CD36+
18,DUSP5;PTMA;ELF1;LEPR;ISG15;IFI6;Endothelial cells LTC4S+ SEMA3G+;WARS;IFI44L;HEG1;CX3CL1;VAMP5
19,CD9
