cluster_ID,genes
1,MT1X;C10orf10;CDKN1A;MT1M
2,IFITM3;WARS;TNFSF10;SOCS2;IFI16;NRN1;IFITM2;ISG15;IFI6;VAMP5;TXNIP;CHMP5;HEG1;PSMB9;IFI44L;CX3CL1;IFIT3;IFNGR1;DUSP5;LMO2;BST2;Endothelial cells LTC4S+ SEMA3G+;LAP3
3,LY6E;CSRNP1;PSMB8;ADAR;MX1;HLA-F;BCL3;TAP1;LEPR;PLSCR1;XAF1;ARHGEF3;IFI44;CDK17;Endothelial cells DARC+;B4GALT5;PMAIP1;IGFBP2;Endothelial cells CD36+;C4orf32;CYTH1;ANXA2R;CCND3;EHD4;SLFN5;PIM3;GBP4;SERPINE1
4,HLA-B;HLA-C;HLA-A;IFI27;CD74;HLA-E;THBD;ELF1
5,CD9;Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;CYP1B1
6,C1S;TIMP1;CCL2;CEBPD;MARCKS;ATF3;GEM;PNRC1;JUNB;SERPING1;TNFAIP6;Fibroblasts SFRP2+ SLPI+;TNFSF13B;LGALS3;MAFF;ALDH1A1;ANGPTL1
7,TNFAIP3;MCL1;CLEC2B;NAMPT;PFKFB3;IL6ST;IL1R1;ADM;FAM46A;SCARB2;SPSB1
8,RARRES3;GBP1;ADAMDEC1;Fibroblasts ADAMDEC1+;Activated fibroblasts CCL19+ ADAMADEC1+;VMP1;CCL8;STAT1;FNDC3B;Fibroblasts NPY+ SLITRK6+;TYMP;EPSTI1;IDO1
9,MT1G;HES4;DDIT4;FKBP5;KIAA0040;MT1F;Pericytes RERGL+ NTRK2+;NFIL3;GJA4;Pericytes HIGD1B+ STEAP4+;STEAP4
10,RGS1;ISG20;CCL4;CCL5;CD69;DDX3X;RPL22;EIF3L;Lymphatics;PLIN2;CD38;SPATS2L;COMMD3;GLRX;SAMHD1;MAFB;Fibroblasts KCNN3+ LY6H+;PPM1K;GALNT2;CES1;IMPA2;BLVRA;MAB21L2;AHNAK2;GBP2;TBX3;SOCS1;RBM25;ODC1;BAG1;TMEM51;SLC16A1;Fibroblasts SMOC2+ PTGIS+;Inflammatory fibroblasts IL11+ CHI3L1+;PXK;MAP3K5;MT1H;C15orf48;GPX2
11,PTMA;SERPINB9;RNF19B;CCDC109B;LRG1;LIPA;UBE2L6;ABLIM3;GCH1;SP110;PARP9;VEGFC;IFI35;EXT1;PHF11;TCF7L2;MYOF;GCA;Endothelial cells CA4+ CD36+;LGMN;MAX;RNF114;RBCK1;IRF2;IFIT1;IFIT5;IFIT2;DDX58;PARP12;TRIM38;DTX3L;NMI;OAS2;TMEM140;TREX1;PRKD2;HELZ2;IRF7;PML;OAS3;NCOA3;SPTLC2;SLC25A28;CASP7;ETV6;SCO2;RTP4;DDX60;TNFRSF10A;TRIM25;MB21D1;BTN3A3;APOL1;RNF213;OPTN;CPT1A;SUN2;B2M;MTHFD2L;SIRPA
12,CCL19;CRY1;AKT3;CCDC92;APOL2;ERLIN1;GBP3;TRAFD1;PMM2;NAPA;ANKFY1;USP18;LPCAT1;TRIM5;JAK2;PI4K2B;MVB12B;GAK;ARG2;RNASE4;ATP10D;TLR3;TRIM14;TDRD7;PNPT1;TLK2;ALYREF;CD274;MYD88;Stromal Cycling cells;PUS1;TRIM21;C4orf33;SLC25A30;WHAMM;IL15;OASL;P2RY6;HERC6;ULK4;ENPP1;GBP5;CFB;ACSL1;FZD5;SECTM1;BATF2;UNC93B1;C9orf91;NPAS2;ZNF385B;ZBP1;UPP2;TRIM34;TMEM255A;TFEC;TAP2;STARD5;STAP1;SLC1A1;SAA1;S100A8;PHF15;PADI2;NT5C3;NOD2;NEURL3;NDC80;MSR1;MKX;MICB;MCOLN2;MASTL;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;GK;G6PC;FUT4;FTSJD2;FFAR2;FCGR1A;ETV7;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCR1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;ARNTL;AQP9;APOBEC3A;ANKRD22;ABTB2;AIM2;AMPH;DCP1A;SNN;GBA;ST3GAL4;FNDC4;PDK1;TAGAP;OGFR;IRF9;NCF1;IL15RA;SMAD3;SAMD4A;CXCL10;CXCL9;PDGFRL;SLC15A3;RASSF4;Glial cells;FAM134B
