cell_name,genes
Enterochromaffin cells,CHGA TPH1 CES1  SLC38A11 RAB3C
Enterocytes BEST4+,BEST4 CA7 CA4 SPIB OTOP2 NOTCH2NL
Enterocytes CA1+ CA2+ CA4-,CA1 SLC26A2 CA2 SLC26A3 KRT19 SELENBP1 PKIB UGT2B17 CES2
Enterocytes TMIGD1+ MEP1A+,TMIGD1 MEP1A APOA4 APOC3 APOA1 FABP6
Enterocytes TMIGD1+ MEP1A+ GSTA1+,GSTA1 GSTA2 TMIGD1 MEP1A
Enteroendocrine cells,PCSK1N PYY CHGA GCG CRYBA2 SCGN FEV SCG5 INSL5 MS4A8
Epithelial cells HBB+ HBA+,HBB HBA2 HBA1
Epithelial cells METTL12+ MAFB+,MAFB METTL12
Epithelial Cycling cells,UBE2C PTTG1 HMGB2 TOP2A CKS2 CENPW CDKN3 STMN1 TUBB4B HIST1H4C
Goblet cells MUC2+ TFF1-,MUC2 RETNLB SPINK4 ITLN1 CLCA1 FCGBP TFF3 ST6GALNAC1 LRRC26 REP15
Goblet cells MUC2+ TFF1+,MUC2 SPINK4 FCGBP CLCA1 ZG16 TFF1 BCAS1 CEACAM5
Goblet cells SPINK4+,SPINK4 MUC2 FCGBP CLCA1 ITLN1 TFF3 TFF1 S100P RETNLB LRRC26
Paneth cells,DEFA5 DEFA6 REG3A PRSS1 ITLN2 PLA2G2A
Stem cells OLFM4+,OLFM4 REG1A
Stem cells OLFM4+ LGR5+,LGR5 OLFM4
Stem cells OLFM4+ PCNA+,PCNA RANBP1 OLFM4 STRA13 DUT SIVA1
Tuft cells,SH2D6 LRMP 7SK_ENSG00000260682 AVIL BMX AZGP1 MATK TRPM5
