cluster_ID,genes
1,PMAIP1;NCOA3;TRIM38;SP110;B cells;NCF1;STAP1;PSMB8;TXNIP;MCOLN2;SNN;IFI16;PXK;PPM1K;B cells AICDA+ LRMP+;RGS1;SMAD3;ODC1;PRKD2;HSH2D;AIM2;CD38
2,CD74;UNC93B1;GCA;LPCAT1;TYMP;MARCKS;ETV6;IFI30;TFEC;SERPINB9;SLC15A3;LGMN;PARP9;IRF7;IFIT2;SPTLC2;XAF1;GAK;MYD88;CDKN1A;GLRX;BAG1;RNF114;SLC25A28
3,EIF3L;GCH1;LMO2;B4GALT5;SIRPA;GBA;LAP3;MX1;NAMPT;DTX3L;SCO2;CD80;Macrophages CCL3+ CCL4+;CCR1;TRIM14;IMPA2;CASP7;FFAR2;DC2 CD1D-;DC2 CD1D+;Mature DCs;NAPA;LIPA;Macrophages CXCL9+ CXCL10+;JAK2;LRG1;STEAP4;CXCL10;SECTM1;MAFB;RASSF4;CCL2;CD163;Macrophages;TCF7L2;IDO1;CXCL9;MYOF;CXCL11;THBD;IL1RN;FCGR1A;DC1;ADAMDEC1;CCL8;LAMP3;P2RY6;SERPING1;IL15;Macrophages LYVE1+;CCL19;EHD4;PNRC1;CPT1A;OASL;SAMHD1;IL6ST;GK;FKBP5;GEM;WARS;FNDC3B;SCARB2
4,BST2;LGALS3;TIMP1;BLVRA;DDX3X;CCL4;SPATS2L;CSRNP1;PLIN2;VAMP5;HES4;IFITM3;TNFSF10;PLSCR1;BCL3;APOL2;MB21D1;CD274;SOCS2;C15orf48;ATF3;RNF19B;MAFF;CEBPD;PFKFB3;TNFSF13B;C4orf32
5,SOCS1;DDIT4;RBM25;JUNB;CYTH1;T cells Naive CD4+;TAGAP;PIM3;CCDC109B;SLFN5;OPTN;SUN2;T cells CD4+ FOSB+;FAM134B;Tregs
6,MCL1;IL1R1;NFIL3;ILCs;PML;GBP3;ANKFY1;CES1;TNFRSF10A;DCP1A;ACSL1;DDX60;HELZ2;GALNT2;NOD2;TREX1;GPX2;Monocytes CHI3L1+ CYP27A1+;TRIM25;ADM;Monocytes S100A8+ S100A9+;S100A8;Neutrophils S100A8+ S100A9+;CLEC4E;TMEM51;APOBEC3A;AQP9;ANKRD22;TNFAIP6
7,IRF2;TRAFD1;SAMD4A;SLC16A1;ERLIN1;BTN3A3;ARG2;HLA-C;HLA-A;CDK17;MAP3K5;ARNTL;DDX58;USP18;NDC80;TRIM5;IFNLR1;PI4K2B;TMEM140;BUB1;HERC6;MASTL;CRY1;AKT3;TDRD7;HLA-G;ABTB2;ULK4;RPL22;HLA-B;PTMA;ZNF385B;VEGFC;UPP2;TRIM34;TMEM255A;TLR3;TBX3;TAP2;SLC1A1;SERPINE1;SAA1;RNASE4;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NEURL3;MSR1;MKX;MAP3K14;MAB21L2;LEPR;IL17RB;IGFBP2;HESX1;GJA4;G6PC;FTSJD2;FNDC4;CYP1B1;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CCNA1;C5orf27;C22orf28;C1S;C10orf10;B2M;ANGPTL1;AMPH;ABLIM3;AHNAK2;IFI27;Macrophages PLA2G2D+;MT1M;C9orf91;C4orf33;MICB;FZD5;MVB12B;SLC25A30;RTP4;IFIT5;BCL2L14;MT1H;FUT4;PDK1;ZBP1;STARD5;PMM2;ATP10D;TLK2;HLA-E;NK cells KLRF1+ CD3G-;ENPP1;IL15RA
8,CHMP5;KIAA0040;ELF1;SPSB1;IRF9;OAS2;WHAMM;Plasma cells;COMMD3;CD9;OGFR;EXT1;ALYREF;Immune Cycling cells;FAM46A;APOL1;MT1X;Macrophages Metallothionein;MT1F;MT1G;PARP12;ALDH1A1;HEG1;BATF2;TRIM21;MTHFD2L;CCDC92;IFIT1;Mast cells;PNPT1;ST3GAL4
9,TNFAIP3;CD69;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);T cells OGT+;LY6E;HLA-F;PHF11;GZMB;CLEC2B;RARRES3;CCND3;ISG15;RNF213;PSMB9;CCL5;T cells CD8+ KLRG1+;T cells CD8+;ANXA2R;IFI6;ISG20;DUSP5
10,GBP2;GBP5;TAP1;GBP4;GBP1;STAT1;IFNGR1;EPSTI1;UBE2L6;RBCK1;IFI35;VMP1;IFIT3;IFITM2;NMI;ADAR;ARHGEF3;MAX;PUS1;ETV7;IFI44L;IFI44;OAS3;T cells CD4+ IL17A+
