cluster_ID,genes
1,PTMA;HLA-A;MT1X;CD74;HLA-B;IFITM3;CEBPD;MARCKS;PNRC1
2,RGS1;TNFAIP3;IFITM2;VMP1;MCL1;NAMPT;CCL4;JUNB;ATF3;HLA-E;Macrophages;MAFB;CD163;PLIN2;LGMN;Macrophages CCL3+ CCL4+;Macrophages LYVE1+
3,RPL22;TXNIP;CD69;ELF1
4,STAT1;SPATS2L;SERPINB9;IFNGR1;PFKFB3;TNFSF13B;GBP1;TYMP;C15orf48;IFI30;LAP3;WARS;GBP4
5,DUSP5;PMAIP1;IDO1;EPSTI1;CXCL9;LAMP3;CCL19;PIM3;Mature DCs;UBE2L6;HLA-C;CDKN1A
6,FKBP5;PLSCR1;ACSL1;VAMP5;SAMHD1;DDX3X;HES4;THBD;GCA;CXCL10;NFIL3;FCGR1A;CLEC4E;LIPA;BLVRA;TFEC;CHMP5;MSR1
7,T cells CD4+ FOSB+;T cells Naive CD4+;CYTH1;T cells OGT+;Tregs;CD9;DC2 CD1D-;DC2 CD1D+;Monocytes S100A8+ S100A9+;RASSF4;MAFF;Macrophages CXCL9+ CXCL10+;PSMB8;GK;SNN;LMO2;SIRPA;SERPING1;C9orf91;ADAMDEC1;RNF213;DC1;CD80;RNF19B;C4orf33;IL15;PPM1K;SLC16A1;PI4K2B;C4orf32;GCH1;RBCK1;GBP5;OAS2;TLK2;TRIM38;B4GALT5;NAPA;ETV6;TRIM14;PXK;CDK17;ARHGEF3;DCP1A;C1S
8,GLRX;TAGAP;TRIM5;CPT1A;CRY1;KIAA0040;IFIT5;ANKFY1;IL1R1;BCL3;CASP7;GBP3;DDX58;PRKD2;IRF9;TREX1;T cells CD8+ KLRG1+;T cells CD8+;GALNT2;IFI35;NCOA3;STAP1;HSH2D;BAG1;MTHFD2L;S100A8;WHAMM;PARP12;LY6E;STARD5;BTN3A3;APOL1;ZBP1;IRF7;SAMD4A;TMEM140;MX1;T cells CD4+ IL17A+;RNF114;PARP9;SMAD3;MB21D1;APOL2;B cells AICDA+ LRMP+;EHD4;ZNF385B;VEGFC;USP18;UPP2;ULK4;TRIM34;TRIM21;TRAFD1;TNFRSF10A;TNFAIP6;TMEM51;TMEM255A;TLR3;TDRD7;TBX3;TAP2;STEAP4;ST3GAL4;SPSB1;SLC25A30;SLC25A28;SLC1A1;SLC15A3;SERPINE1;SAA1;RTP4;RNASE4;PUS1;PNPT1;PMM2;PHF15;PDGFRL;PADI2;P2RY6;OASL;OAS3;NT5C3;NRN1;NPAS2;NOD2;NEURL3;NDC80;MVB12B;MKX;MICB;MCOLN2;MASTL;MAP3K14;MAB21L2;LRG1;LEPR;IMPA2;IL1RN;IL17RB;IL15RA;IGFBP2;IFNLR1;IFIT3;IFIT2;IFIT1;HLA-G;HESX1;HERC6;HELZ2;HEG1;GZMB;GPX2;GJA4;GBA;G6PC;FZD5;FUT4;FTSJD2;FNDC4;FFAR2;EXT1;ETV7;ERLIN1;ENPP1;DDX60;CYP1B1;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CD274;CCNA1;CCDC92;C5orf27;C22orf28;BUB1;BCL2L14;BATF2;ARNTL;ARG2;AQP9;APOBEC3A;ANKRD22;ANGPTL1;AMPH;AKT3;AIM2;AHNAK2;ABTB2;ABLIM3;NK cells KLRF1+ CD3G-;Mast cells;Monocytes CHI3L1+ CYP27A1+
9,CCL2;B cells;C10orf10;CLEC2B;HLA-F;SP110;SLFN5;ANXA2R;FAM134B;SOCS1;ADAR;GBP2;MYD88;CSRNP1;SPTLC2;LGALS3;ILCs;SCARB2;CCR1;LPCAT1;FAM46A;PHF11;SECTM1;MYOF;SCO2;ALDH1A1;CCL8;OGFR;SUN2;B2M;IFI44L;SOCS2;MT1H;ATP10D;UNC93B1;MAX;IFI44;DTX3L;MAP3K5;BST2;NCF1;ADM;GAK;Macrophages PLA2G2D+;XAF1;TCF7L2;JAK2;Neutrophils S100A8+ S100A9+;TNFSF10;PML;OPTN;GEM
10,IFI27;Macrophages Metallothionein;IL6ST;MT1M;EIF3L;MT1G;IFI16;CCDC109B;CCL5;Immune Cycling cells;ALYREF;ODC1;MT1F;RBM25;PSMB9;CCND3;IRF2;TAP1;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);NMI;TRIM25;RARRES3
11,Plasma cells;TIMP1;ISG20;ISG15;IFI6;PDK1;CD38;COMMD3;FNDC3B;DDIT4
