cell_name,genes
B cells,B cells;B cells AICDA+ LRMP+;ODC1;PXK
B cells AICDA+ LRMP+,B cells;B cells AICDA+ LRMP+;ODC1;PXK
DC1,DC1
DC2 CD1D-,DC2 CD1D-;DC2 CD1D+;Macrophages;RASSF4
DC2 CD1D+,DC2 CD1D-;DC2 CD1D+;Macrophages;RASSF4
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),CCL5;GZMB;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);RARRES3;T cells CD8+;T cells CD8+ KLRG1+
ILCs,ILCs
Immune Cycling cells,Immune Cycling cells
Macrophages,DC2 CD1D-;DC2 CD1D+;Macrophages;RASSF4
Macrophages CCL3+ CCL4+,LIPA;Macrophages CCL3+ CCL4+;MAFB;P2RY6;SERPING1
Macrophages CXCL9+ CXCL10+,Macrophages CXCL9+ CXCL10+
Macrophages LYVE1+,CCL2;FCGR1A;Macrophages LYVE1+
Macrophages Metallothionein,Macrophages Metallothionein
Macrophages PLA2G2D+,Macrophages PLA2G2D+
Mast cells,CD9;Mast cells
Mature DCs,Mature DCs
Monocytes CHI3L1+ CYP27A1+,ANKRD22;APOBEC3A;AQP9;CES1;HELZ2;Monocytes CHI3L1+ CYP27A1+;Neutrophils S100A8+ S100A9+;S100A8;TNFAIP6
Monocytes S100A8+ S100A9+,Monocytes S100A8+ S100A9+
Neutrophils S100A8+ S100A9+,ANKRD22;APOBEC3A;AQP9;CES1;HELZ2;Monocytes CHI3L1+ CYP27A1+;Neutrophils S100A8+ S100A9+;S100A8;TNFAIP6
NK cells KLRF1+ CD3G-,NK cells KLRF1+ CD3G-
Plasma cells,Plasma cells
T cells CD4+ FOSB+,T cells CD4+ FOSB+;T cells Naive CD4+;Tregs
T cells CD4+ IL17A+,ETV7;NDC80;T cells CD4+ IL17A+
T cells CD8+,CCL5;GZMB;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);RARRES3;T cells CD8+;T cells CD8+ KLRG1+
T cells CD8+ KLRG1+,CCL5;GZMB;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);RARRES3;T cells CD8+;T cells CD8+ KLRG1+
T cells Naive CD4+,T cells CD4+ FOSB+;T cells Naive CD4+;Tregs
T cells OGT+,ANXA2R;T cells OGT+
Tregs,T cells CD4+ FOSB+;T cells Naive CD4+;Tregs
