cell_name,genes
B cells,B cells;MX1;STAP1
B cells AICDA+ LRMP+,AIM2;B cells AICDA+ LRMP+;HSH2D;PXK
DC1,DC1;IDO1;LAMP3;Mature DCs
DC2 CD1D-,DC2 CD1D-;DC2 CD1D+;PLSCR1;TYMP
DC2 CD1D+,DC2 CD1D-;DC2 CD1D+;PLSCR1;TYMP
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),GZMB;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+)
ILCs,ILCs
Immune Cycling cells,Immune Cycling cells
Macrophages,LGMN;Macrophages;Macrophages CCL3+ CCL4+;MAFB
Macrophages CCL3+ CCL4+,LGMN;Macrophages;Macrophages CCL3+ CCL4+;MAFB
Macrophages CXCL9+ CXCL10+,Macrophages CXCL9+ CXCL10+
Macrophages LYVE1+,CCL2;Macrophages LYVE1+
Macrophages Metallothionein,Macrophages Metallothionein
Macrophages PLA2G2D+,C9orf91;EXT1;GBA;Macrophages PLA2G2D+
Mast cells,ABLIM3;ABTB2;AHNAK2;AMPH;ANGPTL1;ANKRD22;APOBEC3A;AQP9;ARG2;BATF2;BCL2L14;C1S;C22orf28;C5orf27;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CXCL11;CYP1B1;ENPP1;FFAR2;FNDC4;FTSJD2;FZD5;G6PC;GJA4;GPX2;HESX1;HLA-G;IFNLR1;IGFBP2;IL17RB;LEPR;LRG1;MAB21L2;MAP3K14;Mast cells;MKX;Monocytes CHI3L1+ CYP27A1+;NEURL3;Neutrophils S100A8+ S100A9+;NOD2;NPAS2;NRN1;NT5C3;PADI2;PDGFRL;PHF15;RNASE4;SAA1;SAMD4A;SERPINE1;SLC1A1;ST3GAL4;STEAP4;TAP2;TBX3;TLR3;TMEM255A;TNFAIP6;TRIM34;UPP2;VEGFC;ZNF385B
Mature DCs,DC1;IDO1;LAMP3;Mature DCs
Monocytes CHI3L1+ CYP27A1+,ABLIM3;ABTB2;AHNAK2;AMPH;ANGPTL1;ANKRD22;APOBEC3A;AQP9;ARG2;BATF2;BCL2L14;C1S;C22orf28;C5orf27;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CXCL11;CYP1B1;ENPP1;FFAR2;FNDC4;FTSJD2;FZD5;G6PC;GJA4;GPX2;HESX1;HLA-G;IFNLR1;IGFBP2;IL17RB;LEPR;LRG1;MAB21L2;MAP3K14;Mast cells;MKX;Monocytes CHI3L1+ CYP27A1+;NEURL3;Neutrophils S100A8+ S100A9+;NOD2;NPAS2;NRN1;NT5C3;PADI2;PDGFRL;PHF15;RNASE4;SAA1;SAMD4A;SERPINE1;SLC1A1;ST3GAL4;STEAP4;TAP2;TBX3;TLR3;TMEM255A;TNFAIP6;TRIM34;UPP2;VEGFC;ZNF385B
Monocytes S100A8+ S100A9+,Monocytes S100A8+ S100A9+
Neutrophils S100A8+ S100A9+,ABLIM3;ABTB2;AHNAK2;AMPH;ANGPTL1;ANKRD22;APOBEC3A;AQP9;ARG2;BATF2;BCL2L14;C1S;C22orf28;C5orf27;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CXCL11;CYP1B1;ENPP1;FFAR2;FNDC4;FTSJD2;FZD5;G6PC;GJA4;GPX2;HESX1;HLA-G;IFNLR1;IGFBP2;IL17RB;LEPR;LRG1;MAB21L2;MAP3K14;Mast cells;MKX;Monocytes CHI3L1+ CYP27A1+;NEURL3;Neutrophils S100A8+ S100A9+;NOD2;NPAS2;NRN1;NT5C3;PADI2;PDGFRL;PHF15;RNASE4;SAA1;SAMD4A;SERPINE1;SLC1A1;ST3GAL4;STEAP4;TAP2;TBX3;TLR3;TMEM255A;TNFAIP6;TRIM34;UPP2;VEGFC;ZNF385B
NK cells KLRF1+ CD3G-,NK cells KLRF1+ CD3G-
Plasma cells,CD38;ISG20;ODC1;Plasma cells
T cells CD4+ FOSB+,T cells CD4+ FOSB+
T cells CD4+ IL17A+,B2M;T cells CD4+ IL17A+
T cells CD8+,T cells CD8+;T cells CD8+ KLRG1+
T cells CD8+ KLRG1+,T cells CD8+;T cells CD8+ KLRG1+
T cells Naive CD4+,T cells Naive CD4+
T cells OGT+,GBP2;T cells OGT+
Tregs,Tregs
