cell_name,genes
B cells,NCF1;PXK
B cells AICDA+ LRMP+,NCF1;PXK
DC1,
DC2 CD1D-,Macrophages
DC2 CD1D+,Macrophages
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),
ILCs,
Immune Cycling cells,
Macrophages,DC2 CD1D-;DC2 CD1D+
Macrophages CCL3+ CCL4+,LIPA
Macrophages CXCL9+ CXCL10+,CASP7
Macrophages LYVE1+,FCGR1A
Macrophages Metallothionein,
Macrophages PLA2G2D+,
Mast cells,
Mature DCs,
Monocytes CHI3L1+ CYP27A1+,NDC80;HELZ2;IL15RA;STARD5;SLC16A1;PI4K2B
Monocytes S100A8+ S100A9+,
Neutrophils S100A8+ S100A9+,S100A8
NK cells KLRF1+ CD3G-,
Plasma cells,
T cells CD4+ FOSB+,
T cells CD4+ IL17A+,DDX58
T cells CD8+,CCL5;T cells CD8+ KLRG1+;GZMB
T cells CD8+ KLRG1+,CCL5;T cells CD8+;GZMB
T cells Naive CD4+,SUN2;SOCS1;SLFN5;FAM134B;Tregs
T cells OGT+,ANXA2R
Tregs,SUN2;SOCS1;SLFN5;FAM134B;T cells Naive CD4+
