cell_name,genes
B cells,MX1;HSH2D;AIM2;STAP1
B cells AICDA+ LRMP+,MX1;HSH2D;AIM2;STAP1
DC1,IDO1;Mature DCs;LAMP3
DC2 CD1D-,PLSCR1
DC2 CD1D+,PLSCR1
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),
ILCs,
Immune Cycling cells,
Macrophages,
Macrophages CCL3+ CCL4+,
Macrophages CXCL9+ CXCL10+,
Macrophages LYVE1+,
Macrophages Metallothionein,
Macrophages PLA2G2D+,
Mast cells,
Mature DCs,IDO1;DC1;LAMP3
Monocytes CHI3L1+ CYP27A1+,MYOF;Neutrophils S100A8+ S100A9+;APOBEC3A;ERLIN1;LRG1;SAMD4A;FZD5;STEAP4;ST3GAL4;MT1H;IFNLR1;GPX2;FFAR2;ENPP1;CXCL11;BCL2L14;BATF2;AQP9;ANKRD22
Monocytes S100A8+ S100A9+,
Neutrophils S100A8+ S100A9+,ERLIN1;C1S;NOD2;LRG1;SAMD4A;FZD5;ZNF385B;VEGFC;UPP2;TRIM34;TMEM255A;TLR3;TBX3;TAP2;ST3GAL4;SLC1A1;SERPINE1;SAA1;RNASE4;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NEURL3;MT1M;MT1H;MKX;MAP3K14;MAB21L2;LEPR;IL17RB;IGFBP2;IFNLR1;HLA-G;HESX1;GPX2;GJA4;G6PC;FTSJD2;FNDC4;ENPP1;CYP1B1;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CCNA1;C5orf27;C22orf28;C10orf10;BCL2L14;BATF2;ARG2;ANGPTL1;AMPH;AHNAK2;ABTB2;Monocytes CHI3L1+ CYP27A1+;ABLIM3
NK cells KLRF1+ CD3G-,
Plasma cells,
T cells CD4+ FOSB+,
T cells CD4+ IL17A+,IRF9
T cells CD8+,
T cells CD8+ KLRG1+,
T cells Naive CD4+,
T cells OGT+,
Tregs,
