cell_name,new_genes,known_genes
B cells,,
B cells AICDA+ LRMP+,,
DC1,,
DC2 CD1D-,,
DC2 CD1D+,,
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),ANXA2R,
ILCs,,
Immune Cycling cells,,
Macrophages,,
Macrophages CCL3+ CCL4+,,
Macrophages CXCL9+ CXCL10+,,
Macrophages LYVE1+,,
Macrophages Metallothionein,,
Macrophages PLA2G2D+,,
Mast cells,,
Mature DCs,,
Monocytes CHI3L1+ CYP27A1+,,
Monocytes S100A8+ S100A9+,THBD,
Neutrophils S100A8+ S100A9+,TCF7L2,
NK cells KLRF1+ CD3G-,,
Plasma cells,CD38;COMMD3,
T cells CD4+ FOSB+,SOCS1;SLFN5;RARRES3;T cells OGT+,
T cells CD4+ IL17A+,,
T cells CD8+,,
T cells CD8+ KLRG1+,,
T cells Naive CD4+,,
T cells OGT+,SOCS1;SLFN5;RARRES3;T cells CD4+ FOSB+,
Tregs,,
