cluster_ID,genes
1,C1S;TIMP1;CEBPD;LGALS3;MARCKS;ALDH1A1;PLSCR1;CCDC109B;DDIT4;BCL3;APOL1;LGMN;TNFAIP6;SERPING1;PDGFRL;Fibroblasts KCNN3+ LY6H+;FKBP5;IL15RA;SPSB1;TCF7L2;TXNIP;Fibroblasts SMOC2+ PTGIS+;ARNTL;LEPR;C10orf10;Fibroblasts SFRP2+ SLPI+;ADM;RNASE4;TNFSF13B
2,DDX3X;SP110;STAT1;UBE2L6;PNPT1;ISG20;ABLIM3;PARP12;SOCS2;NAMPT;CSRNP1;CYP1B1;VEGFC;IFIT1;MAX;IRF9;RNF114;IRF7;Endothelial cells LTC4S+ SEMA3G+;HELZ2;OAS3;SLFN5;ERLIN1;DTX3L;ADAR;USP18;RTP4;APOL2;DDX58;HERC6;IFITM3;GBP3;CASP7;OAS2;C4orf33;NMI;IFIT2;TRIM38;NCOA3;MYOF;PARP9;DDX60;ULK4;PI4K2B;GCH1;TRIM25;TAGAP
3,GLRX;Lymphatics;PLIN2;GAK;SIRPA;CCL5;CD38;MT1H;MTHFD2L;EIF3L;SAMD4A;NFIL3;IMPA2;ARG2;PMAIP1;Endothelial cells DARC+;C15orf48;ETV6;LPCAT1;PUS1;TNFRSF10A;IL15;BTN3A3;ALYREF;SLC25A28;SERPINE1;P2RY6;TLK2;MB21D1;TLR3;TRIM14;CPT1A;CRY1;JUNB;BATF2;SLC16A1;TRIM21;OASL;SCO2;MYD88;ENPP1;Inflammatory fibroblasts IL11+ CHI3L1+;GBP5;PXK;ATP10D;OGFR;FNDC4;FZD5;FUT4;NDC80;CFB;PDK1;GPX2;MASTL;AMPH;RNF19B;SLC25A30;EXT1;SMAD3;ACSL1;MVB12B;UNC93B1;GBA;TRAFD1;ZNF385B;MAP3K5;SECTM1;MICB;B2M;CD69;CXCL10;Stromal Cycling cells;WHAMM;C9orf91;TDRD7;JAK2;ETV7;PMM2;NPAS2;ZBP1;UPP2;TRIM34;TFEC;TAP2;STARD5;STAP1;SLC1A1;SAA1;S100A8;PHF15;PADI2;NT5C3;NOD2;NEURL3;NCF1;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CXCL9;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD274;CD163;CCR1;CCNA1;CCL4;C5orf27;C22orf28;BUB1;BCL2L14;AQP9;APOBEC3A;ANKRD22;ABTB2;AIM2
4,MCL1;RARRES3;TYMP;IL1R1;SCARB2;Fibroblasts NPY+ SLITRK6+;FNDC3B;IL6ST;FAM46A;SOCS1;MAFB;TNFAIP3;Fibroblasts ADAMDEC1+;CCL8;GBP1;EPSTI1;IDO1
5,CCL2;MT1X;ODC1;ATF3;MT1M;SPATS2L;OPTN;BAG1;NAPA;KIAA0040;TMEM51;RBCK1;MT1F;Pericytes RERGL+ NTRK2+;Pericytes HIGD1B+ STEAP4+;STEAP4
6,IFI35;VMP1;PNRC1;PPM1K;ANGPTL1;ST3GAL4;TMEM255A;GCA;SERPINB9;TMEM140;IFIT5;RNF213;IRF2;SLC15A3;COMMD3;RASSF4;Glial cells;SAMHD1;FAM134B;RBM25;GALNT2;DCP1A;PFKFB3;SNN;ANKFY1;GK
7,CD9;SUN2;GEM;TBX3;CES1;RPL22;GBP2;PHF11;ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;CCL19;AKT3;TRIM5;Myofibroblasts HHIP+ NPNT+;Myofibroblasts GREM1+ GREM2+;BLVRA;CCDC92;MAB21L2;B4GALT5;AHNAK2;RGS1
8,HES4;IFITM2;CDKN1A;C4orf32;IGFBP2;PTMA;CHMP5;MT1G;Endothelial cells CA4+ CD36+;MAFF;GJA4
9,NRN1;LIPA;IFIT3;HLA-E;ELF1;DUSP5;LMO2;PRKD2;IFI16;THBD;PSMB9;LAP3;IFI6;CCND3;Endothelial cells CD36+;HEG1;EHD4;IFI44L;MX1;TREX1;IFI44;TAP1;XAF1;ARHGEF3;PML;CX3CL1;IFNGR1;PIM3;SPTLC2;CDK17;ANXA2R;LRG1;CYTH1
10,BST2;LY6E;CD74;CLEC2B;TNFSF10;ISG15;IFI27;HLA-C;HLA-F;GBP4;WARS;HLA-B;HLA-A;VAMP5;PSMB8
