cluster_ID,genes
1,BST2;IFITM3;SCARB2;LY6E;IL1R1;MAFB;IL15RA;BCL3;SOCS1;ISG15;KIAA0040;SPATS2L;Fibroblasts NPY+ SLITRK6+;Inflammatory fibroblasts IL11+ CHI3L1+;SAA1;Fibroblasts SMOC2+ PTGIS+
2,GEM;ST3GAL4;PHF11;BLVRA;IFI35;TBX3;Myofibroblasts HHIP+ NPNT+;FAM46A;MAB21L2;PNRC1;Myofibroblasts GREM1+ GREM2+;JUNB;STAT1;EIF3L;EPSTI1;SPSB1;Fibroblasts SFRP2+ SLPI+;VEGFC;VMP1;IFI30;SAMHD1;CES1;ABLIM3;SUN2;GBA;MAFF
3,LAP3;IFIT1;PLSCR1;TAP1;RBCK1;RNF213;IFIT3;IGFBP2;GJA4;CX3CL1;PRKD2;CDKN1A;CCND3;NAPA;LIPA;BAG1;HELZ2;TCF7L2;APOL1;ODC1;DDIT4;ARHGEF3;MX1;DTX3L;MAX;CHMP5;OAS2;GBP5;SLC15A3;CSRNP1;Endothelial cells CA4+ CD36+;ETV6;P2RY6;IFI44;LRG1;IDO1;PLIN2;RNF114;TRIM38;AKT3;CRY1;OASL;GCH1;TREX1;MTHFD2L
4,HES4;GPX2;Lymphatics;ALDH1A1;Glial cells;RASSF4;B4GALT5;PARP12;TMEM140;RBM25;SIRPA;GBP3;PML;TRIM25;CCDC109B;Endothelial cells LTC4S+ SEMA3G+;SLC25A28;NMI;PFKFB3;RTP4;TNFAIP6;MT1M;PADI2;FAM134B;IRF2;MVB12B;Fibroblasts KCNN3+ LY6H+;OGFR;SLC16A1;GAK;BATF2;TRAFD1;SMAD3;PXK;UNC93B1;IMPA2;GCA;TRIM5;GALNT2;MT1F;MYD88;WHAMM;MT1H
5,PPM1K;MT1G;DDX60;FZD5;IL1RN;SLC1A1;HERC6;SAMD4A;CCDC92;IL15;PARP9;ALYREF;TFEC;SLC25A30;IFIT5;ANKRD22;ERLIN1;ZBP1;USP18;DDX58;GLRX;IRF7;MAP3K5;TMEM51;NFIL3;JAK2;ULK4;Stromal Cycling cells;SNN;AHNAK2;TDRD7;TLR3;TNFRSF10A;TLK2;C4orf33;ATP10D;STARD5;SCO2;TRIM21;ACSL1;EXT1;ETV7;ANKFY1;AMPH;PDGFRL;MB21D1;MICB;C9orf91;CCR1;TRIM14;GK;MYOF;GZMB;FKBP5;PI4K2B;LPCAT1;Pericytes RERGL+ NTRK2+;SECTM1;CLEC4E;MCOLN2;CD274;FUT4;FCGR1A;PMM2;NPAS2;PUS1;LAMP3;HSH2D;AIM2;CFB;NDC80;BCL2L14;CD163;ENPP1;FNDC4;MASTL;ARNTL;ZNF385B;UPP2;TRIM34;TMEM255A;TAP2;STAP1;S100A8;RNASE4;PHF15;NT5C3;NOD2;NEURL3;MSR1;MKX;MAP3K14;IL17RB;IFNLR1;HLA-G;HESX1;G6PC;FTSJD2;FFAR2;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CD80;CCNA1;C5orf27;C22orf28;BUB1;B2M;ARG2;AQP9;ABTB2;APOBEC3A
6,PMAIP1;CXCL11;HLA-B;CXCL9;CPT1A;C15orf48;LEPR;SPTLC2;Endothelial cells DARC+;DDX3X;CYTH1;CDK17;Pericytes HIGD1B+ STEAP4+;STEAP4;CXCL10;OAS3;IFI6;DCP1A;CASP7;NCOA3;PNPT1;RNF19B;COMMD3;BTN3A3;PDK1;PTMA;NCF1;ISG20;CYP1B1
7,SERPINB9;CD38;TNFAIP3;CD69;RGS1;CCL4;CCL5;SP110;TAGAP;MCL1;FNDC3B;DUSP5;MT1X;RPL22
8,HLA-E;HLA-C;HLA-A;UBE2L6;OPTN;VAMP5;HLA-F;PSMB8;IFITM2;IFIT2;GBP1;C10orf10;ANXA2R;PSMB9;ADAR;IRF9;LGMN;XAF1
9,WARS;NRN1;LMO2;PIM3;CD74;TXNIP;IFI16;IFNGR1;IFI27;TNFSF10;CLEC2B;Endothelial cells CD36+;HEG1;C4orf32;THBD;EHD4;SOCS2;SLFN5;GBP4;IFI44L;ELF1;SERPINE1
10,TIMP1;SERPING1;CEBPD;LGALS3;CD9;GBP2;APOL2
11,C1S;ATF3;ADAMDEC1;Fibroblasts ADAMDEC1+;Activated fibroblasts CCL19+ ADAMADEC1+;ADM;CCL19;CCL8;TYMP;NAMPT;ANGPTL1
12,MARCKS;CCL2;IL6ST;RARRES3;TNFSF13B
