cluster_ID,genes
1,HLA-B;HLA-C;HLA-A;IFI27;IFITM3
2,BST2;NRN1;LAP3;IFI44L;CX3CL1;IFIT3;IFNGR1;XAF1;IFI44;PLSCR1;MX1;LEPR;Endothelial cells LTC4S+ SEMA3G+;CSRNP1
3,TNFSF10;TXNIP;CHMP5;HEG1;IGFBP2;Endothelial cells CD36+;C4orf32;ADAR;ANXA2R;CCND3;EHD4;SLFN5;PSMB9;PSMB8;GBP4;HLA-F;BCL3;ARHGEF3;TAP1
4,CD74;HLA-E;ISG15;WARS;IFI6;VAMP5;IFITM2;DUSP5;LMO2;CDKN1A;THBD;ELF1;SOCS2;IFI16
5,MT1X;C10orf10;MT1M
6,LY6E;IL1R1;PIM3;SERPINE1;CYTH1;Endothelial cells DARC+;B4GALT5;PMAIP1
7,MT1G;HES4;DDIT4;FKBP5;KIAA0040;MT1F;Pericytes RERGL+ NTRK2+;NFIL3;GJA4;Pericytes HIGD1B+ STEAP4+;STEAP4
8,RGS1;ISG20;CCL4;CCL5;CD69;SERPINB9;Lymphatics;PLIN2;CD38;ODC1
9,DDX3X;RPL22;ANGPTL1;COMMD3;GLRX;EIF3L;BLVRA;MAB21L2;AHNAK2;SLC16A1;GBP2;CES1;IMPA2
10,STAT1;SPATS2L;FNDC3B;Fibroblasts NPY+ SLITRK6+;Fibroblasts SMOC2+ PTGIS+;Inflammatory fibroblasts IL11+ CHI3L1+;RBM25;FAM46A;SCARB2;SPSB1;SOCS1;TBX3;SAMHD1;PXK;MAP3K5;MAFB;PPM1K;Fibroblasts KCNN3+ LY6H+;TYMP;IDO1;APOL1;EPSTI1;EXT1;PHF11;CCL19
11,PTMA;LIPA;UBE2L6;GCH1;SP110;PARP9;VEGFC;IFI35;Endothelial cells CA4+ CD36+;LGMN;MAX;RNF114;RBCK1;IRF2;MYOF;GCA;TCF7L2;BAG1;OPTN;CPT1A;SUN2;CDK17;IFIT1;IFIT5;IFIT2;NMI;IRF7;PML;OAS3;NCOA3;TREX1;PRKD2;HELZ2;TRIM38;DTX3L;TMEM140;DDX58;PARP12;OAS2;TNFRSF10A;RTP4;DDX60;BTN3A3;TRIM25;SPTLC2;SLC25A28;CASP7;ETV6;SCO2;B2M;MTHFD2L;SIRPA;RNF19B;ABLIM3;CCDC109B;LRG1;MT1H;C15orf48;GPX2
12,TMEM51;RNF213;IL15RA;SMAD3;SAMD4A;CXCL10;CXCL9;CRY1;APOL2;AKT3;CCDC92;DCP1A;SNN;GBA;ST3GAL4;FNDC4;PDK1;TAGAP;NAPA;ANKFY1;USP18;LPCAT1;TRIM5;JAK2;ERLIN1;GBP3;TRAFD1;PMM2;RNASE4;ATP10D;TLR3;TRIM14;TDRD7;PI4K2B;MVB12B;GAK;ARG2;PNPT1;TLK2;ALYREF;CD274;MYD88;Stromal Cycling cells;PUS1;TRIM21;C4orf33;SLC25A30;MB21D1;WHAMM;IL15;OASL;P2RY6;HERC6;ULK4;ENPP1;GBP5;CFB;ACSL1;FZD5;SECTM1;BATF2;UNC93B1;C9orf91;NPAS2;ZNF385B;ZBP1;UPP2;TRIM34;TMEM255A;TFEC;TAP2;STARD5;STAP1;SLC1A1;SAA1;S100A8;PHF15;PADI2;NT5C3;NOD2;NEURL3;NDC80;MSR1;MKX;MICB;MCOLN2;MASTL;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;GK;G6PC;FUT4;FTSJD2;FFAR2;FCGR1A;ETV7;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCR1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;ARNTL;AQP9;APOBEC3A;ANKRD22;ABTB2;AIM2;AMPH;OGFR;IRF9;NCF1;GALNT2;PDGFRL;SLC15A3;RASSF4;Glial cells;FAM134B
13,RARRES3;GBP1;ADAMDEC1;Fibroblasts ADAMDEC1+;Activated fibroblasts CCL19+ ADAMADEC1+;VMP1;CCL8
14,C1S;TIMP1;CCL2;CEBPD;MARCKS;ATF3;GEM;PNRC1;JUNB;LGALS3;MAFF;SERPING1;TNFAIP6;Fibroblasts SFRP2+ SLPI+;TNFSF13B;ADM;ALDH1A1
15,TNFAIP3;MCL1;CLEC2B;IL6ST;NAMPT;PFKFB3
16,CD9;Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;CYP1B1
