cluster_ID,genes
1,IL1R1;LMO2;ELF1;NRN1;Endothelial cells LTC4S+ SEMA3G+;Endothelial cells DARC+;CYP1B1;TNFSF10;IFI16;IFI44L;GBP4;CLEC2B;C4orf32;SOCS2;ARHGEF3;DDX3X;LY6E;CYTH1;IFI44
2,RPL22;LGALS3;Lymphatics;IL6ST;MT1H;MT1M;CCDC109B;ANXA2R;DUSP5;EIF3L;C15orf48;IFIT3;SERPINB9;MAFF
3,B2M;LIPA;NCOA3;IGFBP2;SLFN5;OAS2;ADAR;XAF1;PSMB8;RGS1;PIM3;CPT1A;MT1F;MAX;PML;CCND3;IDO1;CX3CL1;TAP1;IRF2;PRKD2;TREX1;SLC16A1;BTN3A3;B4GALT5;OPTN;MX1;NMI;ETV6;NAMPT;HERC6;TRIM25;RNF114;OAS3;RBM25;TNFAIP3;GALNT2;GCA;SPTLC2;PLSCR1;IFNGR1;CDKN1A;JUNB;CDK17;PARP9;IFIT5;BST2;MYOF;VEGFC;APOL1
4,TBX3;Inflammatory fibroblasts IL11+ CHI3L1+;GBP1;COMMD3;SCARB2;Fibroblasts SMOC2+ PTGIS+;FNDC3B;ODC1;ATF3;ISG20;GBP2;STEAP4;BAG1;CD69;GJA4;CD38;PLIN2;SPSB1;GLRX;MAB21L2;PPM1K;ATP10D;IFIT1;SOCS1;AKT3;TRIM5;TMEM51;CXCL10;KIAA0040;CCL5;RBCK1;DDX58;TYMP;HLA-F;GBP3;APOL2;DCP1A;CCL4;FKBP5;SAMD4A;PMAIP1;TRIM38;UBE2L6;LGMN;SERPINE1;NAPA;TMEM140;CRY1;IRF7;SLC25A30;CSRNP1;IRF9;Stromal Cycling cells;MTHFD2L;PARP12;ERLIN1;BCL3;RNF19B;OGFR;ALYREF;JAK2;MYD88;PFKFB3;TRIM21;RTP4;IL15;CASP7;DTX3L;USP18;MB21D1;GAK;NFIL3;PDK1;SLC15A3;TRAFD1;SCO2;GPX2;ZNF385B;ZBP1;WHAMM;UPP2;UNC93B1;ULK4;TRIM34;TRIM14;TNFRSF10A;TMEM255A;TFEC;TDRD7;TAP2;TAGAP;STARD5;STAP1;SNN;SLC1A1;SIRPA;SECTM1;SAA1;S100A8;RNASE4;RASSF4;PUS1;PMM2;PHF15;PADI2;P2RY6;OASL;NT5C3;NPAS2;NOD2;NEURL3;NDC80;NCF1;MVB12B;MSR1;MKX;MICB;MCOLN2;MASTL;MAP3K14;LRG1;LAMP3;IMPA2;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;HELZ2;GZMB;GK;GBP5;G6PC;FZD5;FUT4;FTSJD2;FNDC4;FFAR2;FCGR1A;FAM134B;ETV7;ENPP1;CTCFL;CRP;CMAHP;CLEC4E;CLEC4D;CFB;CD80;CD274;CD163;CCR1;CCNA1;C9orf91;C5orf27;C22orf28;BUB1;BCL2L14;BATF2;ARNTL;ARG2;AQP9;APOBEC3A;ANKRD22;AMPH;AIM2;ABTB2;ACSL1;SMAD3;PXK;EXT1;TLR3;CXCL11;ST3GAL4;MAP3K5;IL15RA;CXCL9;RNF213;ABLIM3;GCH1;IFIT2;SP110;DDX60;SLC25A28;LPCAT1;C4orf33;ANKFY1;SUN2;PI4K2B;TLK2;CREB3L3;PNPT1;GBA;CCDC92;BLVRA;LAP3;MAFB;SAMHD1;PHF11;EPSTI1
5,Myofibroblasts HHIP+ NPNT+;PNRC1;SPATS2L;Myofibroblasts GREM1+ GREM2+;Pericytes HIGD1B+ STEAP4+;Glial cells;Pericytes RERGL+ NTRK2+;IFI35;STAT1;GEM
6,Fibroblasts SFRP2+ SLPI+;SERPING1;TNFSF13B;ALDH1A1;CES1;ANGPTL1;TCF7L2;FAM46A;Fibroblasts KCNN3+ LY6H+;PDGFRL;TNFAIP6;AHNAK2
7,TIMP1;C1S;CEBPD;RARRES3;MCL1;Fibroblasts NPY+ SLITRK6+;VMP1;ADAMDEC1;Fibroblasts ADAMDEC1+;CCL2;CCL8;Activated fibroblasts CCL19+ ADAMADEC1+;ADM;CCL19
8,MT1X;C10orf10;LEPR
9,ISG15;IFITM3;VAMP5;HEG1;Endothelial cells CD36+;THBD;CHMP5;IFI6;WARS;EHD4;PSMB9;Endothelial cells CA4+ CD36+;DDIT4
10,PTMA;TXNIP;HLA-E;IFITM2;IFI27;CD74;HLA-B;HLA-A;HLA-C
11,MARCKS;MT1G;CD9;HES4
