cell_name,genes
Activated fibroblasts CCL19+ ADAMADEC1+,AHNAK2;AKT3;APOL1;BAG1;BLVRA;CCDC92;CD9;CES1;EPSTI1;Fibroblasts NPY+ SLITRK6+;GBP2;IFI35;IFIT2;MAB21L2;MAFB;Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;OPTN;PHF11;RPL22;SPATS2L;SUN2;TBX3;TCF7L2;TRIM5
Endothelial cells CA4+ CD36+,ARHGEF3;CCDC109B;CES1;CLEC2B;ELF1;Endothelial cells LTC4S+ SEMA3G+;IFITM3;IL1R1;Lymphatics;MT1H;MT1M;MT1X;PDGFRL;RPL22
Endothelial cells CD36+,AHNAK2;AKT3;APOL1;BAG1;BLVRA;CCDC92;CCL19;CCL8;CES1;EPSTI1;FAM46A;Fibroblasts NPY+ SLITRK6+;FNDC3B;GBP2;IFI35;IFIT2;IL1R1;LGALS3;MAB21L2;MAFB;Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;OPTN;PHF11;RPL22;SPATS2L;SUN2;TBX3;TIMP1;TRIM5;TYMP
Endothelial cells DARC+,ANXA2R;BST2;DUSP5;Endothelial cells LTC4S+ SEMA3G+;HES4;HLA-A;HLA-C;HLA-E;HLA-F;IFI6;IFITM2;IFITM3;LAP3;LY6E;MAFF;PLSCR1;PSMB8;PSMB9;VAMP5
Endothelial cells LTC4S+ SEMA3G+,C10orf10;CHMP5;GBP4;IFI44L;ISG15;SOCS2;TNFSF10;WARS
Fibroblasts ADAMDEC1+,ANXA2R;CDKN1A;CHMP5;CX3CL1;DUSP5;EHD4;GBP4;IFI44L;ISG15;LIPA;MT1G;PSMB8;SOCS2;TNFSF10;WARS;XAF1
Fibroblasts KCNN3+ LY6H+,ABLIM3;CYP1B1;ERLIN1;GCA;IFIT1;IRF7;IRF9;ISG20;LRG1;MAFF;MT1G;PARP12;PML;PTMA;RNF114;SP110;SPTLC2;TREX1;TRIM38;UBE2L6;USP18;VEGFC
Fibroblasts NPY+ SLITRK6+,C15orf48;CD9;IL6ST;LEPR;SERPINB9
Fibroblasts SFRP2+ SLPI+,HES4;LEPR;LY6E;PSMB9;PTMA
Fibroblasts SMOC2+ PTGIS+,ABTB2;ACSL1;ADM;AIM2;ALDH1A1;ALYREF;AMPH;ANGPTL1;ANKFY1;ANKRD22;APOBEC3A;APOL2;AQP9;ARG2;ARNTL;ATF3;ATP10D;B2M;BATF2;BCL2L14;BTN3A3;BUB1;C15orf48;C22orf28;C4orf33;C5orf27;C9orf91;CASP7;CCDC109B;CCL4;CCL5;CCNA1;CCR1;CD163;CD274;CD38;CD69;CD80;CFB;CLEC4D;CLEC4E;CMAHP;COMMD3;CPT1A;CREB3L3;CRP;CRY1;CTCFL;CXCL10;DCP1A;DDX58;DDX60;DTX3L;EIF3L;ENPP1;ETV7;EXT1;FAM134B;FCGR1A;FFAR2;Fibroblasts KCNN3+ LY6H+;Fibroblasts SFRP2+ SLPI+;Fibroblasts SMOC2+ PTGIS+;FKBP5;FNDC4;FTSJD2;FUT4;FZD5;G6PC;GAK;GALNT2;GBA;GBP3;GCH1;GK;Glial cells;GLRX;GPX2;GZMB;HERC6;HESX1;HLA-G;HSH2D;IDO1;IFI30;IFIT5;IFNLR1;IL15;IL15RA;IL17RB;IL1RN;IMPA2;Inflammatory fibroblasts IL11+ CHI3L1+;IRF2;JAK2;JUNB;KIAA0040;LAMP3;LPCAT1;Lymphatics;MAP3K14;MAP3K5;MARCKS;MASTL;MB21D1;MCOLN2;MICB;MKX;MSR1;MT1F;MT1H;MTHFD2L;MVB12B;MYD88;MYOF;NAMPT;NCF1;NCOA3;NDC80;NEURL3;NFIL3;NMI;NOD2;NPAS2;NT5C3;OASL;ODC1;OGFR;PADI2;PARP9;PDGFRL;PDK1;Pericytes HIGD1B+ STEAP4+;Pericytes RERGL+ NTRK2+;PFKFB3;PHF15;PI4K2B;PLIN2;PMAIP1;PMM2;PNPT1;PNRC1;PPM1K;PUS1;PXK;RASSF4;RBM25;RNASE4;RNF19B;RTP4;S100A8;SAA1;SAMD4A;SAMHD1;SCO2;SECTM1;SERPINB9;SERPING1;SIRPA;SLC16A1;SLC1A1;SLC25A28;SLC25A30;SMAD3;SNN;SOCS1;ST3GAL4;STAP1;STARD5;STEAP4;Stromal Cycling cells;TAGAP;TAP2;TDRD7;TFEC;TLK2;TLR3;TMEM140;TMEM255A;TMEM51;TNFAIP6;TNFRSF10A;TNFSF13B;TRAFD1;TRIM14;TRIM21;TRIM25;TRIM34;ULK4;UNC93B1;UPP2;WHAMM;ZBP1;ZNF385B
Glial cells,C10orf10;IFI44L;ISG15;MT1G;WARS
Inflammatory fibroblasts IL11+ CHI3L1+,ALYREF;B2M;BTN3A3;C10orf10;CASP7;CCL5;CPT1A;CRY1;DDX60;Glial cells;GLRX;IRF2;MYOF;NAMPT;NAPA;NCF1;NCOA3;Pericytes HIGD1B+ STEAP4+;Pericytes RERGL+ NTRK2+;PI4K2B;PMAIP1;PNPT1;PNRC1;SLC16A1;STEAP4;TRIM25
Lymphatics,CDK17;CLEC2B;DDX3X;Endothelial cells CA4+ CD36+;GCA;GJA4;HELZ2;IRF9;OAS2;OAS3;PARP12;PML;PRKD2;SLFN5;SP110;UBE2L6
Myofibroblasts GREM1+ GREM2+,ABTB2;ACSL1;Activated fibroblasts CCL19+ ADAMADEC1+;ADAMDEC1;ADM;AHNAK2;AIM2;AKT3;AMPH;ANGPTL1;ANKFY1;ANKRD22;APOBEC3A;APOL1;APOL2;AQP9;ARG2;ARHGEF3;ARNTL;ATF3;ATP10D;BAG1;BATF2;BCL2L14;BLVRA;BST2;BUB1;C22orf28;C4orf33;C5orf27;C9orf91;CCDC92;CCL19;CCL2;CCL4;CCL8;CCNA1;CCR1;CD163;CD274;CD38;CD69;CD80;CDK17;CEBPD;CFB;CLEC2B;CLEC4D;CLEC4E;CMAHP;COMMD3;CREB3L3;CRP;CSRNP1;CTCFL;CXCL10;CXCL11;CXCL9;CYTH1;DCP1A;DDX58;DTX3L;EIF3L;ENPP1;EPSTI1;ERLIN1;ETV6;ETV7;EXT1;FAM134B;FCGR1A;FFAR2;Fibroblasts ADAMDEC1+;Fibroblasts NPY+ SLITRK6+;Fibroblasts SMOC2+ PTGIS+;FKBP5;FNDC3B;FNDC4;FTSJD2;FUT4;FZD5;G6PC;GAK;GALNT2;GBA;GBP1;GBP2;GBP3;GBP5;GCH1;GEM;GK;GPX2;GZMB;HELZ2;HERC6;HESX1;HLA-F;HLA-G;HSH2D;IDO1;IFI30;IFI35;IFI44;IFIT1;IFIT2;IFIT3;IFIT5;IFNGR1;IFNLR1;IL15;IL15RA;IL17RB;IL1R1;IL1RN;IMPA2;Inflammatory fibroblasts IL11+ CHI3L1+;ISG20;JAK2;JUNB;KIAA0040;LAMP3;LAP3;LGMN;LPCAT1;LRG1;MAB21L2;MAFB;MAFF;MAP3K14;MAP3K5;MASTL;MAX;MB21D1;MCL1;MCOLN2;MICB;MKX;MSR1;MT1F;MTHFD2L;MVB12B;MX1;MYD88;Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;NDC80;NEURL3;NFIL3;NMI;NOD2;NPAS2;NT5C3;OAS2;OAS3;OASL;ODC1;OGFR;OPTN;P2RY6;PADI2;PARP12;PARP9;PDK1;PFKFB3;PHF11;PHF15;PIM3;PLIN2;PLSCR1;PMM2;PPM1K;PUS1;PXK;RARRES3;RASSF4;RBCK1;RBM25;RGS1;RNASE4;RNF114;RNF19B;RNF213;RTP4;S100A8;SAA1;SAMD4A;SAMHD1;SCARB2;SCO2;SECTM1;SERPINE1;SIRPA;SLC15A3;SLC1A1;SLC25A28;SLC25A30;SMAD3;SNN;SOCS1;SP110;SPATS2L;SPSB1;ST3GAL4;STAP1;STARD5;STAT1;Stromal Cycling cells;SUN2;TAGAP;TAP1;TAP2;TBX3;TDRD7;TFEC;TLK2;TLR3;TMEM140;TMEM255A;TMEM51;TNFAIP3;TNFAIP6;TNFRSF10A;TRAFD1;TRIM14;TRIM21;TRIM34;TRIM38;TRIM5;TYMP;ULK4;UNC93B1;UPP2;USP18;VMP1;WHAMM;ZBP1;ZNF385B
Myofibroblasts HHIP+ NPNT+,ARHGEF3;BST2;CDK17;CLEC2B;CYTH1;ELF1;ERLIN1;HELZ2;HLA-F;IFI44;IFIT1;IFIT3;IFITM3;IFNGR1;ISG20;LAP3;LRG1;MAFF;MX1;OAS2;OAS3;PARP12;PIM3;PLSCR1;RNF114;SP110;TAP1;TRIM38;USP18
Pericytes HIGD1B+ STEAP4+,AHNAK2;AKT3;APOL1;BAG1;BLVRA;CCDC92;CD9;CES1;EPSTI1;Fibroblasts NPY+ SLITRK6+;GBP2;IFI35;IFIT2;MAB21L2;MAFB;Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;OPTN;PHF11;RPL22;SPATS2L;SUN2;TBX3;TCF7L2;TRIM5
Pericytes RERGL+ NTRK2+,ARHGEF3;CCDC109B;CES1;CLEC2B;ELF1;Endothelial cells LTC4S+ SEMA3G+;IFITM3;IL1R1;Lymphatics;MT1H;MT1M;MT1X;PDGFRL;RPL22
Stromal Cycling cells,AHNAK2;AKT3;APOL1;BAG1;BLVRA;CCDC92;CCL19;CCL8;CES1;EPSTI1;FAM46A;Fibroblasts NPY+ SLITRK6+;FNDC3B;GBP2;IFI35;IFIT2;IL1R1;LGALS3;MAB21L2;MAFB;Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;OPTN;PHF11;RPL22;SPATS2L;SUN2;TBX3;TIMP1;TRIM5;TYMP
