cell_name,genes
Activated fibroblasts CCL19+ ADAMADEC1+,CCL4;CCL5;CD38;CD69;DUSP5;Inflammatory fibroblasts IL11+ CHI3L1+;LAP3;SERPINB9;SP110;TAGAP
Endothelial cells CA4+ CD36+,
Endothelial cells CD36+,
Endothelial cells DARC+,DDIT4;Endothelial cells DARC+;TXNIP
Endothelial cells LTC4S+ SEMA3G+,CCDC109B;CES1;CLEC2B;Lymphatics;MT1H;PDGFRL;RPL22
Fibroblasts ADAMDEC1+,CLEC2B
Fibroblasts KCNN3+ LY6H+,APOL1;BAG1;CXCL11;CXCL9;ETV6;GBP5;IFI35;LGMN;MAX;NAPA;P2RY6;RBCK1;RNF213;SERPINE1;SLC15A3;TCF7L2
Fibroblasts NPY+ SLITRK6+,ADAR;ANXA2R;B2M;B4GALT5;BCL3;BST2;CDK17;CSRNP1;CX3CL1;CYTH1;DDIT4;EHD4;Endothelial cells DARC+;GCH1;HLA-F;IFI44;IFIT1;IFIT3;IFNGR1;LAP3;LIPA;MT1M;MT1X;MX1;NCOA3;OAS2;PIM3;PLSCR1;PMAIP1;PSMB8;RNF19B;SERPINE1;TAP1;TNFAIP3;VEGFC;XAF1
Fibroblasts SFRP2+ SLPI+,CDK17;CX3CL1;CYTH1;DDIT4;EHD4;Endothelial cells DARC+;IFI44;IFIT3;IFNGR1;LIPA;MX1;OAS2;PIM3;SERPINE1;TAP1;XAF1
Fibroblasts SMOC2+ PTGIS+,APOL1;BAG1;CDK17;CLEC2B;DDX3X;Endothelial cells CA4+ CD36+;GJA4;HELZ2;IFI35;OAS2;OAS3;PRKD2;SLFN5;TCF7L2
Glial cells,ARHGEF3;C4orf32;Endothelial cells CD36+;HEG1;HES4;IL1R1;LMO2;MT1M;MT1X;NRN1
Inflammatory fibroblasts IL11+ CHI3L1+,ARHGEF3;C4orf32;CDK17;CHMP5;DDX3X;Endothelial cells CD36+;GBP4;HEG1;LMO2;NRN1;OAS2;SERPINE1;SLFN5;SOCS2;TNFSF10
Lymphatics,ABTB2;ACSL1;AHNAK2;AIM2;AKT3;ALYREF;AMPH;ANKFY1;ANKRD22;APOBEC3A;AQP9;ARG2;ARNTL;ATP10D;B2M;BCL2L14;BLVRA;BTN3A3;BUB1;C15orf48;C22orf28;C4orf33;C5orf27;C9orf91;CASP7;CCDC109B;CCDC92;CCNA1;CCR1;CD163;CD274;CD80;CES1;CFB;CLEC4D;CLEC4E;CMAHP;COMMD3;CPT1A;CREB3L3;CRP;CRY1;CTCFL;CXCL10;DCP1A;DDX58;DDX60;EIF3L;ENPP1;EPSTI1;ETV7;EXT1;FAM46A;FCGR1A;FFAR2;Fibroblasts KCNN3+ LY6H+;Fibroblasts NPY+ SLITRK6+;Fibroblasts SFRP2+ SLPI+;Fibroblasts SMOC2+ PTGIS+;FKBP5;FNDC4;FTSJD2;FUT4;FZD5;G6PC;GAK;GALNT2;GBA;GCH1;GEM;GK;GLRX;GZMB;HERC6;HESX1;HLA-G;HSH2D;IDO1;IFI30;IFIT5;IFNLR1;IL15;IL15RA;IL17RB;IL1RN;IMPA2;IRF2;JAK2;KIAA0040;LAMP3;LPCAT1;MAB21L2;MAFB;MAP3K14;MAP3K5;MASTL;MB21D1;MCOLN2;MICB;MKX;MSR1;MT1F;MT1H;MTHFD2L;MVB12B;MYD88;MYOF;Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;NCF1;NCOA3;NDC80;NEURL3;NFIL3;NMI;NOD2;NPAS2;NT5C3;OASL;OGFR;PADI2;PARP9;PDGFRL;PDK1;Pericytes HIGD1B+ STEAP4+;Pericytes RERGL+ NTRK2+;PHF11;PHF15;PI4K2B;PLIN2;PMAIP1;PMM2;PNPT1;PNRC1;PPM1K;PUS1;RNASE4;RNF19B;RPL22;S100A8;SAA1;SAMD4A;SAMHD1;SCO2;SECTM1;SLC16A1;SLC1A1;SLC25A28;SLC25A30;SMAD3;SNN;SOCS1;SPATS2L;SPSB1;STAP1;STARD5;STEAP4;Stromal Cycling cells;SUN2;TAP2;TBX3;TDRD7;TFEC;TLK2;TLR3;TMEM255A;TMEM51;TNFRSF10A;TRAFD1;TRIM14;TRIM21;TRIM34;TRIM5;ULK4;UNC93B1;UPP2;VMP1;WHAMM;ZBP1;ZNF385B
Myofibroblasts GREM1+ GREM2+,CD74;CDKN1A;DUSP5;HLA-A;HLA-B;HLA-C;HLA-E;IFI16;IFI27;IFI44L;IFI6;IFITM2;ISG15;PTMA;THBD;TXNIP;VAMP5;WARS
Myofibroblasts HHIP+ NPNT+,IFI6;PTMA
Pericytes HIGD1B+ STEAP4+,CCL4;CCL5;CD38;CD69;DUSP5;Inflammatory fibroblasts IL11+ CHI3L1+;LAP3;SERPINB9;SP110;TAGAP
Pericytes RERGL+ NTRK2+,
Stromal Cycling cells,
