cell_name,genes
Activated fibroblasts CCL19+ ADAMADEC1+,ALDH1A1;CLEC2B;Fibroblasts SFRP2+ SLPI+;MAFF;MARCKS;PFKFB3;PNRC1;SERPING1;TNFAIP6;TNFSF13B
Endothelial cells CA4+ CD36+,ABLIM3;ADAR;ALYREF;ANXA2R;B2M;B4GALT5;BCL3;BTN3A3;C15orf48;CASP7;CCL5;CCND3;CDKN1A;CPT1A;CRY1;CX3CL1;CYP1B1;DDIT4;DDX3X;DDX60;DUSP5;EHD4;Endothelial cells CA4+ CD36+;Endothelial cells DARC+;GCA;GJA4;Glial cells;GLRX;IGFBP2;IRF2;IRF7;IRF9;LIPA;LY6E;MYOF;NAPA;NCF1;NCOA3;Pericytes HIGD1B+ STEAP4+;Pericytes RERGL+ NTRK2+;PI4K2B;PMAIP1;PML;PNPT1;PRKD2;PSMB8;PSMB9;SERPINB9;SLC16A1;SLFN5;SPTLC2;STEAP4;TCF7L2;TREX1;TRIM25;UBE2L6;VEGFC;XAF1
Endothelial cells CD36+,ANGPTL1;IL6ST;MAFF;PFKFB3;PNRC1;TNFAIP6
Endothelial cells DARC+,ABTB2;ACSL1;AHNAK2;AIM2;AKT3;ALYREF;AMPH;ANKFY1;ANKRD22;APOBEC3A;APOL2;AQP9;ARG2;ARNTL;ATP10D;B2M;BATF2;BCL2L14;BLVRA;BTN3A3;BUB1;C15orf48;C22orf28;C4orf33;C5orf27;C9orf91;CASP7;CCDC109B;CCDC92;CCL19;CCL4;CCL5;CCL8;CCNA1;CCR1;CD163;CD274;CD38;CD69;CD80;CES1;CFB;CLEC4D;CLEC4E;CMAHP;COMMD3;CPT1A;CREB3L3;CRP;CRY1;CTCFL;CXCL10;DCP1A;DDX58;DDX60;DTX3L;EIF3L;ENPP1;EPSTI1;ETV7;EXT1;FAM134B;FCGR1A;FFAR2;Fibroblasts KCNN3+ LY6H+;Fibroblasts NPY+ SLITRK6+;Fibroblasts SMOC2+ PTGIS+;FKBP5;FNDC3B;FNDC4;FTSJD2;FUT4;FZD5;G6PC;GAK;GALNT2;GBA;GBP2;GBP3;GCH1;GK;Glial cells;GLRX;GPX2;GZMB;HERC6;HESX1;HLA-G;HSH2D;IDO1;IFI30;IFIT2;IFIT5;IFNLR1;IL15;IL15RA;IL17RB;IL1RN;IMPA2;Inflammatory fibroblasts IL11+ CHI3L1+;IRF2;JAK2;KIAA0040;LAMP3;LPCAT1;Lymphatics;MAB21L2;MAFB;MAP3K14;MAP3K5;MASTL;MB21D1;MCOLN2;MICB;MKX;MSR1;MT1F;MT1H;MTHFD2L;MVB12B;MYD88;MYOF;Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;NCF1;NCOA3;NDC80;NEURL3;NFIL3;NMI;NOD2;NPAS2;NT5C3;OASL;ODC1;OGFR;OPTN;PADI2;PARP9;PDGFRL;PDK1;Pericytes HIGD1B+ STEAP4+;Pericytes RERGL+ NTRK2+;PHF11;PHF15;PI4K2B;PLIN2;PMAIP1;PMM2;PNPT1;PPM1K;PUS1;PXK;RASSF4;RBM25;RGS1;RNASE4;RNF19B;RPL22;RTP4;S100A8;SAA1;SAMD4A;SAMHD1;SCO2;SECTM1;SERPINB9;SIRPA;SLC16A1;SLC1A1;SLC25A28;SLC25A30;SMAD3;SNN;SOCS1;SPATS2L;ST3GAL4;STAP1;STARD5;STAT1;STEAP4;Stromal Cycling cells;SUN2;TAGAP;TAP2;TBX3;TDRD7;TFEC;TLK2;TLR3;TMEM140;TMEM255A;TMEM51;TNFRSF10A;TRAFD1;TRIM14;TRIM21;TRIM25;TRIM34;TRIM5;TYMP;ULK4;UNC93B1;UPP2;WHAMM;ZBP1;ZNF385B
Endothelial cells LTC4S+ SEMA3G+,Activated fibroblasts CCL19+ ADAMADEC1+;ADAMDEC1;ADM;ATF3;BST2;CCL2;CCND3;CDK17;CEBPD;CSRNP1;CYTH1;DDX3X;Fibroblasts ADAMDEC1+;GCH1;GEM;HLA-F;IFI44;IFIT1;IFIT3;IFNGR1;IGFBP2;IL6ST;JUNB;LAP3;LY6E;MCL1;MX1;Myofibroblasts GREM1+ GREM2+;OAS2;PIM3;PLSCR1;PSMB9;RARRES3;RGS1;RNF19B;SERPINE1;SLFN5;SPATS2L;STAT1;TAP1;TNFAIP3;TNFAIP6;VMP1
Fibroblasts ADAMDEC1+,ABTB2;ACSL1;AHNAK2;AIM2;AKT3;ALYREF;AMPH;ANKFY1;ANKRD22;APOBEC3A;APOL2;AQP9;ARG2;ARNTL;ATP10D;B2M;BATF2;BCL2L14;BLVRA;BTN3A3;BUB1;C15orf48;C22orf28;C4orf33;C5orf27;C9orf91;CASP7;CCDC92;CCL19;CCL4;CCL5;CCL8;CCNA1;CCR1;CD163;CD274;CD38;CD69;CD80;CDK17;CFB;CLEC4D;CLEC4E;CMAHP;COMMD3;CPT1A;CREB3L3;CRP;CRY1;CTCFL;CXCL10;DCP1A;DDX3X;DDX58;DDX60;DTX3L;EIF3L;ENPP1;EPSTI1;ERLIN1;ETV7;EXT1;FAM134B;FCGR1A;FFAR2;Fibroblasts NPY+ SLITRK6+;Fibroblasts SMOC2+ PTGIS+;FKBP5;FNDC3B;FNDC4;FTSJD2;FUT4;FZD5;G6PC;GAK;GALNT2;GBA;GBP2;GBP3;GCH1;GK;Glial cells;GLRX;GPX2;GZMB;HERC6;HESX1;HLA-G;HSH2D;IDO1;IFI30;IFIT1;IFIT2;IFIT5;IFNLR1;IL15;IL15RA;IL17RB;IL1RN;IMPA2;Inflammatory fibroblasts IL11+ CHI3L1+;IRF2;ISG20;JAK2;KIAA0040;LAMP3;LPCAT1;LRG1;MAB21L2;MAFB;MAP3K14;MAP3K5;MASTL;MB21D1;MCOLN2;MICB;MKX;MSR1;MT1F;MTHFD2L;MVB12B;MYD88;MYOF;Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;NCF1;NCOA3;NDC80;NEURL3;NFIL3;NMI;NOD2;NPAS2;NT5C3;OAS2;OASL;ODC1;OGFR;OPTN;PADI2;PARP12;PARP9;PDK1;Pericytes HIGD1B+ STEAP4+;Pericytes RERGL+ NTRK2+;PHF11;PHF15;PI4K2B;PLIN2;PMAIP1;PMM2;PNPT1;PPM1K;PUS1;PXK;RASSF4;RBM25;RGS1;RNASE4;RNF114;RNF19B;RTP4;S100A8;SAA1;SAMD4A;SAMHD1;SCO2;SECTM1;SERPINB9;SERPINE1;SIRPA;SLC16A1;SLC1A1;SLC25A28;SLC25A30;SLFN5;SMAD3;SNN;SOCS1;SP110;SPATS2L;ST3GAL4;STAP1;STARD5;STAT1;STEAP4;Stromal Cycling cells;SUN2;TAGAP;TAP2;TBX3;TDRD7;TFEC;TLK2;TLR3;TMEM140;TMEM255A;TMEM51;TNFRSF10A;TRAFD1;TRIM14;TRIM21;TRIM25;TRIM34;TRIM38;TRIM5;TYMP;ULK4;UNC93B1;UPP2;USP18;WHAMM;ZBP1;ZNF385B
Fibroblasts KCNN3+ LY6H+,ADAR;B4GALT5;BCL3;C10orf10;CD9;CSRNP1;MT1M;MT1X
Fibroblasts NPY+ SLITRK6+,CLEC2B;ELF1;IFI44L;IFITM3;ISG15;WARS
Fibroblasts SFRP2+ SLPI+,ELF1;IFI44L;IFITM3;ISG15;TXNIP;WARS
Fibroblasts SMOC2+ PTGIS+,ANXA2R;BST2;CD9;DUSP5;Endothelial cells LTC4S+ SEMA3G+;HES4;HLA-A;HLA-C;HLA-E;HLA-F;IFI6;IFITM2;IFITM3;LAP3;LY6E;PLSCR1;PSMB8;PSMB9;VAMP5
