cell_name,new_genes,known_genes
Activated fibroblasts CCL19+ ADAMADEC1+,,
Endothelial cells CA4+ CD36+,CDKN1A;CHMP5;MT1G,
Endothelial cells CD36+,CCND3;CD74;HLA-E;IFI16;LY6E;PSMB9;THBD;VAMP5,
Endothelial cells DARC+,ALYREF;B2M;BTN3A3;CCL5;CPT1A;CRY1;GLRX;NCF1;PMAIP1,
Endothelial cells LTC4S+ SEMA3G+,AKT3;APOL2;C4orf33;CSRNP1;DDX58;DTX3L;ERLIN1;GBP3;GCH1;HELZ2;HERC6;IFIT1;IFIT2;IFIT5;MAX;NMI;OAS2;OAS3;PARP12;RNF114;RNF19B;RNF213;RTP4;SP110;TAGAP;TRIM38;ULK4;USP18,
Fibroblasts ADAMDEC1+,,
Fibroblasts KCNN3+ LY6H+,ARNTL;Fibroblasts SMOC2+ PTGIS+;IL15RA;KIAA0040;PXK;SPSB1;TNFSF13B,
Fibroblasts NPY+ SLITRK6+,AHNAK2;BLVRA;GEM;IFI35;MAB21L2;Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;RGS1;SPATS2L,
Fibroblasts SFRP2+ SLPI+,ADM;CCDC109B;LEPR;LGMN;RNASE4,
Fibroblasts SMOC2+ PTGIS+,Fibroblasts KCNN3+ LY6H+;FKBP5;SPSB1;TNFSF13B,
Glial cells,NAPA;Pericytes HIGD1B+ STEAP4+;Pericytes RERGL+ NTRK2+;STEAP4,
Inflammatory fibroblasts IL11+ CHI3L1+,CCL4;CD69;MT1H;PFKFB3;TNFAIP3,
Lymphatics,CCL4;CD69;IMPA2;MT1H;NFIL3;PFKFB3;TNFAIP3,
Myofibroblasts GREM1+ GREM2+,AHNAK2;BLVRA;CCDC92;Fibroblasts NPY+ SLITRK6+;FNDC3B;GEM;IFI35;MAB21L2;OPTN;RGS1;SUN2;TBX3;TRIM5,
Myofibroblasts HHIP+ NPNT+,AHNAK2;BLVRA;CCDC92;Fibroblasts NPY+ SLITRK6+;FNDC3B;GEM;IFI35;MAB21L2;OPTN;RGS1;SUN2;TBX3;TRIM5,
Pericytes HIGD1B+ STEAP4+,GCA;Glial cells;IRF2;NAPA,
Pericytes RERGL+ NTRK2+,GCA;Glial cells;IRF2;NAPA,
Stromal Cycling cells,CCL4;CD69;MT1H;PFKFB3;TNFAIP3,
