cell_name,new_genes,known_genes
Activated fibroblasts CCL19+ ADAMADEC1+,RARRES3;VMP1,
Endothelial cells CA4+ CD36+,,
Endothelial cells CD36+,CHMP5;HEG1;PSMB9,
Endothelial cells DARC+,LY6E;IL1R1,
Endothelial cells LTC4S+ SEMA3G+,NRN1,
Fibroblasts ADAMDEC1+,RARRES3;VMP1,
Fibroblasts KCNN3+ LY6H+,Fibroblasts SFRP2+ SLPI+;TNFSF13B;FAM46A;ALDH1A1;ANGPTL1,
Fibroblasts NPY+ SLITRK6+,,
Fibroblasts SFRP2+ SLPI+,TNFSF13B;ALDH1A1;ANGPTL1;TNFAIP6;Fibroblasts KCNN3+ LY6H+,
Fibroblasts SMOC2+ PTGIS+,RGS1;ISG20;CCL4;CCL5;CD69;FNDC3B;SAMHD1;ODC1;PPM1K;TBX3;PLIN2;CD38;TMEM51,
Glial cells,,
Inflammatory fibroblasts IL11+ CHI3L1+,IL15RA;SAMD4A;AKT3;CCDC92;APOL2;ERLIN1;GBP3;PMM2;NAPA;ANKFY1;USP18;LPCAT1;TRIM5;PI4K2B;GAK;RNASE4;TLR3;PNPT1;TLK2;ALYREF;MYD88;Stromal Cycling cells;TRIM21;C4orf33;SLC25A30;IL15;OASL;P2RY6;HERC6;ULK4;ENPP1;BATF2;TMEM255A;ARNTL;ST3GAL4;TAGAP;IRF9;NCF1;SLC15A3;RASSF4;FAM134B,
Lymphatics,,
Myofibroblasts GREM1+ GREM2+,,
Myofibroblasts HHIP+ NPNT+,,
Pericytes HIGD1B+ STEAP4+,,
Pericytes RERGL+ NTRK2+,,
Stromal Cycling cells,SOCS1;PXK;MAP3K5;Inflammatory fibroblasts IL11+ CHI3L1+;CXCL10;CXCL9;IL15RA;SMAD3;SAMD4A;AKT3;CCDC92;APOL2;ERLIN1;GBP3;TRAFD1;NAPA;ANKFY1;USP18;TRIM5;PI4K2B;MVB12B;GAK;ATP10D;TLR3;PNPT1;TLK2;ALYREF;CD274;MYD88;C4orf33;SLC25A30;WHAMM;IL15;OASL;P2RY6;HERC6;GBP5;FZD5;BATF2;UNC93B1;ZBP1;TFEC;SLC1A1;SAA1;PADI2;IFI30;CXCL11;CCR1;ANKRD22;DCP1A;SNN;GBA;ST3GAL4;PDK1;TAGAP;OGFR;IRF9;NCF1;SLC15A3;RASSF4;FAM134B,
